Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
ISB Coøkie,917286274,20,10,10,128916,Padme R3 JKA Ahsoka R3 GK GMY G12
MINI ASplendidJedi,455414534,46,40,6,127314,Padme JKA Ahsoka GK GMY G12
Harry TBE,212311983,27,11,16,120856,Padme JKA Ahsoka G12 GK R1 GMY G12
Marren,269783355,19,19,0,132576,Padme JKA Ahsoka GK GMY
DarthBrosaur,291658232,59,24,35,78312,Padme G12 JKA G11 Ahsoka G8 GK G12 GMY G12
Soojalembene,878522874,55,52,3,136495,Padme JKA Ahsoka GK GMY R2
Bischmarck,828268378,38,28,10,131738,Padme G12 JKA R3 Ahsoka R3 GK GMY
Rice Powered,218278765,70,37,33,90530,Padme G12 JKA G11 5* Ahsoka G8 GK G12 GMY R1
Da Beetle,772984483,47,47,0,128874,Padme JKA Ahsoka GK GMY
Ronin Khael,633311685,45,19,26,106948,Padme G12 JKA G12 Ahsoka G12 GK R3 GMY G12
Sidrial,348549185,20,7,13,124618,Padme G12 JKA Ahsoka G12 GK GMY R4
J3d1 Wampa,233129389,62,42,20,110702,Padme G12 JKA G12 Ahsoka G12 GK R3 GMY
Shart69,662285822,22,0,22,106772,Padme G12 JKA R3 Ahsoka G12 GK R3 GMY G12
Redaxfive,669472598,13,5,8,134946,Padme R3 JKA Ahsoka G12 GK GMY
Dark Baszko,935436975,22,22,0,145006,Padme JKA Ahsoka GK GMY
lnquisitor Maze,993878581,31,3,28,99737,Padme G12 JKA R1 Ahsoka G12 GK G12 GMY G12
Thawk,895377488,38,33,5,132856,Padme R3 JKA Ahsoka R3 GK R4 GMY
Kanon reloaded,236126683,0,0,0,158011,Padme JKA Ahsoka GK GMY
BlackKobra77,495911322,59,58,1,130538,Padme JKA Ahsoka GK GMY R4
Jamesss,932183454,17,6,11,127298,Padme R3 JKA R3 Ahsoka R3 GK GMY G13
Caseyyy,644777646,7,3,4,138955,Padme JKA Ahsoka R3 GK GMY R3
SzettyAlt,799913995,54,34,20,105146,Padme G12 JKA Ahsoka G12 GK GMY G10
Dan,359935949,61,45,16,118903,Padme R3 JKA Ahsoka G12 GK R3 GMY G12
NameDoesntMatter,766675264,29,5,24,110094,Padme G12 JKA Ahsoka G12 GK G12 GMY G12
liam3265,578656337,74,22,52,52377,Padme G2 JKA G5 4* Ahsoka G7 6* GK G12 GMY G12
tobster,971261337,57,29,28,107206,Padme G8 JKA G9 Ahsoka G9 GK GMY
Chris The Gràpe,382697645,29,8,21,104436,Padme R3 JKA Ahsoka G11 GK G8 GMY R3
Good E2 Shoes,285356599,60,29,31,97236,Padme G12 JKA G11 Ahsoka G12 GK G12 GMY G12
MrEMustard,916322553,56,21,35,82434,Padme G7 JKA G12 Ahsoka G10 GK G9 GMY R4
GunnyThePunisher,649558943,42,4,38,82689,Padme G8 JKA G11 6* Ahsoka G11 GK G10 GMY G12
CaptainDragonborn,826827254,45,25,20,107221,Padme G12 JKA Ahsoka G12 GK R4 GMY G11
Trebbih,282656945,72,0,72,22466,Padme G1 5* JKA G8 5* Ahsoka G8 GK G1 GMY G0 0*
Wacky Wookiee,153559257,42,8,34,93790,Padme G12 JKA G11 Ahsoka G10 GK G11 GMY G12
DeathTheHorseman,256289912,7,0,7,124479,Padme JKA Ahsoka GK GMY G11
Melion77,934943462,2,0,2,131552,Padme JKA Ahsoka GK GMY R3
Taco Truck,229327364,43,1,42,77459,Padme G8 JKA G12 Ahsoka G12 GK G8 GMY G8
Qef Tser,718614175,30,4,26,97258,Padme G9 JKA R3 Ahsoka G12 GK R3 GMY G11
Aria Curran,677768696,85,1,84,8826,Padme G0 0* JKA G4 2* Ahsoka G1 GK G1 6* GMY G0 0*
MrBraineac,619826499,23,0,23,106911,Padme R3 JKA G12 Ahsoka G12 GK GMY G9
tanjo,558583215,30,10,20,114023,Padme R3 JKA G12 Ahsoka G12 GK GMY G12
Akatosh,485165597,0,0,0,160291,Padme JKA Ahsoka GK GMY
Rumdogg,118697339,22,11,11,118989,Padme R3 JKA Ahsoka R3 GK GMY G11
Chaos Machine,732366952,42,0,42,79707,Padme G9 JKA G9 Ahsoka G10 GK G8 GMY G12
FriedRedMonkey,114279529,31,29,2,140390,Padme R4 JKA Ahsoka R4 GK GMY
Myrryn,548846135,35,0,35,80986,Padme G8 JKA Ahsoka G12 GK G6 6* GMY G11
Veltto,724695932,25,4,21,107049,Padme G12 JKA G12 Ahsoka G11 GK R3 GMY
JustDoc,686415836,23,8,15,112847,Padme R3 JKA R3 Ahsoka R3 GK R3 GMY G11
Gutzag,714942936,35,0,35,92782,Padme G11 JKA G11 Ahsoka G11 GK G11 GMY G11
SniperLord,736453491,30,29,1,146754,Padme JKA Ahsoka R4 GK GMY
