Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Steady,798522549,26,26,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Steady,798522549,39,0,39,Padme/BB: Padme Hunter G8 6* Echo G8 6* Tech G9 6* Wrecker G8
Steady,798522549,31,10,21,CLS: CLS C-3PO R3 Han G12 Chewbacca G12 Chewpio G11
Brodie,944863486,21,0,21,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G7 Shoretrooper G8 5*
Brodie,944863486,21,0,21,CLS: CLS C-3PO Han G12 Chewbacca G12 Chewpio G9 5*
Brodie,944863486,35,0,35,Padme/BB: Padme Hunter G9 3* Echo G9 4* Tech G10 3* Wrecker G9 6*
BlackKobra77,495911322,18,18,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BlackKobra77,495911322,3,1,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
BlackKobra77,495911322,43,23,20,Troopers: Veers G12 Piett Dark Trooper R3 Range Trooper G12 Gideon G12
JustDoc,686415836,0,0,0,JMK: JMK CAT GK GAS Ahsoka
JustDoc,686415836,34,34,0,Padme/BB: Padme Hunter Echo Tech Wrecker
JustDoc,686415836,12,8,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R1 RG
JustDoc,686415836,40,15,25,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G11
JustDoc,686415836,31,17,14,CLS: CLS R3 C-3PO G12 Han R3 Chewbacca R3 Chewpio R3
Da Beetle,772984483,36,26,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Starck R3
Da Beetle,772984483,29,16,13,EP: EP G13 Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R3
Da Beetle,772984483,36,11,25,Padme/BB: Padme Hunter G11 5* Echo G10 5* Tech G10 5* Wrecker R3
Da Beetle,772984483,42,32,10,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Marren,269783355,6,6,0,JMK: JMK CAT GK GAS Ahsoka
Marren,269783355,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Marren,269783355,12,12,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Marren,269783355,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Marren,269783355,33,29,4,Troopers: Veers Piett Dark Trooper Range Trooper R3 Gideon R3
Kanon reloaded,236126683,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Kanon reloaded,236126683,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Kanon reloaded,236126683,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kanon reloaded,236126683,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Kanon reloaded,236126683,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Kanon reloaded,236126683,6,6,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Kanon reloaded,236126683,1,0,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R4
Bischmarck,828268378,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Bischmarck,828268378,27,9,18,EP: EP Mara Jade, The Emperor's Hand G8 Vader Thrawn G12 Malak R3
Bischmarck,828268378,25,7,18,CLS: CLS R3 C-3PO G12 Han R3 Chewbacca R3 Chewpio G12
Bischmarck,828268378,38,2,36,Troopers: Veers G12 Piett G9 Dark Trooper G11 Range Trooper G11 Starck G11
Melion77,934943462,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
Melion77,934943462,28,28,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Melion77,934943462,25,23,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
Melion77,934943462,45,27,18,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Starck G12
DeathTheHorseman,256289912,6,6,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
DeathTheHorseman,256289912,49,35,14,Troopers: Veers Piett Dark Trooper G11 Range Trooper G11 5* Starck
DeathTheHorseman,256289912,39,0,39,Padme/BB: Padme Hunter G8 5* Echo G9 4* Tech G8 5* Wrecker G8 5*
DeathTheHorseman,256289912,47,5,42,CLS: CLS G10 C-3PO G11 Han G8 Chewbacca G9 Chewpio G10 5*
Tethan Props,627222289,38,38,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Tethan Props,627222289,15,6,9,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn RG
Good E2 Shoes,285356599,30,30,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Good E2 Shoes,285356599,12,6,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Good E2 Shoes,285356599,25,7,18,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 Malak R2
Grismik,382697645,4,4,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Grismik,382697645,18,18,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Grismik,382697645,33,31,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
Soojalembene,878522874,18,16,2,CLS: CLS C-3PO Han Chewbacca Chewpio R3
Soojalembene,878522874,8,2,6,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak
Soojalembene,878522874,18,11,7,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper R3 Gideon R3
SkubasteveHD,587257322,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
