Player,Offense,Defense,GP,Name,Squad,Viable
"DarthCicatrices",,,625942,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"DarthCicatrices",1,0,158570,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"DarthCicatrices",0,1,99910,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"DarthCicatrices",0,1,117200,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DarthCicatrices",,,410317,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"DarthCicatrices",,,135601,Disintegration,"zAurra G9, zzGreef zBoba zzBossk zzThe Mandalorian",1
"DarthCicatrices",,,116569,Mon Mothma,"zzMon Mothma, zCara Dune, Biggs zzCaptain Rex, Wedge",1
"DarthCicatrices",,,102443,Nute-OR,"zNute G9, zDooku zzJango zZaalbar zMission",1
"DarthCicatrices",1,1,137982,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"DarthCicatrices",1,1,105790,Ewoks,"zChirpa Elder zPaploo zWicket Logray G8",1
"DarthCicatrices",1,0,87122,ShaakClones,"zzShaak Ti, Rex zEcho (501st), zFives zARC Trooper G8",1
"DarthCicatrices",,,65645,Phasma,"Phasma G8, zSith Trooper 3* G7, FOSFTP G5, zzKRU Kylo G9",0
"DarthCicatrices",1,1,95110,NS,"zzMT zAV zDaka Zombie Spirit G9",0
"DarthCicatrices",,,64005,Grievous Omicron,"zzGG B2 G2, zB1 G8, MagnaGuard G5, Droideka G8",0
"DarthCicatrices",1,1,115581,JTR,"zzzJTR zScav Rey, BB-8 G7, zzR2-D2 zFinn",0
"DarthCicatrices",1,1,108644,zEP,"EP G6, zzzVader Tarkin TFP zBSF",0
"DarthCicatrices",1,0,49530,Thragma (Counter),"Thrawn 5* G9, Magma G4, DT G6, Stormtrooper G4, Shoretrooper G8",0
"DarthCicatrices",0,1,59540,Phoenix,"Hera 5* G5, Ezra G8, Kanan Zeb G7, Chopper",0
"DarthCicatrices",,,65872,Bad Batch,"zHunter 6* zEcho 6* Omega 5* G6, zTech 6* Wrecker 6* G9",0
"DarthCicatrices",,,92269,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar G8, Nest 6* G4, zIG-11 Kuiil",0
"DarthCicatrices",1,1,58662,Rogue1,"Jyn G9, Chirrut 5* Baze G6, K-2SO G8, Cassian G6",0
"DarthCicatrices",1,0,53424,Jawas,"Nebit G7, Jawa Engineer G4, Jawa Scavenger G8, Jawa Dathcha G6",0
"Jsilva93",,,184214,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Jsilva93",1,1,162279,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Jsilva93",,,180817,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Jsilva93",1,1,163389,GL Rey,"zzzzzzRey zJTR zBB-8 zRH Poe, zRH Finn",1
"Jsilva93",,,563201,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Jsilva93",1,0,145799,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Jsilva93",,,132648,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Jsilva93",0,1,99151,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Jsilva93",,,149006,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"Jsilva93",,,393078,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Jsilva93",1,0,128290,Traya,"zzTraya DN zSion zzEP Sith Empire Trooper",1
"Jsilva93",,,112669,Mon Mothma,"zzMon Mothma, zCara Dune, Biggs Wedge Lando",1
"Jsilva93",1,1,84032,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Jsilva93",1,0,138727,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Jsilva93",0,1,139645,BH,"zzBossk Boba Cad zJango Dengar",1
"Jsilva93",1,1,99615,Carth,"Carth Onasi, Mission zZaalbar Juhani Canderous",1
"Jsilva93",1,0,132867,Troopers,"zVeers zStarck zzPiett zGideon zDark Trooper",1
"Jsilva93",0,1,68090,Phoenix,"Hera G8, Ezra G8, Kanan G8, Zeb G8, Sabine G8",1
"Jsilva93",,,120550,Phasma,"Phasma zFOTP FOSFTP zFOST zKylo",0
