Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"O iTz LuCaS x",985738122,-2,8842471,4964082,3878389,127,97,202,441,2849702,2106456,154,17,610,4,263,91,119,149,167,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,21,8,10
"Shaun",434694638,-5,6636811,3683982,2952829,124,-274,104,304,1778590,1904716,124,8,249,0,238,38,50,102,120,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,12,8
"Jeff29",946424347,1,6012839,3918148,2094691,187,-22,214,493,2136552,1780920,157,11,475,4,197,63,95,107,123,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,14,7,6
"BassOdin",976321971,-4,7361114,4104503,3256611,126,-234,95,526,2004706,2067222,108,18,593,1,227,85,131,138,145,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,15,7,5
"Towanda",193932966,-5,7788087,4736285,3051802,155,201,146,441,2840657,1887569,196,6,491,3,242,63,103,143,160,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,22,7,10
"MINIGoody",566753157,-1,6331510,3836759,2494751,153,-121,112,292,1996199,1837356,98,17,270,1,200,38,52,79,120,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,16,9,10
"Chance Stryker",672569894,-6,5423585,3366924,2056661,163,-8,103,335,1845816,1518251,114,15,281,1,201,42,55,71,93,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,7,7
"EasilyZeroed",238627762,-3,4714453,2794158,1920295,145,57,9,362,1578837,1214645,43,1,250,0,197,44,51,70,82,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,7,4
"Agent 47",918148185,2,6838482,4102294,2736188,149,-10,96,360,2248436,1852144,128,9,263,1,237,34,66,128,150,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,19,10,12
"BenHanSolo",833437735,-2,8594468,4914538,3679930,133,-106,262,464,2577541,2336321,151,25,623,4,296,87,126,149,171,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,23,10,11
