Player,Ally Code,Current Gear Needed,Team
EfrenRod22,371279244,9,L1 Old Republic: JKR BS G11 Jolee G10 Mission G9 Zaalbar G9
EfrenRod22,371279244,1,L0 BH: Boba Jango G7 Cad The Mandalorian Greedo
Jsilva93,583212364,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G12
Jsilva93,583212364,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
Jsilva93,583212364,3,L1 BH: Boba Jango Cad The Mandalorian G9 Embo
Empire Flare,864117625,2,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar G7
Empire Flare,864117625,15,L1 Jawas: Nebit G11 Jawa Engineer G8 Jawa Scavenger G9 Dathcha G9 Jawa G8 5*
TiltingYou,817243184,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
TiltingYou,817243184,8,L1 BH: Boba Jango G11 Cad G10 The Mandalorian G8 Greedo G11
TiltingYou,817243184,19,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G8 Jawa G8
DarthJS071012,962878525,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
DarthJS071012,962878525,4,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R5 Armorer R5
DarthJS071012,962878525,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
DarthJS071012,962878525,10,L5 Tuskens: Tusken Chieftain R5 Tusken Raider R5 Tusken Shaman R5 Tusken Warrior R5 URoRRuR'R'R R5
DarthJS071012,962878525,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
DarthCicatriz,178613736,2,L1 Jabba: Jabba G10 Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
DarthCicatriz,178613736,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
DarthCicatriz,178613736,13,L0 Maul: Maul G2 The Mandalorian (Beskar Armor) Bo-Katan G3 Canderous Armorer G6
DarthCicatriz,178613736,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R
DarthCicatriz,178613736,7,L0 Jawas: Nebit G7 Jawa Engineer G4 Jawa Scavenger Dathcha G6 Jawa
MINI Mos Eisley Nerfherder,952233855,8,L1 Maul: Maul Sabine Bo-Katan G8 Canderous Armorer G8 5*
MINI Mos Eisley Nerfherder,952233855,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
MINI Mos Eisley Nerfherder,952233855,6,L2 Jawas: Nebit Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
MINI Mos Eisley Nerfherder,952233855,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
MINI Mos Eisley Nerfherder,952233855,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Shaun,434694638,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Shaun,434694638,8,L2 BH: Boba Jango G12 Cad G12 The Mandalorian G12 Greedo G12
Shaun,434694638,1,L0 Tuskens: Tusken Chieftain 6* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 6*
Shaun,434694638,3,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger Dathcha G7 Jawa G7
Cam654,949458719,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Cam654,949458719,5,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo G8
JacksonC,944839333,8,L1 Maul: Maul Sabine Bo-Katan G8 Canderous Armorer G8
JacksonC,944839333,4,L2 Old Republic: JKR BS G12 Jolee G12 Mission Zaalbar
JacksonC,944839333,1,L1 BH: Boba Jango Cad G11 The Mandalorian Embo
JacksonC,944839333,17,L1 Tuskens: Tusken Chieftain G8 Tusken Raider G8 Tusken Shaman G10 Tusken Warrior G8 URoRRuR'R'R G9
JacksonC,944839333,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa G7
DeRezzTV,754382439,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
DeRezzTV,754382439,4,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo
Abeloth,774156929,6,L1 Old Republic: JKR BS Jolee Mission G9 Zaalbar G9
Abeloth,774156929,5,L0 BH: Boba Jango G7 Cad G7 The Mandalorian Greedo G5
MasterQuiGonn,745178868,9,L1 Old Republic: JKR BS Jolee G10 Mission G9 Zaalbar G8
BassOdin,976321971,10,L5 Jawas: Nebit R5 Jawa Engineer R5 Jawa Scavenger R5 Dathcha R5 Jawa R5
BassOdin,976321971,6,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G8
BassOdin,976321971,3,L0 Tuskens: Tusken Chieftain 6* Tusken Raider G6 Tusken Shaman Tusken Warrior URoRRuR'R'R G7
Mr Nuggins,659788619,8,L2 Jawas: Nebit Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Ben Swolo,241341723,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Ben Swolo,241341723,1,L0 BH: Boba Jango Cad The Mandalorian Greedo G7
ForceGhostGymy,865599614,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
Jeff29,946424347,2,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar
Jeff29,946424347,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Kinggriffin14,412876659,9,L1 Carth: Carth Onasi G11 6* Mission G10 6* Zaalbar G10 6* Canderous G10 6* T3-M4 G10
TychoCelchu86,918148185,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
TychoCelchu86,918148185,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
