Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
aflias,379569574,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
aflias,379569574,3,0,3,Grievous: GG G9 B2 B1 Nute MagnaGuard
aflias,379569574,0,0,0,Dooku+Asajj: Dooku AV
black mamba,361312338,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
black mamba,361312338,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
black mamba,361312338,19,3,16,Troopers: Veers G11 Piett G8 4* Gideon G9 5* Dark Trooper G9 6* Range Trooper G7 5*
black mamba,361312338,4,0,4,Dooku+Asajj: Dooku G8 5* AV
Ghent Sinite,722474735,6,6,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Ghent Sinite,722474735,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ghent Sinite,722474735,0,0,0,Dooku+Asajj: Dooku AV
Ghent Sinite,722474735,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gobo,725511482,4,4,0,Grievous: GG B2 B1 Nute MagnaGuard
Gobo,725511482,18,18,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gobo,725511482,15,0,15,Dooku+Asajj: Dooku G8 AV G1
Kinggriffin14,412876659,8,8,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kinggriffin14,412876659,9,2,7,Dooku+Asajj: Dooku G7 5* AV G10 6*
Shaun,434694638,17,17,0,Grievous: GG B2 B1 Droideka MagnaGuard
Shaun,434694638,5,5,0,Dooku+Asajj: Dooku AV
Shaun,434694638,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Shaun,434694638,5,1,4,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G11 6*
Jeff29,946424347,3,2,1,Grievous: GG B2 G11 B1 Droideka MagnaGuard
Jeff29,946424347,1,1,0,Dooku+Asajj: Dooku AV
Jeff29,946424347,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jeff29,946424347,12,1,11,Troopers: Veers Piett Starck Dark Trooper G7 6* Range Trooper G6 5*
Quiztime,856827734,5,0,5,Dooku+Asajj: Dooku G11 AV G8
Towanda,193932966,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
Towanda,193932966,1,1,0,Dooku+Asajj: Dooku AV
Towanda,193932966,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Towanda,193932966,10,1,9,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G6 5*
Gymyrry,453679768,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Nerf,671247743,5,5,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nerf,671247743,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nerf,671247743,20,15,5,Troopers: Veers Piett G10 Starck Dark Trooper G9 6* Range Trooper
Nerf,671247743,8,8,0,Dooku+Asajj: Dooku AV
Cranjis McBasketball,495874361,11,11,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Cranjis McBasketball,495874361,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
Cranjis McBasketball,495874361,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cranjis McBasketball,495874361,8,4,4,Dooku+Asajj: Dooku G8 AV
Ezzi,541871135,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ezzi,541871135,20,20,0,Grievous: GG B2 B1 Nute MagnaGuard
Ezzi,541871135,15,15,0,Dooku+Asajj: Dooku AV
Rui Vuusen,164853248,7,7,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Rui Vuusen,164853248,8,8,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rui Vuusen,164853248,2,2,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rui Vuusen,164853248,3,3,0,Dooku+Asajj: Dooku AV
Cam654,949458719,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Cam654,949458719,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cam654,949458719,14,0,14,Troopers: Veers G10 Piett Gideon G6 6* Dark Trooper G7 5* Range Trooper G11
Cam654,949458719,0,0,0,Dooku+Asajj: Dooku AV
JRod's Force Ghost,472912483,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
JRod's Force Ghost,472912483,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
JRod's Force Ghost,472912483,0,0,0,Dooku+Asajj: Dooku AV
JRod's Force Ghost,472912483,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ballus Bagus,887852453,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ballus Bagus,887852453,1,1,0,Dooku+Asajj: Dooku AV
Ballus Bagus,887852453,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DaleIV,596181122,16,16,0,Grievous: GG B2 B1 Droideka MagnaGuard
DaleIV,596181122,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DaleIV,596181122,0,0,0,Dooku+Asajj: Dooku AV
Mini strategy 115,822742593,12,12,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Mini strategy 115,822742593,17,10,7,Grievous: GG B2 B1 G9 6* Droideka MagnaGuard G8
Mini strategy 115,822742593,5,1,4,Dooku+Asajj: Dooku AV G8
Mini strategy 115,822742593,13,11,2,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy G11
Darthobiwan84,969195991,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
Darthobiwan84,969195991,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Darthobiwan84,969195991,4,4,0,Dooku+Asajj: Dooku AV
MasterQuiGonn,745178868,0,0,0,Dooku+Asajj: Dooku AV
ForceGhostGymy,865599614,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
ForceGhostGymy,865599614,4,3,1,Dooku+Asajj: Dooku G11 AV
ForceGhostGymy,865599614,2,0,2,Geos: GBA G11 Poggle Geo Soldier Sun Fac Geo Spy G11
Abeloth,774156929,0,0,0,Dooku+Asajj: Dooku AV
Abeloth,774156929,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Abeloth,774156929,17,1,16,Grievous: GG G9 B2 G9 B1 G8 3* Droideka G9 4* MagnaGuard G9
Abeloth,774156929,6,2,4,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G11 4*
Zimphire,671265526,3,3,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Zimphire,671265526,18,18,0,Grievous: GG B2 B1 Nute MagnaGuard
Zimphire,671265526,0,0,0,Dooku+Asajj: Dooku AV
Zimphire,671265526,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mol Dizzler,286229792,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mol Dizzler,286229792,5,5,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mol Dizzler,286229792,5,5,0,Dooku+Asajj: Dooku AV
Micah,132927314,9,7,2,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G10
Micah,132927314,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Micah,132927314,8,0,8,Dooku+Asajj: Dooku G8 AV G8 5*
R0N1N,552586897,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Skinwalker,366878499,16,16,0,Grievous: GG B2 B1 Nute MagnaGuard
Skinwalker,366878499,0,0,0,Dooku+Asajj: Dooku AV
Skinwalker,366878499,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Skinwalker,366878499,18,0,18,Troopers: Veers Piett Starck Dark Trooper G4 Range Trooper G2
Jsilva93,583212364,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jsilva93,583212364,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jsilva93,583212364,0,0,0,Dooku+Asajj: Dooku AV
Mr Nuggins,659788619,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Mos Eisley Nerfherder,952233855,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MINI Mos Eisley Nerfherder,952233855,0,0,0,Dooku+Asajj: Dooku AV
MINI Mos Eisley Nerfherder,952233855,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Right4rock,582666688,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Right4rock,582666688,0,0,0,Dooku+Asajj: Dooku AV
Right4rock,582666688,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Right4rock,582666688,6,0,6,Troopers: Veers Piett Starck Dark Trooper Range Trooper G6 6*
EasilyZeroed,238627762,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EasilyZeroed,238627762,17,0,17,Grievous: GG G10 B2 G7 B1 G11 4* Nute G7 Wat Tambor G8
EasilyZeroed,238627762,5,1,4,Dooku+Asajj: Dooku G11 AV G9
pattmobil,226298382,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
pattmobil,226298382,15,0,15,Troopers: Veers G10 Piett G8 Gideon G9 Dark Trooper G9 Range Trooper G9
pattmobil,226298382,4,2,2,Dooku+Asajj: Dooku G10 6* AV
EfrenRod22,371279244,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EfrenRod22,371279244,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Lola90,955111119,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Lola90,955111119,4,4,0,Dooku+Asajj: Dooku AV
Lola90,955111119,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
O iTz LuCaS x,985738122,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
O iTz LuCaS x,985738122,0,0,0,Dooku+Asajj: Dooku AV
O iTz LuCaS x,985738122,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
O iTz LuCaS x,985738122,12,1,11,Troopers: Veers Piett Starck Dark Trooper G7 Range Trooper G6 5*
TiltingYou,817243184,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TiltingYou,817243184,0,0,0,Dooku+Asajj: Dooku AV
TiltingYou,817243184,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TychoCelchu86,918148185,5,5,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
TychoCelchu86,918148185,0,0,0,Dooku+Asajj: Dooku AV
TychoCelchu86,918148185,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TychoCelchu86,918148185,3,2,1,Geos: GBA Poggle Geo Soldier G11 Sun Fac Geo Spy
DarthJS071012,962878525,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
DarthJS071012,962878525,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthJS071012,962878525,0,0,0,Dooku+Asajj: Dooku AV
DarthJS071012,962878525,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TK 79347,693323998,2,0,2,Grievous: GG B2 B1 G10 Nute MagnaGuard
TK 79347,693323998,0,0,0,Dooku+Asajj: Dooku AV
TK 79347,693323998,11,11,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
C 3PO,864953856,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
C 3PO,864953856,8,0,8,Dooku+Asajj: Dooku AV G4
DarthCicatriz,178613736,4,4,0,Dooku+Asajj: Dooku AV
DarthCicatriz,178613736,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthCicatriz,178613736,19,0,19,Grievous: GG B2 G4 B1 G8 Nute G9 Wat Tambor G8
BassOdin,976321971,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
BassOdin,976321971,0,0,0,Dooku+Asajj: Dooku AV
BassOdin,976321971,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BassOdin,976321971,7,6,1,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11 6*
Empire Flare,864117625,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Empire Flare,864117625,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Empire Flare,864117625,1,0,1,Dooku+Asajj: Dooku G11 AV
JacksonC,944839333,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
JacksonC,944839333,1,1,0,Dooku+Asajj: Dooku AV
JacksonC,944839333,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JacksonC,944839333,18,0,18,Troopers: Veers G10 Piett G9 5* Gideon G9 Dark Trooper G7 Range Trooper G7
Ben Swolo,241341723,2,2,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Ben Swolo,241341723,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ben Swolo,241341723,18,18,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ben Swolo,241341723,19,19,0,Dooku+Asajj: Dooku AV
DeRezzTV,754382439,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8
DeRezzTV,754382439,4,0,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
MINIGoody,566753157,7,7,0,Grievous: GG B2 B1 Droideka MagnaGuard
MINIGoody,566753157,0,0,0,Dooku+Asajj: Dooku AV
MINIGoody,566753157,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINIGoody,566753157,16,9,7,Troopers: Veers G10 Piett G11 6* Starck G11 Dark Trooper G10 6* Range Trooper G11 6*
Jalcen,725435517,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jalcen,725435517,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Jalcen,725435517,8,5,3,Troopers: Veers Piett Gideon G11 Dark Trooper G11 Range Trooper G11 6*
Jalcen,725435517,10,10,0,Dooku+Asajj: Dooku AV
