Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Cranjis McBasketball,495874361,15,15,0,GAS Special: GAS Ahsoka
Cranjis McBasketball,495874361,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Cranjis McBasketball,495874361,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Cranjis McBasketball,495874361,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Cranjis McBasketball,495874361,17,1,16,ROLO: ROLO G12 Cpt Solo G12 Leia Baze G8 5* Lando
Ballus Bagus,887852453,7,7,0,GAS Special: GAS Ahsoka
Ballus Bagus,887852453,0,0,0,JKL: JKL HYoda GMY JKR GK
Ballus Bagus,887852453,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ballus Bagus,887852453,7,7,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Ballus Bagus,887852453,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ballus Bagus,887852453,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
DarthCicatrices,178613736,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthCicatrices,178613736,0,0,0,JKL: JKL HYoda JMLS Jolee GK
Agent 47,918148185,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Agent 47,918148185,4,2,2,ROLO: ROLO Cpt Solo Han R1 Chewpio Lando
Agent 47,918148185,16,8,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
Agent 47,918148185,20,4,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
TiltingYou,817243184,0,0,0,GAS Special: GAS Ahsoka
TiltingYou,817243184,4,0,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Mini strategy 115,822742593,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
Jaxximus,786713976,5,5,0,GAS Special: GAS Ahsoka
Jaxximus,786713976,0,0,0,JKL: JKL HYoda GMY Jolee GK
Jaxximus,786713976,6,6,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Jaxximus,786713976,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Jaxximus,786713976,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Jaxximus,786713976,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 5* Lando
Rui Vuusen,164853248,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Rui Vuusen,164853248,1,0,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Rui Vuusen,164853248,20,1,19,JKL: JKL G9 HYoda GMY G12 JKR G12 Jolee G12
Rui Vuusen,164853248,13,0,13,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G12 Fives
Jalcen,725435517,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Jalcen,725435517,17,13,4,CLS: CLS Han Chewbacca Chewpio G12 C-3PO
Lola90,955111119,0,0,0,GAS Special: GAS Ahsoka
Lola90,955111119,0,0,0,JKL: JKL HYoda GMY JKR GK
Lola90,955111119,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Lola90,955111119,8,8,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Lola90,955111119,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
Ghent Sinite,722474735,5,5,0,GAS Special: GAS Ahsoka
