Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
O iTz LuCaS x,985738122,6,0,6,130611,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Jeff29,946424347,58,11,47,71801,Shaak Ti Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
EasilyZeroed,238627762,59,1,58,51622,Shaak Ti G0 0* Fives G8 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Chance Stryker,672569894,42,34,8,126274,Shaak Ti Fives R2 Rex R3 Echo (501st) R2 ARC Trooper
Shaun,434694638,52,19,33,94488,Shaak Ti R3 Fives G10 Rex G12 Echo (501st) G11 ARC Trooper G8
Towanda,193932966,24,0,24,112047,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Skinwalker,366878499,39,30,9,127860,Shaak Ti Fives R2 Rex R2 Echo (501st) ARC Trooper R2
Mol Dizzler,286229792,86,39,47,66970,Shaak Ti R2 Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G0 0*
Mr Nuggins,659788619,72,1,71,24948,Shaak Ti G1 2* Fives G4 Rex G5 Echo (501st) G4 ARC Trooper G5
BassOdin,976321971,59,24,35,83648,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G7
San Holo,292321178,28,4,24,111013,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
MINIGoody,566753157,26,11,15,116073,Shaak Ti Fives Rex R2 Echo (501st) G12 ARC Trooper G12
BenHanSolo,833437735,18,1,17,113351,Shaak Ti G12 Fives R4 Rex R3 Echo (501st) G12 ARC Trooper R3
Agent 47,918148185,38,12,26,106596,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthCicatrices,178613736,70,31,39,87122,Shaak Ti G10 Fives G10 Rex G11 Echo (501st) G12 ARC Trooper G8
Darthobiwan84,969195991,66,42,24,111736,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DaleIV,596181122,53,18,35,84462,Shaak Ti R4 Fives G9 Rex G12 Echo (501st) G9 ARC Trooper G8
Ghent Sinite,722474735,16,16,0,138712,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zimphire,671265526,35,35,0,151853,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TK 79347,693323998,46,9,37,84624,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G8
MINI Mos Eisley Nerfherder,952233855,18,5,13,120092,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper G11
Gobo,725511482,86,1,85,21612,Shaak Ti G1 Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G1 4*
Ben Swolo,241341723,79,22,57,55836,Shaak Ti G9 5* Fives Rex G3 Echo (501st) G3 ARC Trooper G0 0*
Cranjis McBasketball,495874361,46,34,12,123371,Shaak Ti G12 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
