Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lola90,955111119,4,4,0,padme: Padme GK JKA Ahsoka CAT
Lola90,955111119,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Lola90,955111119,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Lola90,955111119,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Lola90,955111119,8,8,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Lola90,955111119,1,0,1,Negotiator: Negotiator BTL-B Y-wing 2* Anakin's Eta-2 Rex's ARC-170 3* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170 6*
Lola90,955111119,32,13,19,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper G1 5*
Shaun,434694638,22,22,0,padme: Padme GK JKA Ahsoka C-3PO
Shaun,434694638,17,9,8,Geonosians Omicron: GBA G12 Sun Fac R2 Geo Soldier Geo Spy Poggle G13
Shaun,434694638,47,46,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Shaun,434694638,38,23,15,Grievous Omicron: GG G12 B2 B1 G12 MagnaGuard G12 Droideka G13
Shaun,434694638,43,27,16,Troopers: Veers G12 Piett Starck Dark Trooper G9 6* Range Trooper G11 6*
Shaun,434694638,35,2,33,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G1 5* R2-D2 G10
Kinggriffin14,412876659,48,0,48,Phasma: Phasma G9 FOTP G9 5* FOSFTP G1 4* FOST G4 4* Kylo G9
Kinggriffin14,412876659,39,1,38,padme: Padme G8 GK G6 6* JKA G11 4* Ahsoka C-3PO G1 6*
Kinggriffin14,412876659,28,16,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle
Lizbeth,968574126,15,3,12,padme: Padme G12 GK JKA Ahsoka G12 C-3PO G12
Lizbeth,968574126,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Lizbeth,968574126,30,8,22,Grievous Omicron: GG G10 B2 G12 B1 G12 MagnaGuard G12 Droideka G12
Lizbeth,968574126,35,0,35,Geonosians Omicron: GBA G10 Sun Fac G8 Geo Soldier G11 Geo Spy G8 Poggle G8
Lizbeth,968574126,28,0,28,Troopers: Veers Piett Starck Dark Trooper G3 5* Range Trooper G1 5*
Lizbeth,968574126,36,0,36,CLS: CLS G12 Han G10 Chewbacca G9 Chewpio G1 4* R2-D2 G12
DaleIV,596181122,0,0,0,padme: Padme GK JKA Ahsoka CAT
DaleIV,596181122,29,17,12,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO
DaleIV,596181122,48,47,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
DaleIV,596181122,8,0,8,Grievous Omicron: GG G12 B2 B1 G12 MagnaGuard Droideka
DaleIV,596181122,1,0,1,Negotiator: Negotiator BTL-B Y-wing 4* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF 6* Clone Sergeant's ARC-170
DaleIV,596181122,20,19,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
DaleIV,596181122,50,27,23,Troopers: Veers Piett Starck Dark Trooper G8 6* Range Trooper G1 5*
DaleIV,596181122,42,11,31,GAS: GAS G11 5* Rex G12 Echo (501st) G9 Fives G9 ARC Trooper G8
O iTz LuCaS x,985738122,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
O iTz LuCaS x,985738122,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
O iTz LuCaS x,985738122,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
O iTz LuCaS x,985738122,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
O iTz LuCaS x,985738122,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
O iTz LuCaS x,985738122,13,0,13,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier R2 Geo Spy G12 Poggle G12
O iTz LuCaS x,985738122,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
O iTz LuCaS x,985738122,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
O iTz LuCaS x,985738122,33,13,20,Troopers: Veers Piett Starck Dark Trooper G6 Range Trooper G6 5*
MINIGoody,566753157,23,23,0,padme: Padme GK JKA Ahsoka C-3PO
MINIGoody,566753157,34,34,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
MINIGoody,566753157,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
MINIGoody,566753157,39,38,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
MINIGoody,566753157,1,0,1,Negotiator: Negotiator 5* BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 6* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
MINIGoody,566753157,1,0,1,Malevolence: Malevolence 5* Hyena Bomber 4* Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
MINIGoody,566753157,36,9,27,Troopers: Veers G10 Piett G11 6* Starck G11 Dark Trooper G10 6* Range Trooper G11 6*
MINIGoody,566753157,12,5,7,CLS: CLS Han Chewbacca Chewpio R2-D2 G9
MINIGoody,566753157,28,14,14,GAS: GAS G11 6* Rex R2 Echo (501st) G12 Fives ARC Trooper G12
DSG,522315894,30,30,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
DSG,522315894,36,32,4,padme: Padme GK JKA Ahsoka C-3PO G12
DSG,522315894,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
DSG,522315894,25,0,25,Geonosians Omicron: GBA G12 Sun Fac G11 Geo Soldier G12 Geo Spy G12 Poggle G8
DSG,522315894,45,5,40,Troopers: Veers G12 Piett G5 3* Starck G11 Dark Trooper G1 1* Range Trooper G11
DSG,522315894,49,0,49,CLS: CLS G8 Han G7 Chewbacca G1 Chewpio G7 3* R2-D2 G8
DSG,522315894,17,0,17,GAS: GAS G8 6* Rex Echo (501st) G12 Fives ARC Trooper G11
Jalcen,725435517,1,1,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Jalcen,725435517,41,41,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Jalcen,725435517,8,0,8,CLS: CLS Han Chewbacca Chewpio G12 C-3PO G12
Jalcen,725435517,4,0,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Jalcen,725435517,24,2,22,Troopers: Veers G12 Piett Gideon G11 Dark Trooper G11 Range Trooper G8 5*
BenHanSolo,833437735,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
BenHanSolo,833437735,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
BenHanSolo,833437735,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
BenHanSolo,833437735,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
BenHanSolo,833437735,6,0,6,Troopers: Veers Piett Gideon R1 Dark Trooper Range Trooper G12
BenHanSolo,833437735,8,8,0,CLS: CLS Han Chewbacca Chewpio R2-D2
BenHanSolo,833437735,4,0,4,GAS: GAS Rex Echo (501st) G12 Fives ARC Trooper
BenHanSolo,833437735,4,3,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
BenHanSolo,833437735,1,0,1,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 5* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Drunkenviking2,877188496,27,10,17,padme: Padme G12 GK JKA G12 Ahsoka G12 C-3PO G11
Drunkenviking2,877188496,12,0,12,Geonosians Omicron: GBA R2 Sun Fac R1 Geo Soldier G12 Geo Spy R2 Poggle G12
Drunkenviking2,877188496,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Drunkenviking2,877188496,45,0,45,Grievous Omicron: GG B2 G1 B1 G1 MagnaGuard Droideka G1 5*
