Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mandalorion Jrnyman",126964277,-3,7353407,4446824,2906583,152,-34,104,456,2408588,2037560,143,16,488,3,255,71,106,132,150,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,18,10,8
"DAGGOBILI",786851589,0,8122831,4795269,3327562,144,-36,283,604,2595083,2200186,136,20,799,5,269,112,163,168,174,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,23,9,9
"Wasburn09",129783432,-4,6993259,4446404,2546855,174,9,233,578,2456736,1989668,184,16,642,3,228,108,128,148,167,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,21,9,8
"Rendash Arend",557291511,-6,7654476,4467401,3187075,140,-71,313,413,2373599,2083848,146,13,418,2,257,53,100,133,168,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,23,9,10
"Lars Quell",151487741,-5,7863691,4815820,3047871,158,66,64,541,2712362,2072632,154,13,569,1,260,71,149,163,174,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,17,8,7
"Jcerillo70",177357652,12,9559248,5610337,3948911,142,-54,250,535,2995847,2585965,174,24,834,6,288,123,158,187,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,9,10
"Frednerk",655585354,10,9966020,5643599,4322421,130,88,280,533,3224979,2411990,182,31,877,4,309,126,168,188,192,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,24,8,9
"Da Conquering One",765966569,-5,9151116,5293220,3857896,137,-65,330,451,2826402,2466142,197,29,708,5,296,103,125,147,179,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,22,8,9
"Wrongfulpuppet",232337688,-5,7730758,4635655,3095103,149,-17,93,496,2529189,2102632,201,14,585,4,238,88,119,148,167,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,20,8,9
"Boyk Jhaatim",919177443,-7,9226396,5627700,3598696,156,46,125,504,3154988,2459607,232,18,706,5,295,99,139,185,203,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,21,6,9
"RP",524758942,-6,10452981,6303793,4149188,151,82,308,531,3580110,2691268,269,29,806,6,319,112,153,241,247,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,30,9,11
"Wolfenstien",431257189,0,10234510,6125650,4108860,149,44,481,495,3430730,2680375,223,32,838,6,321,121,147,193,210,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,25,9,13
"Ke Ke Mar",943347694,-4,9727800,5568317,4159483,133,-58,253,499,2982792,2584849,206,25,633,3,298,76,150,209,227,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,28,13,12
"Griffin",236743442,-8,10200492,6287933,3912559,160,2,207,566,3460205,2821068,275,28,961,8,292,120,184,202,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,10
"Nerf herder",173464351,-2,11129482,6563344,4566138,143,-2,311,540,3592520,2942161,267,31,1061,8,311,154,177,212,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,7,9
"Normi Norto",965867695,-5,10050393,6030899,4019494,150,49,143,508,3388156,2633148,239,17,765,5,302,99,147,211,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26,6,12
"apex predator",778755637,-4,7881923,4650837,3231086,143,-8,103,470,2546730,2098721,159,11,584,4,230,79,116,138,147,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,19,9,10
"Amintor",839325347,-6,11719241,7187858,4531383,158,16,171,657,3966085,3187287,268,50,1327,8,327,176,242,263,267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,7,10
