Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lars Quell,151487741,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Lars Quell,151487741,31,31,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kibleh Toht,512685275,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Kibleh Toht,512685275,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Kibleh Toht,512685275,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon Vader
GravelSK,496916323,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
GravelSK,496916323,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
GravelSK,496916323,0,0,0,Seps (1%): Dooku Jango AV MagnaGuard GG
GravelSK,496916323,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Old Ben
GravelSK,496916323,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
GravelSK,496916323,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GravelSK,496916323,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
9th DOGG of SWAG,987179658,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
9th DOGG of SWAG,987179658,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
HR dpt Chatty's division,959622351,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
HR dpt Chatty's division,959622351,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder EP
HR dpt Chatty's division,959622351,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
HR dpt Chatty's division,959622351,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
HR dpt Chatty's division,959622351,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
HR dpt Chatty's division,959622351,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
HR dpt Chatty's division,959622351,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
Mordhelm,562791448,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mordhelm,562791448,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Mordhelm,562791448,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Mordhelm,562791448,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder EP
Mordhelm,562791448,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Boyk Jhaatim,919177443,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Boyk Jhaatim,919177443,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Boyk Jhaatim,919177443,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Boyk Jhaatim,919177443,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ATX ONE,659226473,0,0,0,Seps (1%): Dooku Jango AV Nute GBA
ATX ONE,659226473,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
ATX ONE,659226473,0,0,0,SLKR+Wat (9%): SL Kylo Hux Wat Tambor KRU Thrawn
