Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
bones,761653187,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
bones,761653187,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
bones,761653187,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
bones,761653187,4,0,4,Dooku+Asajj: Dooku G8 AV
Griffin,236743442,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Griffin,236743442,0,0,0,Dooku+Asajj: Dooku AV
Griffin,236743442,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Griffin,236743442,6,0,6,Troopers: Veers Piett Starck Dark Trooper Range Trooper G6 6*
DAGGOBILI,786851589,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DAGGOBILI,786851589,1,1,0,Dooku+Asajj: Dooku AV
DAGGOBILI,786851589,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DAGGOBILI,786851589,16,0,16,Troopers: Veers G8 Piett Gideon G8 4* Dark Trooper G8 5* Range Trooper G8 5*
Gman3d,845385122,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Gman3d,845385122,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gman3d,845385122,0,0,0,Dooku+Asajj: Dooku AV
Gman3d,845385122,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Hyperspaced Youngling,212125275,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hyperspaced Youngling,212125275,6,3,3,Troopers: Veers G11 Piett Gideon Dark Trooper Range Trooper G10
Hyperspaced Youngling,212125275,0,0,0,Dooku+Asajj: Dooku AV
Hyperspaced Youngling,212125275,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ghostemane,815334383,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Ghostemane,815334383,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ghostemane,815334383,0,0,0,Dooku+Asajj: Dooku AV
Ghostemane,815334383,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mr Hankey,235338797,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mr Hankey,235338797,0,0,0,Dooku+Asajj: Dooku AV
Mr Hankey,235338797,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bithemo Okul,915312418,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bithemo Okul,915312418,0,0,0,Dooku+Asajj: Dooku AV
Bithemo Okul,915312418,16,3,13,Troopers: Veers G11 Piett G11 Gideon G9 Dark Trooper G9 Range Trooper G7
Bithemo Okul,915312418,12,4,8,Geos: GBA G9 Poggle G9 Geo Soldier G11 Sun Fac G11 Geo Spy
Mitth'raw'nuruodo,887757351,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mitth'raw'nuruodo,887757351,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mitth'raw'nuruodo,887757351,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mitth'raw'nuruodo,887757351,0,0,0,Dooku+Asajj: Dooku AV
Wrongfulpuppet,232337688,14,14,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Wrongfulpuppet,232337688,4,4,0,Grievous: GG B2 B1 Droideka MagnaGuard
Wrongfulpuppet,232337688,1,1,0,Dooku+Asajj: Dooku AV
Wrongfulpuppet,232337688,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
CanuckinWV,743793668,2,2,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
CanuckinWV,743793668,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
CanuckinWV,743793668,0,0,0,Dooku+Asajj: Dooku AV
CanuckinWV,743793668,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Amintor,839325347,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Amintor,839325347,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Amintor,839325347,0,0,0,Dooku+Asajj: Dooku AV
Amintor,839325347,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
knaggs1120,722718646,13,13,0,Grievous: GG B2 B1 Droideka MagnaGuard
knaggs1120,722718646,2,2,0,Dooku+Asajj: Dooku AV
knaggs1120,722718646,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tittyboy,794821776,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tittyboy,794821776,2,0,2,Troopers: Veers Piett Gideon G11 Dark Trooper G11 Range Trooper
Tittyboy,794821776,1,0,1,Dooku+Asajj: Dooku G11 AV
Tittyboy,794821776,1,0,1,Geos: GBA Poggle G11 Geo Soldier Sun Fac Geo Spy
Rendash Arend,557291511,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rendash Arend,557291511,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rendash Arend,557291511,4,1,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Rendash Arend,557291511,4,3,1,Dooku+Asajj: Dooku G11 AV
SupremeLeaderBinks,476796531,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
SupremeLeaderBinks,476796531,0,0,0,Dooku+Asajj: Dooku AV
SupremeLeaderBinks,476796531,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SupremeLeaderBinks,476796531,4,0,4,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G11 6*
Sebastien,399275493,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sebastien,399275493,0,0,0,Dooku+Asajj: Dooku AV
Sebastien,399275493,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sebastien,399275493,8,0,8,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G7
Boyk Jhaatim,919177443,5,5,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Boyk Jhaatim,919177443,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Boyk Jhaatim,919177443,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Boyk Jhaatim,919177443,4,1,3,Dooku+Asajj: Dooku G9 AV
apex predator,778755637,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
apex predator,778755637,0,0,0,Dooku+Asajj: Dooku AV
apex predator,778755637,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
apex predator,778755637,9,0,9,Troopers: Veers Piett Starck Dark Trooper G4 6* Range Trooper G11 6*
Wasburn09,129783432,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Wasburn09,129783432,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Wasburn09,129783432,1,0,1,Dooku+Asajj: Dooku G11 AV
Normi Norto,965867695,3,2,1,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11
Normi Norto,965867695,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Normi Norto,965867695,0,0,0,Dooku+Asajj: Dooku AV
Normi Norto,965867695,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ke Ke Mar,943347694,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ke Ke Mar,943347694,0,0,0,Dooku+Asajj: Dooku AV
Ke Ke Mar,943347694,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ke Ke Mar,943347694,6,3,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Pluto,175835439,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Pluto,175835439,0,0,0,Dooku+Asajj: Dooku AV
Pluto,175835439,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Pluto,175835439,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Whitewalker,522782877,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Whitewalker,522782877,0,0,0,Dooku+Asajj: Dooku AV
Whitewalker,522782877,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Whitewalker,522782877,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Nerf herder,173464351,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Nerf herder,173464351,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Nerf herder,173464351,0,0,0,Dooku+Asajj: Dooku AV
Nerf herder,173464351,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jib Foresight,746842417,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Jib Foresight,746842417,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
