Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DAGGOBILI,786851589,39,39,0,111601,GBA Sun Fac Geo Soldier Geo Spy Poggle
Mandalorion Jrnyman,126964277,37,37,0,97998,GBA Sun Fac Geo Soldier Geo Spy Poggle
Lars Quell,151487741,3,3,0,112324,GBA Sun Fac Geo Soldier Geo Spy Poggle
Frednerk,655585354,0,0,0,118423,GBA Sun Fac Geo Soldier Geo Spy Poggle
Jcerillo70,177357652,3,3,0,95721,GBA Sun Fac Geo Soldier Geo Spy Poggle
Wolfenstien,431257189,0,0,0,97226,GBA Sun Fac Geo Soldier Geo Spy Poggle
Boyk Jhaatim,919177443,0,0,0,94424,GBA Sun Fac Geo Soldier Geo Spy Poggle
Griffin,236743442,0,0,0,122551,GBA Sun Fac Geo Soldier Geo Spy Poggle
Ke Ke Mar,943347694,0,0,0,112093,GBA Sun Fac Geo Soldier Geo Spy Poggle
apex predator,778755637,0,0,0,104899,GBA Sun Fac Geo Soldier Geo Spy Poggle
Amintor,839325347,0,0,0,143655,GBA Sun Fac Geo Soldier Geo Spy Poggle
RP,524758942,0,0,0,98744,GBA Sun Fac Geo Soldier Geo Spy Poggle
Bithemo Okul,915312418,12,4,8,86778,GBA G9 Sun Fac G11 Geo Soldier G11 Geo Spy Poggle G9
Rendash Arend,557291511,3,3,0,97367,GBA Sun Fac Geo Soldier Geo Spy Poggle
Vaders Wrath,529633452,0,0,0,110540,GBA Sun Fac Geo Soldier Geo Spy Poggle
Raistin,427524163,0,0,0,112563,GBA Sun Fac Geo Soldier Geo Spy Poggle
Tempestade,869399787,0,0,0,97477,GBA Sun Fac Geo Soldier Geo Spy Poggle
Duncan Idaho,558223872,0,0,0,114341,GBA Sun Fac Geo Soldier Geo Spy Poggle
Mitth'raw'nuruodo,887757351,0,0,0,110900,GBA Sun Fac Geo Soldier Geo Spy Poggle
Yan Elrad,614573839,0,0,0,104470,GBA Sun Fac Geo Soldier Geo Spy Poggle
Bryan,187684786,0,0,0,115746,GBA Sun Fac Geo Soldier Geo Spy Poggle
Hyperspaced Youngling,212125275,0,0,0,104566,GBA Sun Fac Geo Soldier Geo Spy Poggle
Pluto,175835439,0,0,0,140742,GBA Sun Fac Geo Soldier Geo Spy Poggle
Agent S,762721649,0,0,0,115142,GBA Sun Fac Geo Soldier Geo Spy Poggle
Action Jackson,735513766,0,0,0,115162,GBA Sun Fac Geo Soldier Geo Spy Poggle
Charles Carmichael,575581256,0,0,0,112261,GBA Sun Fac Geo Soldier Geo Spy Poggle
Gman3d,845385122,0,0,0,114690,GBA Sun Fac Geo Soldier Geo Spy Poggle
Whitewalker,522782877,0,0,0,124252,GBA Sun Fac Geo Soldier Geo Spy Poggle
FlamingBird,272994959,0,0,0,123652,GBA Sun Fac Geo Soldier Geo Spy Poggle
Natron,498994116,0,0,0,102327,GBA Sun Fac Geo Soldier Geo Spy Poggle
SupremeLeaderBinks,476796531,0,0,0,120554,GBA Sun Fac Geo Soldier Geo Spy Poggle
Ωhme,449894731,30,0,30,61932,GBA G7 Sun Fac G5 Geo Soldier G4 Geo Spy G5 Poggle G9
Rui Vuusen,829415495,4,4,0,111898,GBA Sun Fac Geo Soldier Geo Spy Poggle
KailonTheWhite,431119991,0,0,0,132855,GBA Sun Fac Geo Soldier Geo Spy Poggle
Troa,115961315,0,0,0,107305,GBA Sun Fac Geo Soldier Geo Spy Poggle
Unclad,372639244,0,0,0,93500,GBA Sun Fac Geo Soldier Geo Spy Poggle
Tylus Gregson,952489257,0,0,0,102375,GBA Sun Fac Geo Soldier Geo Spy Poggle
Hankey Jr,312123653,24,0,24,51297,GBA Sun Fac G1 Geo Soldier G11 Geo Spy G1 Poggle G11
Meenot,737998948,0,0,0,93839,GBA Sun Fac Geo Soldier Geo Spy Poggle
phambam,161775251,0,0,0,119535,GBA Sun Fac Geo Soldier Geo Spy Poggle
Wheels,527159147,0,0,0,96444,GBA Sun Fac Geo Soldier Geo Spy Poggle
CoconutPete,672471955,0,0,0,93551,GBA Sun Fac Geo Soldier Geo Spy Poggle
SprayinBabies,317469184,0,0,0,97525,GBA Sun Fac Geo Soldier Geo Spy Poggle
Jader,446271891,0,0,0,117094,GBA Sun Fac Geo Soldier Geo Spy Poggle
IceStoy,298744196,0,0,0,95221,GBA Sun Fac Geo Soldier Geo Spy Poggle
ScorpiusDraco,988483614,0,0,0,112400,GBA Sun Fac Geo Soldier Geo Spy Poggle
Mr Hankey,235338797,0,0,0,99732,GBA Sun Fac Geo Soldier Geo Spy Poggle
Ghostemane,815334383,0,0,0,114175,GBA Sun Fac Geo Soldier Geo Spy Poggle
Seasu Gohay,241156488,0,0,0,112891,GBA Sun Fac Geo Soldier Geo Spy Poggle
