Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
SupremeLeaderBinks,476796531,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
SupremeLeaderBinks,476796531,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
SupremeLeaderBinks,476796531,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SupremeLeaderBinks,476796531,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
SupremeLeaderBinks,476796531,20,0,20,Troopers: Veers R3 Piett Dark Trooper G9 5* Range Trooper G11 6* Starck R3
SupremeLeaderBinks,476796531,34,0,34,Padme/BB: Padme Hunter G11 5* Echo G8 4* Tech G8 5* Wrecker G11 5*
Raistin,427524163,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Raistin,427524163,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Raistin,427524163,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Raistin,427524163,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Raistin,427524163,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Raistin,427524163,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Raistin,427524163,3,1,2,Troopers: Veers R4 Piett Dark Trooper Range Trooper R4 Gideon
Frednerk,655585354,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Frednerk,655585354,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Frednerk,655585354,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Frednerk,655585354,10,9,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R4 Malak
Frednerk,655585354,46,31,15,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R1 Gideon R2
Frednerk,655585354,43,0,43,Padme/BB: Padme Hunter G9 Echo G3 Tech G9 Wrecker G8
Wrongfulpuppet,232337688,7,7,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Wrongfulpuppet,232337688,11,11,0,JMLS: JMLS JKL JKR GMY HYoda
Wrongfulpuppet,232337688,14,14,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Wrongfulpuppet,232337688,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Wrongfulpuppet,232337688,43,0,43,Padme/BB: Padme Hunter G11 6* Echo G9 4* Tech G5 5* Wrecker G4 4*
Wrongfulpuppet,232337688,13,0,13,Troopers: Veers R3 Piett R3 Dark Trooper R3 Range Trooper R3 Gideon G13
Whitewalker,522782877,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Whitewalker,522782877,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Whitewalker,522782877,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Whitewalker,522782877,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Whitewalker,522782877,12,0,12,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper Starck R4
Whitewalker,522782877,34,0,34,Padme/BB: Padme Hunter G11 Echo G10 Tech G9 Wrecker G8
Vaders Wrath,529633452,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Vaders Wrath,529633452,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
