Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DAGGOBILI,786851589,18,18,0,144621,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frednerk,655585354,0,0,0,144763,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mandalorion Jrnyman,126964277,64,64,0,138109,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lars Quell,151487741,35,35,0,137910,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jcerillo70,177357652,38,38,0,151148,Shaak Ti Fives Rex Echo (501st) ARC Trooper
RP,524758942,5,5,0,143479,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wrongfulpuppet,232337688,52,52,0,137965,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wasburn09,129783432,6,6,0,136547,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rendash Arend,557291511,25,22,3,138117,Shaak Ti Fives Rex Echo (501st) R4 ARC Trooper R3
Boyk Jhaatim,919177443,0,0,0,138639,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Griffin,236743442,7,3,4,143019,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
darthAnology,268848548,0,0,0,155393,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Normi Norto,965867695,0,0,0,146530,Shaak Ti Fives Rex Echo (501st) ARC Trooper
apex predator,778755637,18,0,18,114703,Shaak Ti Fives Rex Echo (501st) ARC Trooper G0 0*
Yan Elrad,614573839,22,0,22,112509,Shaak Ti Fives G13 Rex Echo (501st) G1 ARC Trooper
Bithemo Okul,915312418,0,0,0,142882,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nerf herder,173464351,0,0,0,150857,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Amintor,839325347,0,0,0,154826,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Duncan Idaho,558223872,0,0,0,143869,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CanuckinWV,743793668,0,0,0,151751,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Da Conquering One,765966569,6,6,0,152210,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nick Scott,369379859,0,0,0,153667,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tempestade,869399787,0,0,0,144943,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Raistin,427524163,0,0,0,155226,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FlamingBird,272994959,0,0,0,151916,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jib Foresight,746842417,0,0,0,154339,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rui Vuusen,829415495,41,41,0,142377,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Agent S,762721649,0,0,0,155524,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaders Wrath,529633452,0,0,0,150753,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Charles Carmichael,575581256,0,0,0,154831,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ghostemane,815334383,0,0,0,151796,Shaak Ti Fives Rex Echo (501st) ARC Trooper
knaggs1120,722718646,48,48,0,134076,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SupremeLeaderBinks,476796531,0,0,0,148978,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mitth'raw'nuruodo,887757351,44,20,24,93121,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Mr Hankey,235338797,48,0,48,71163,Shaak Ti G12 Fives G9 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
Wheels,527159147,0,0,0,138425,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Action Jackson,735513766,0,0,0,136750,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gman3d,845385122,0,0,0,152613,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Unclad,372639244,0,0,0,145818,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Natron,498994116,2,0,2,146693,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
Whitewalker,522782877,0,0,0,144365,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sebastien,399275493,0,0,0,148261,Shaak Ti Fives Rex Echo (501st) ARC Trooper
KailonTheWhite,431119991,0,0,0,162152,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rodrca,823518452,0,0,0,141342,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jader,446271891,46,41,5,136922,Shaak Ti Fives Rex Echo (501st) ARC Trooper G13
Hyperspaced Youngling,212125275,0,0,0,148312,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bryan,187684786,0,0,0,147318,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ke Ke Mar,943347694,0,0,0,134269,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wolfenstien,431257189,0,0,0,143145,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pluto,175835439,0,0,0,154686,Shaak Ti Fives Rex Echo (501st) ARC Trooper
