Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Normi Norto,965867695,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Normi Norto,965867695,1,1,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Normi Norto,965867695,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Normi Norto,965867695,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Normi Norto,965867695,5,5,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Normi Norto,965867695,7,2,5,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11
Normi Norto,965867695,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Normi Norto,965867695,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Normi Norto,965867695,20,19,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Raistin,427524163,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Raistin,427524163,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Raistin,427524163,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Raistin,427524163,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Raistin,427524163,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Raistin,427524163,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Raistin,427524163,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Raistin,427524163,3,0,3,Geonosians Omicron: GBA Sun Fac R2 Geo Soldier R2 Geo Spy Poggle R2
Da Conquering One,765966569,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Da Conquering One,765966569,6,6,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Da Conquering One,765966569,14,3,11,Grievous Omicron: GG B2 G11 B1 MagnaGuard R1 Droideka G12
Da Conquering One,765966569,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Da Conquering One,765966569,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Da Conquering One,765966569,10,7,3,Troopers: Veers Piett Starck Dark Trooper R2 Range Trooper R1
Da Conquering One,765966569,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Da Conquering One,765966569,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Da Conquering One,765966569,22,0,22,Geonosians Omicron: GBA G12 Sun Fac G11 Geo Soldier G12 Geo Spy G12 Poggle G11
Whitewalker,522782877,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Whitewalker,522782877,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Whitewalker,522782877,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Whitewalker,522782877,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Whitewalker,522782877,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Whitewalker,522782877,2,0,2,Grievous Omicron: GG B2 R2 B1 MagnaGuard Droideka R2
Whitewalker,522782877,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Whitewalker,522782877,7,0,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Wheels,527159147,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Wheels,527159147,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Wheels,527159147,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Wheels,527159147,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Wheels,527159147,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Wheels,527159147,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Wheels,527159147,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Wheels,527159147,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Wheels,527159147,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Mandalorion Jrnyman,126964277,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Mandalorion Jrnyman,126964277,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Mandalorion Jrnyman,126964277,19,15,4,Grievous Omicron: GG B2 B1 G12 MagnaGuard Droideka
Mandalorion Jrnyman,126964277,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Mandalorion Jrnyman,126964277,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Mandalorion Jrnyman,126964277,5,0,5,CLS: CLS Han Chewbacca Chewpio G11 C-3PO
Mandalorion Jrnyman,126964277,13,13,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Mandalorion Jrnyman,126964277,46,15,31,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G5 6* Range Trooper G4 5*
Boyk Jhaatim,919177443,4,4,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Boyk Jhaatim,919177443,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Boyk Jhaatim,919177443,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Boyk Jhaatim,919177443,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Boyk Jhaatim,919177443,21,21,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Boyk Jhaatim,919177443,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Boyk Jhaatim,919177443,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Boyk Jhaatim,919177443,1,0,1,Malevolence: Malevolence Hyena Bomber Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
Boyk Jhaatim,919177443,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Nerf herder,173464351,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Nerf herder,173464351,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Nerf herder,173464351,1,1,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Nerf herder,173464351,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Nerf herder,173464351,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
