Player,Offense,Defense,GP,Name,Squad,Viable
"Fahrenheit",,,184377,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Fahrenheit",,,182796,LV,"zzzzzzLord Vader, zzDarth Malgus, zzzVader zRG zNinth Sister",1
"Fahrenheit",,,123504,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Fahrenheit",,,136398,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Fahrenheit",,,450786,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Fahrenheit",1,1,171532,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Fahrenheit",,,190119,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Fahrenheit",1,1,173277,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Fahrenheit",,,166609,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Fahrenheit",0,1,99630,Qira,"Qira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Fahrenheit",1,1,112686,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Fahrenheit",,,612646,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Fahrenheit",,,171182,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Fahrenheit",1,0,161652,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Fahrenheit",,,136131,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Fahrenheit",,,517149,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Fahrenheit",,,321985,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Fahrenheit",1,0,140079,Traya,"zzTraya zzDN zSion Sith Assassin, Sith Empire Trooper",1
"Fahrenheit",,,113160,Mon Mothma,"zzMon Mothma, zCara Dune, zPao Bistan Scarif",1
"Fahrenheit",1,0,129521,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Fahrenheit",1,1,105937,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Fahrenheit",1,0,152262,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Fahrenheit",0,1,156892,BH,"zzBossk zDengar zFennec Shand, zZam zzJango",1
"Fahrenheit",,,95841,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma DT",1
"Fahrenheit",0,1,118948,Phoenix,"zHera zEzra zKanan zSabine zCaptain Rex",1
