Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Wilf Willson",559593336,-3,11155680,6618235,4537445,145,-40,597,603,3573475,3016118,268,31,1104,8,318,148,219,234,239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,9
"jms101649",881219594,1,8852641,5193292,3659349,141,-33,364,470,2808759,2355690,228,18,661,6,316,91,132,152,166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,18,7,8
"Falch",931281728,-2,9475352,5825594,3649758,159,7,276,520,3225884,2595054,246,19,825,7,293,124,148,180,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,24,9,11
"Kurnus",513145386,0,10316654,6267061,4049593,154,35,282,576,3505044,2741844,259,21,910,5,310,139,193,220,226,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,28,9,9
"Maxpowerrs",414317555,-5,10068525,6110658,3957867,154,-10,350,536,3352731,2746475,235,13,830,7,296,110,169,205,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,29,8,12
"ⱠordɎes",774115838,-1,12278134,7503018,4775116,157,-25,766,636,4077660,3392898,315,44,1449,8,331,210,233,259,265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,10
"BertFett",247537167,0,10690319,6459684,4230635,152,28,535,581,3609525,2844837,250,31,1017,7,313,140,198,220,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,7,11
"BigBoss",172826376,1,10148153,5882528,4265625,137,-35,482,566,3196461,2686067,242,24,991,8,293,142,177,200,209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,7,8
"Yestare",613161642,1,9683094,6070694,3612400,168,-21,379,563,3313082,2744507,250,28,920,8,296,136,172,190,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,7,10
"GeO",966821199,0,11363872,6911152,4452720,155,7,369,614,3814485,3069654,277,34,1149,8,331,166,207,261,262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,9
