Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Orion Deathhunter,837258489,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Orion Deathhunter,837258489,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Orion Deathhunter,837258489,0,0,0,JKL: JKL HYoda GMY Jolee GK
Orion Deathhunter,837258489,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Orion Deathhunter,837258489,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Moonwalker,564165344,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Moonwalker,564165344,0,0,0,JKL: JKL HYoda GMY JKR GK
Moonwalker,564165344,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Moonwalker,564165344,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Moonwalker,564165344,19,0,19,ROLO: ROLO Cpt Solo Biggs G12 Baze G1 Lando
Moonwalker,564165344,8,0,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
marco87,217197326,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
marco87,217197326,0,0,0,JKL: JKL HYoda GMY JKR GK
marco87,217197326,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
marco87,217197326,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
marco87,217197326,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
BigBoss,172826376,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
BigBoss,172826376,0,0,0,JKL: JKL HYoda GMY JKR GK
BigBoss,172826376,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
BigBoss,172826376,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
BigBoss,172826376,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
BigBoss,172826376,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Home One,886581815,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Home One,886581815,0,0,0,JKL: JKL HYoda GMY Jolee GK
Home One,886581815,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Home One,886581815,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Home One,886581815,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Home One,886581815,9,8,1,ROLO: ROLO Cpt Solo Biggs Baze Lando
ⱠordɎes,774115838,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
ⱠordɎes,774115838,0,0,0,JKL: JKL HYoda GMY JKR GK
ⱠordɎes,774115838,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ⱠordɎes,774115838,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
ⱠordɎes,774115838,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
ⱠordɎes,774115838,4,3,1,ROLO: ROLO Cpt Solo Biggs Baze Lando
Hungieman,955832764,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Hungieman,955832764,9,9,0,JKL: JKL HYoda GMY Jolee GK
Hungieman,955832764,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Hungieman,955832764,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Hungieman,955832764,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Puk Grum,113461182,0,0,0,JKL: JKL HYoda GMY GK GAS
Puk Grum,113461182,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Puk Grum,113461182,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Puk Grum,113461182,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Puk Grum,113461182,8,0,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
GRIMREAPER252,792429481,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
GRIMREAPER252,792429481,0,0,0,JKL: JKL HYoda GMY Jolee GK
GRIMREAPER252,792429481,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
GRIMREAPER252,792429481,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
GRIMREAPER252,792429481,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
GRIMREAPER252,792429481,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Rven,724289171,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Rven,724289171,0,0,0,JKL: JKL HYoda GMY JKR GK
Rven,724289171,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rven,724289171,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Rven,724289171,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Rven,724289171,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
MINI Darthfrankie,556495658,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
MINI Darthfrankie,556495658,0,0,0,JKL: JKL HYoda GMY Jolee GK
MINI Darthfrankie,556495658,6,6,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MINI Darthfrankie,556495658,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
MINI Darthfrankie,556495658,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
MINI Darthfrankie,556495658,6,5,1,ROLO: ROLO Cpt Solo Leia Baze Lando
ZuluJedi,799391413,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
ZuluJedi,799391413,0,0,0,JKL: JKL HYoda GMY Jolee GK
