Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"FFG50 Mol Slash",499445554,-4,9330732,5619387,3711345,151,103,219,507,3231584,2372730,213,23,601,3,295,74,136,217,232,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,30,13,12
"2Red1Blonde",391958232,-5,9296471,5607106,3689365,151,-69,419,496,2984828,2609173,229,22,695,2,269,102,140,183,212,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,24,12,13
"FFG50 E Rod",623687665,-5,8816486,5433889,3382597,160,-56,259,583,2899389,2501776,220,17,797,4,278,110,166,189,195,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,23,8,10
"Kaspa",217422451,-8,8337859,4950053,3387806,146,65,74,364,2796127,2133633,205,6,306,1,289,35,78,165,196,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,25,11,10
"RobMaul226",964183179,-5,9047922,5429728,3618194,150,-41,165,505,2932115,2492570,220,13,685,5,282,91,152,168,181,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,24,8,10
"Bex",968556754,3,8499166,4994009,3505157,142,-38,70,438,2698633,2287368,189,17,599,4,267,87,113,140,149,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,20,7,9
"Bearsfan4life34",347549235,-5,9743384,5740637,4002747,143,-65,184,487,3053209,2658810,239,26,723,6,308,102,148,182,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,27,9,11
"Tanis3463",891879236,-6,7807292,4761281,3046011,156,-3,310,471,2602573,2129853,198,15,490,2,261,61,113,157,177,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,24,9,10
"JoeP",731186187,-5,7531700,4495424,3036276,148,87,51,501,2569674,1918532,158,6,600,3,249,95,118,140,157,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,18,7,5
"Leebo",898914357,-7,8441109,4763728,3677381,129,-105,108,451,2484398,2250401,201,14,540,4,289,71,119,154,164,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,21,7,8
"Vagabond12",957436722,-4,7851736,4567892,3283844,139,-71,203,408,2435236,2132656,166,5,407,3,262,49,97,142,166,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,21,11,11
"Gunner",443344877,-5,8158904,4964930,3193974,155,21,78,369,2753660,2196416,197,16,364,2,262,53,67,162,183,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,23,7,10
"DLT35",969465438,-1,8242715,4987420,3255295,153,-41,129,491,2694911,2289569,202,16,527,3,251,67,127,173,185,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,25,9,11
"Ghana",824222598,-2,8193227,5087696,3105531,163,10,115,517,2810102,2267895,211,15,633,5,254,84,140,157,171,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,20,6,8
"FFG50 ObiWanWasabi",831946982,-5,6139748,3867268,2272480,170,-86,133,363,2047266,1819326,142,6,297,1,231,43,64,100,128,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,16,10,10
"FFG50 Sherber",493385567,-4,7508954,4178601,3330353,125,-161,95,481,2134687,2043238,75,13,538,1,256,75,118,136,150,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,16,8,8
"AndyGoldsworthy",671862646,-6,8886175,4704630,4181545,112,-29,209,517,2557950,2146680,163,22,725,3,270,96,147,168,174,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,21,9,8
