Player,Ally Code,Current Gear Needed,Team
ChanSolo,877224361,6,L1 Maul: Maul Sabine G11 Bo-Katan Canderous G11 Armorer G8 6*
ChanSolo,877224361,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
ChanSolo,877224361,2,L1 BH: Boba Jango Cad The Mandalorian Embo G10
ChanSolo,877224361,15,L1 Jawas: Nebit G9 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G9 Jawa G8
ChanSolo,877224361,1,L0 Tuskens: Tusken Chieftain Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 6*
FFG50 Dferb,146328566,4,L4 Maul: Maul R3 The Mandalorian (Beskar Armor) Bo-Katan Canderous R3 Armorer
FFG50 Dferb,146328566,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
FFG50 Dferb,146328566,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
FFG50 Dferb,146328566,21,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger Dathcha Jawa G1 6*
MikesStudios,447427523,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 6*
FFG50 Lil Mol Eliza,721245727,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
FFG50 Lil Mol Eliza,721245727,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
Ghana,824222598,4,L3 Maul: Maul Sabine Bo-Katan Canderous R1 Armorer R1
Ghana,824222598,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Ghana,824222598,2,L2 BH: Boba Jango Cad The Mandalorian Embo G12
Ghana,824222598,13,L1 Jawas: Nebit G9 Jawa Engineer G10 Jawa Scavenger G8 Dathcha G8 Jawa
Ghana,824222598,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior G7 URoRRuR'R'R
Pizzaskull,196817815,3,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G9
Pizzaskull,196817815,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Pizzaskull,196817815,4,L2 BH: Boba G12 Jango Cad The Mandalorian G12 Embo
Pizzaskull,196817815,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Pizzaskull,196817815,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G6
Lanke,414296723,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Lanke,414296723,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Lanke,414296723,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G7 5*
Lanke,414296723,1,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger Dathcha Jawa
