Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JoeP,731186187,8,8,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
JoeP,731186187,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
JoeP,731186187,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
JoeP,731186187,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
JoeP,731186187,24,24,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JoeP,731186187,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Vagabond12,957436722,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Vagabond12,957436722,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Vagabond12,957436722,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
RobMaul226,964183179,8,8,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
RobMaul226,964183179,0,0,0,Seps (1%): Dooku Jango B2 AV B1
RobMaul226,964183179,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon DR
RobMaul226,964183179,2,2,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
dferb,146328566,9,9,0,GG (2%): GG B1 Droideka B2 MagnaGuard
dferb,146328566,2,2,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
dferb,146328566,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
dferb,146328566,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Leebo,898914357,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Leebo,898914357,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon DR
Leebo,898914357,3,3,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Lanke,414296723,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Lanke,414296723,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Barsellius,154731479,28,28,0,Padme 3%: Padme JKA GK Ahsoka GMY
Barsellius,154731479,25,25,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaalyn,665317287,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Vaalyn,665317287,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Vaalyn,665317287,3,3,0,Padme 3%: Padme JKA GK Ahsoka GMY
Vaalyn,665317287,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaalyn,665317287,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
TwoRedOneBlonde,391958232,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
TwoRedOneBlonde,391958232,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
TwoRedOneBlonde,391958232,0,0,0,Seps (1%): Dooku Jango GBA B1 Droideka
TwoRedOneBlonde,391958232,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
lefty2,312726569,8,8,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
lefty2,312726569,7,7,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
lefty2,312726569,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Dark Yoga,372413721,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dark Yoga,372413721,1,1,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Dark Yoga,372413721,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Vader
Dark Yoga,372413721,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Dark Yoga,372413721,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Mol Slash,499445554,18,18,0,Padme 3%: Padme JKA GK Ahsoka GMY
ThatSwimmyBoi,773375616,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Tsring,548578744,23,23,0,Padme 3%: Padme JKA GK Ahsoka GMY
Seawalker,662999335,23,23,0,Padme 3%: Padme JKA GK Ahsoka GMY
Hego Damask,573371427,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon DR
Hego Damask,573371427,2,2,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Teddy51271,828578167,9,9,0,SEE P1 5%: SEE Malak Sith Marauder Vader Dooku
Oma Desala,512337883,7,7,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Oma Desala,512337883,29,29,0,Padme 3%: Padme JKA GK Ahsoka GMY
Jonnington,148748464,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Jonnington,148748464,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jonnington,148748464,7,7,0,Padme 3%: Padme JKA GK Ahsoka GMY
Jonnington,148748464,15,15,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Jonnington,148748464,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Belikeyeet610,519383251,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
adamclark52,586229869,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
adamclark52,586229869,21,21,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Gunner,443344877,0,0,0,Seps (1%): Dooku Jango AV GG Droideka
Gunner,443344877,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Vader
Gunner,443344877,6,6,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Ghana,824222598,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader DR
Ghana,824222598,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Ghana,824222598,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Øzymandias Kîng of Kîngs,481592625,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Øzymandias Kîng of Kîngs,481592625,0,0,0,JKL + JML (6%): JKL JMLS JKR Ezra Old Ben
E Rod,623687665,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Sidious
E Rod,623687665,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
E Rod,623687665,7,7,0,JMK (8%): JMK GK Ahsoka CAT JKA
E Rod,623687665,11,11,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Xaven,779993281,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Dooku DR
Xaven,779993281,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Xaven,779993281,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Xaven,779993281,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Xaven,779993281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Xaven,779993281,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Enderhanced,736288516,10,10,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Infinity,532926137,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Silver Skull,288223315,31,31,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Silver Skull,288223315,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Silver Skull,288223315,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Silver Skull,288223315,1,1,0,JMK (8%): JMK GK Ahsoka CAT GAS
Tanis3463,891879236,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Tanis3463,891879236,0,0,0,JKL + JML (6%): JKL JMLS JKA JKR Old Ben
DLT35,969465438,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DLT35,969465438,7,7,0,GG (2%): GG B1 Droideka B2 HK-47
DLT35,969465438,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Eckle Merasska,151941589,11,11,0,Padme 3%: Padme JKA GK Ahsoka GMY
Eckle Merasska,151941589,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Manhofung,564738937,0,0,0,Seps (1%): Dooku Jango GBA AV MagnaGuard
Manhofung,564738937,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe JKL
Manhofung,564738937,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Manhofung,564738937,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader DR
Manhofung,564738937,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Manhofung,564738937,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
FilthyFrogDog,422739188,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Darth Talon
FilthyFrogDog,422739188,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Bearsfan4life34,347549235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Bearsfan4life34,347549235,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon DR
Bearsfan4life34,347549235,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Bearsfan4life34,347549235,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Bex,968556754,12,12,0,Padme 3%: Padme JKA GK Ahsoka GMY
Bex,968556754,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Vader
Bex,968556754,3,3,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Green Manalishi,232666641,9,5,4,p4: GG (2%): GG R1 B1 Droideka B2 HK-47
Green Manalishi,232666641,14,12,2,p1: Vader P1 10%: Vader KRU R3 Wat Tambor C-3PO BB-8
Green Manalishi,232666641,14,4,10,p2: Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor Traya
Xaven,779993281,14,8,6,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper
