Player,Offense,Defense,GP,Name,Squad,Viable
"Kai Dannik",0,1,139417,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"Kai Dannik",,,186602,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Kai Dannik",1,0,148792,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Kai Dannik",0,1,146263,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Kai Dannik",,,497902,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Rex's ARC-170",1
"Kai Dannik",1,1,105461,NS_Alt,"zzMT zzAV zDaka Zombie Talia",1
"Kai Dannik",,,432437,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Kai Dannik",0,1,118058,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Kai Dannik",1,0,131928,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Kai Dannik",1,1,117546,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn G9",1
"Kai Dannik",,,108456,Mon Mothma,"zzMon Mothma, zPao Wedge Biggs Hoth Rebel Scout",1
"Kai Dannik",1,0,152405,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Kai Dannik",1,1,94321,Ewoks,"zChirpa Elder zPaploo Teebo zWicket",1
"Kai Dannik",0,1,114391,BH,"zzBossk zBoba zzJango Dengar zzEmbo",1
"Kai Dannik",1,1,90219,Carth,"zCarth Onasi, zMission zZaalbar Juhani G9, Canderous",1
"Kai Dannik",1,0,118700,Troopers,"zVeers zStarck zzPiett zDark Trooper, zzGideon",1
"Kai Dannik",0,1,76124,Phoenix,"Hera Ezra zKanan G9, Zeb G8, Chopper",1
"Kai Dannik",,,120351,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Kai Dannik",0,1,147581,BS,"zBS zzGMY zJolee zzOld Ben, zzHYoda",1
"Kai Dannik",,,67884,Phasma,"Phasma G7, FOTP G9, FOSFTP G8, KRU G8, Kylo G8",0
"Kai Dannik",0,1,109072,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Kai Dannik",,,392850,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Kai Dannik",,,89104,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma G7, DT",0
"Kai Dannik",1,0,7873,NestSolo (Counter),"Nest G5",0
"Tahl Rexick",,,184176,JMK,"zzzzzzJMK zAhsoka zzzCAT zzPadme zGK",1
"Tahl Rexick",,,522055,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Tahl Rexick",0,1,135316,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Tahl Rexick",1,1,151151,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Tahl Rexick",1,1,94415,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Tahl Rexick",0,1,117325,BH,"zzBossk zZam Boba G9, zJango Cad",1
"Tahl Rexick",,,300763,Malevolence,"Malevolence Hyena Bomber, Vulture Droid 6*, Sun Fac SF, Soldier SF, Spy SF",0
"Tahl Rexick",0,1,89314,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Tahl Rexick",1,1,72622,NS,"zMT G7, zAV Daka G9, Zombie G8, Spirit G4",0
"Tahl Rexick",1,1,86974,zEP,"zEP zzVader Tarkin Traya G5, zMara Jade, The Emperor's Hand G9",0
"Tahl Rexick",0,1,79398,Phoenix,"zHera G8, zEzra G7, zKanan G8, zZeb G8, zSabine G8",0
"Tahl Rexick",,,114781,Bad Batch,"zHunter zEcho Omega G8, zTech zWrecker",0
"Tahl Rexick",1,0,11304,NestSolo (Counter),"Nest G7",0
"Little Porg",1,1,137604,JTR,"zzzJTR zzR2-D2 zzBB-8 zRH Finn, zRH Poe",1
"Little Porg",1,1,111792,Revan,"zzzJKR zBS zGMY zJolee GK",1
"Little Porg",0,1,107320,BH,"zzBossk zBoba zThe Mandalorian, zzJango Dengar",1
"Little Porg",1,1,109983,zEP,"zzEP zzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"Little Porg",0,1,79474,Phoenix,"Hera Ezra Kanan Zeb G8, zSabine",1
"Little Porg",1,0,21262,SionSolo (Counter),"zSion",1
"Little Porg",,,70455,Phasma,"Phasma G7, FOE G7, FOO G7, zKRU Kylo G8",0
"Little Porg",,,243210,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF 3*, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Rex's ARC-170 3*",0
"Little Porg",1,0,108032,CLS,"zzzCLS zHan zLeia Old Ben G9, zzChewbacca",0
"TMONEY",1,1,169271,GL Rey,"zzzzzzRey zGK zzzJTR zRH Poe, zRH Finn",1
"TMONEY",1,0,120668,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"TMONEY",1,1,101445,NS_Alt,"zzMT zzAV zDaka Zombie Talia",1
"TMONEY",,,427825,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",1
"TMONEY",0,1,127624,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"TMONEY",,,481429,Raddus,"Raddus 6* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",1
"TMONEY",1,1,149375,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"TMONEY",1,1,94383,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"TMONEY",0,1,111625,BH,"zzBossk zBoba Jango Cad zDengar G9",1
"TMONEY",0,1,97556,Phoenix,"zHera zEzra zKanan Zeb zSabine",1
"TMONEY",0,1,76810,FO,"zzKRU zKylo G9, FOTP G9, FOSFTP G9, FOO G8",1
"TMONEY",1,0,97841,QGJ,"QGJ Aayla zJKA Old Ben G9, zAhsoka",1
"TMONEY",0,1,94012,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"TMONEY",,,81655,Mon Mothma,"Mon Mothma G9, Chirrut Wedge Biggs zzJyn",0
"TMONEY",1,1,96662,GAS,"zzzzGAS zRex G9, zEcho (501st) G9, zzFives zARC Trooper 5*",0
"TMONEY",1,1,81685,zEP,"zzEP Vader Tarkin TFP G8, Traya G7",0
"TMONEY",1,0,6384,SionSolo (Counter),"Sion 5* G2",0
"Kale Raxl",,,178066,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Kale Raxl",,,121006,Phasma,"zPhasma FOE zSith Trooper, zzKRU zKylo",1
"Kale Raxl",0,1,96622,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Kale Raxl",1,1,107532,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Kale Raxl",,,167982,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Kale Raxl",1,0,161351,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Kale Raxl",0,1,124342,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Kale Raxl",,,508962,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Kale Raxl",,,343870,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Kale Raxl",,,507100,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Kale Raxl",1,1,120088,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G8, RH Poe G9",1
"Kale Raxl",0,1,133071,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Kale Raxl",1,0,119995,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Kale Raxl",,,119951,Mon Mothma,"zzMon Mothma, zPao Hoth Rebel Scout, zCara Dune, Bistan",1
"Kale Raxl",,,458963,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"Kale Raxl",,,116476,Disintegration,"zAurra zzGreef zBoba zzBossk zThe Mandalorian G8",1
"Kale Raxl",1,1,93158,Ewoks,"zChirpa Elder zPaploo zWicket zLogray G9",1
"Kale Raxl",1,0,140346,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Kale Raxl",0,1,127487,BH,"zzJango zZam Cad zDengar zNest",1
"Kale Raxl",1,0,98241,Troopers,"zVeers zStarck zzPiett Magma Snowtrooper",1
"Kale Raxl",0,1,105270,Phoenix,"zHera zEzra zKanan zZeb zSabine",1
"Kale Raxl",1,1,118198,Rogue1,"zzJyn Chirrut Baze zCassian zK-2SO",1
"Kale Raxl",,,130911,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Kale Raxl",1,0,100057,zMaul,"zDarth Maul, zDooku zSidious zSavage Sith Marauder",1
"Kale Raxl",1,0,88447,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Kale Raxl",0,1,121112,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
