Player,Offense,Defense,GP,Name,Squad,Viable
"LukebinSolo",,,122587,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"LukebinSolo",1,1,171645,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"LukebinSolo",0,1,124157,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"LukebinSolo",0,1,134411,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"LukebinSolo",,,121685,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"LukebinSolo",1,1,105411,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"LukebinSolo",,,450253,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"LukebinSolo",,,410302,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"LukebinSolo",1,0,127579,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"LukebinSolo",,,103615,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"LukebinSolo",1,1,129085,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"LukebinSolo",1,1,128545,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"LukebinSolo",1,1,96936,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"LukebinSolo",0,1,121581,BH,"zzBossk zGreedo zDengar zzEmbo zBoba",1
"LukebinSolo",1,0,97394,Troopers,"zVeers zStarck zzGideon Snowtrooper zStormtrooper",1
"LukebinSolo",1,0,119914,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"LukebinSolo",0,1,92943,Phoenix,"zHera zEzra zKanan zZeb G9, zSabine",1
"LukebinSolo",1,1,72339,Rogue1,"Jyn G8, Chirrut Baze K-2SO G8, Cassian",1
"LukebinSolo",1,0,125603,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"LukebinSolo",0,1,92651,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"LukebinSolo",,,90904,Mon Mothma,"Mon Mothma G7, Lando zKyle Katarn, zCara Dune, Pao G8",0
"LukebinSolo",,,106621,Bad Batch,"zHunter zEcho Omega G3, zTech zWrecker",0
"Amish Thunder",,,100879,Phasma,"zPhasma zFOTP FOO zzKRU zKylo",1
"Amish Thunder",,,174698,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Amish Thunder",,,574389,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Amish Thunder",,,177139,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Amish Thunder",1,0,143916,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Amish Thunder",0,1,129295,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Amish Thunder",,,119987,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Amish Thunder",1,1,104191,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Amish Thunder",,,468431,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Amish Thunder",,,312990,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Amish Thunder",0,1,103302,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Amish Thunder",,,435057,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Amish Thunder",1,0,120319,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
"Amish Thunder",1,1,129413,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 RT",1
"Amish Thunder",,,107467,Mon Mothma,"zzMon Mothma, Wedge Chirrut Biggs zCara Dune",1
"Amish Thunder",,,110178,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Amish Thunder",1,1,91498,Ewoks,"zChirpa Elder zPaploo G9, zWicket zLogray",1
"Amish Thunder",1,0,122413,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Amish Thunder",0,1,138253,BH,"zzBossk zIG-88 zDengar Cad zBoba",1
"Amish Thunder",1,0,125436,Troopers,"zVeers Starck zIden Versio, zzPiett zDT",1
"Amish Thunder",0,1,80646,Phoenix,"Hera G8, Ezra zKanan G9, Zeb G8, zSabine",1
"Amish Thunder",0,1,132058,BS,"zBS zzGMY zJolee zzOld Ben, zzHYoda",1
"Amish Thunder",1,0,117890,EP (Counter, Rebel),"zzEP Shoretrooper Krennic zzWampa Range Trooper",1
"Amish Thunder",1,0,51101,Jawas,"Nebit G6, Jawa Engineer G5, Jawa Scavenger G5, Jawa 5* G5, Dathcha G6",0
"GameMasterTy",,,176403,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"GameMasterTy",,,123044,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"GameMasterTy",1,1,162617,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"GameMasterTy",,,178997,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"GameMasterTy",1,1,171440,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"GameMasterTy",,,566604,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"GameMasterTy",1,0,150918,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"GameMasterTy",,,480212,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"GameMasterTy",,,280517,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"GameMasterTy",,,140862,JKL,"zzJKL zzzJKR zzHYoda zOld Ben, Aayla",1
"GameMasterTy",,,405906,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"GameMasterTy",1,1,95899,NS_Alt,"zzMT Acolyte Daka zzAV Zombie",1
"GameMasterTy",0,1,134551,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"GameMasterTy",,,130711,Mon Mothma,"zzMon Mothma, Wedge Captain Rex, zCaptain Drogan, Biggs",1
"GameMasterTy",1,1,95961,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"GameMasterTy",1,0,139317,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"GameMasterTy",0,1,142965,BH,"zzBossk Boushh (Leia Organa), Dengar zBoba zJango",1
"GameMasterTy",1,1,85038,Carth,"Carth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"GameMasterTy",0,1,68248,Phoenix,"Hera G8, Ezra G8, Kanan G8, Zeb G8, Sabine G8",1
"GameMasterTy",1,1,70348,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"GameMasterTy",1,0,111675,EP (Counter, Rebel),"zzEP Shoretrooper G8, Krennic zWampa Starck",1
"GameMasterTy",1,0,20236,SionSolo (Counter),"zSion",1
"GameMasterTy",1,0,15723,NestSolo (Counter),"Nest",1
"GameMasterTy",0,1,90645,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"GameMasterTy",1,0,123618,zMaul,"Darth Maul, zDooku zSidious Sith Empire Trooper, Sith Marauder",0
"GameMasterTy",,,39408,Bad Batch,"Hunter G4, Echo G4, Omega G6, Tech G4, Wrecker G4",0
"GameMasterTy",1,0,43725,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G7, Dathcha G7",0
"Chef",,,178353,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Chef",,,178080,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Chef",0,1,103222,Qira,"Qira zL3-37 Vandor Chewbacca, zMission zZaalbar",1
"Chef",1,1,121033,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Chef",,,182085,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Chef",1,0,146145,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Chef",,,483135,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Chef",,,331594,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Chef",,,456037,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
