Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"GameMasterTy",638481212,-4,7902549,4562152,3340397,136,71,158,431,2592674,1966736,145,9,565,6,285,81,107,121,137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,23,9,11
"Stu Karnus",531577471,-6,6796991,4078933,2718058,150,117,75,414,2364305,1711978,136,3,340,4,242,44,95,119,149,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,15,10,8
"Amish Thunder",176912959,-5,7145976,4062929,3083047,131,-1,155,380,2235733,1826182,162,15,331,2,238,35,83,123,151,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,23,8,8
"Azrian Wayfinder",534697898,-5,9109588,5394248,3715340,145,20,111,432,2988621,2386876,237,7,600,6,283,82,119,155,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,26,10,12
"StradsMan3",932773673,-6,9786076,5727339,4058737,141,-18,225,448,3113502,2585762,242,15,656,6,313,93,129,179,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,26,10,12
"Meeraval Marnath",945775464,-5,9568497,5648163,3920334,144,17,311,469,3127633,2505937,224,21,675,5,297,92,126,188,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,27,10,10
"Husky",426623327,1,8613531,5382654,3230877,166,-19,222,458,2934585,2438951,239,15,565,5,253,75,118,164,188,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,24,10,12
"Zayelt Yazmin",921894553,-7,5939136,3800895,2138241,177,-112,133,426,1988519,1812376,145,13,383,2,218,51,78,99,128,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,16,8,8
"Nettles123",147898847,0,8307215,4907214,3400001,144,-80,111,454,2589878,2288694,189,22,604,4,252,97,107,150,165,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,21,8,10
"lim",182423932,-5,7459018,4174970,3284048,127,63,142,397,2366044,1808926,139,3,467,3,262,71,93,110,128,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,20,10,10
