Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Darthtim,146688265,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Darthtim,146688265,0,0,0,Dooku+Asajj: Dooku AV
Darthtim,146688265,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Darthtim,146688265,12,3,9,Troopers: Veers Piett Starck Dark Trooper G10 6* Range Trooper G5 6*
Zayelt Yazmin,921894553,17,17,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Zayelt Yazmin,921894553,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zayelt Yazmin,921894553,0,0,0,Dooku+Asajj: Dooku AV
Zayelt Yazmin,921894553,1,0,1,Geos: GBA Poggle G11 Geo Soldier Sun Fac Geo Spy
Odog916,568143631,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Odog916,568143631,0,0,0,Dooku+Asajj: Dooku AV
Odog916,568143631,5,2,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Odog916,568143631,10,2,8,Geos: GBA Poggle Geo Soldier G8 Sun Fac G8 Geo Spy
QuarterwayHook,367747775,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
QuarterwayHook,367747775,1,1,0,Dooku+Asajj: Dooku AV
QuarterwayHook,367747775,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
QuarterwayHook,367747775,20,11,9,Troopers: Veers Piett Starck G7 Dark Trooper G8 Range Trooper
Zac,393687345,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Zac,393687345,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zac,393687345,0,0,0,Dooku+Asajj: Dooku AV
KreigerXenos,282691815,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
KreigerXenos,282691815,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
KreigerXenos,282691815,0,0,0,Dooku+Asajj: Dooku AV
KreigerXenos,282691815,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Faulker,697435359,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Faulker,697435359,0,0,0,Dooku+Asajj: Dooku AV
Faulker,697435359,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
GameMasterTy,638481212,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
GameMasterTy,638481212,1,1,0,Dooku+Asajj: Dooku AV
GameMasterTy,638481212,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
GameMasterTy,638481212,16,0,16,Troopers: Veers Piett Starck Dark Trooper G4 Range Trooper G4
Joshua I K Wilson,172459436,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Joshua I K Wilson,172459436,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Joshua I K Wilson,172459436,0,0,0,Dooku+Asajj: Dooku AV
Joshua I K Wilson,172459436,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Andres,436292767,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Andres,436292767,1,1,0,Dooku+Asajj: Dooku AV
Andres,436292767,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
halfwayhook,486729994,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
halfwayhook,486729994,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
halfwayhook,486729994,0,0,0,Dooku+Asajj: Dooku AV
halfwayhook,486729994,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mandigo Duco,938411964,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mandigo Duco,938411964,0,0,0,Dooku+Asajj: Dooku AV
Mandigo Duco,938411964,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthSchmi,445339133,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DarthSchmi,445339133,4,0,4,Dooku+Asajj: Dooku G8 AV
DarthSchmi,445339133,1,0,1,Geos: GBA G11 Poggle Geo Soldier Sun Fac Geo Spy
Altern8,453728856,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Altern8,453728856,1,0,1,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper
Altern8,453728856,0,0,0,Dooku+Asajj: Dooku AV
Altern8,453728856,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
LukebinSolo,957766271,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
LukebinSolo,957766271,5,5,0,Dooku+Asajj: Dooku AV
LukebinSolo,957766271,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
LukebinSolo,957766271,9,1,8,Troopers: Veers Piett G9 Gideon Dark Trooper G9 6* Range Trooper G10 6*
Rex,641548843,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rex,641548843,0,0,0,Dooku+Asajj: Dooku AV
Rex,641548843,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rex,641548843,10,0,10,Troopers: Veers Piett Starck Dark Trooper G4 Range Trooper G10
Robby Hanenburg,265566658,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Robby Hanenburg,265566658,6,5,1,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper
Robby Hanenburg,265566658,0,0,0,Dooku+Asajj: Dooku AV
Robby Hanenburg,265566658,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SoyCrab,769199828,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SoyCrab,769199828,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
SoyCrab,769199828,0,0,0,Dooku+Asajj: Dooku AV
Nettles123,147898847,19,19,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
