Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Blaster08",855782277,-8,10755685,6359143,4396542,144,-19,445,545,3465009,2865678,251,36,1044,7,322,158,174,204,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26,8,11
"BaByHaGriD",368566945,-5,8149620,4728088,3421532,138,-60,218,502,2539897,2188191,205,18,533,2,280,69,139,164,179,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,26,9,9
"Szero99",287595833,-5,8133759,4767100,3366659,141,-69,192,510,2551258,2215842,206,19,576,3,274,79,136,164,175,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,25,8,10
"Nano",858259842,0,9937676,5594195,4343481,128,-4,840,525,3083383,2510812,235,40,997,5,265,138,140,183,190,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,26,9,10
"AmazingRando",655592634,-7,9595228,5870387,3724841,157,0,276,609,3225341,2615072,214,22,879,7,295,117,200,209,217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,9,11
"BarJudah",941577746,-4,10371952,6115084,4256868,143,-39,361,566,3312958,2793938,259,29,935,7,308,127,189,212,217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,31,8,12
"Bev el Agua",614383692,-5,11358888,6821945,4536943,150,17,443,596,3777435,3009842,267,35,1136,8,327,157,210,240,246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,10
"LongTaco15",837681387,-6,8655309,5084307,3571002,142,18,173,478,2827067,2251144,190,10,637,5,287,96,129,158,175,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,24,9,10
"Ockalmighty",945643169,-5,9844006,5896032,3947974,149,-147,210,495,3030034,2845384,255,28,790,6,307,107,153,177,205,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,25,9,12
"Ayrbud",127417214,-5,9756253,5773725,3982528,144,-90,132,458,3045316,2702023,250,27,697,5,295,90,138,170,206,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,26,9,11
