Player,Ally Code,Current Gear Needed,Team
duck,635468945,2,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan Skiff Guard (Lando Calrissian) R6 Boba
duck,635468945,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G12
duck,635468945,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
duck,635468945,7,L4 Tuskens: Tusken Chieftain R3 Tusken Raider Tusken Shaman R3 Tusken Warrior R3 URoRRuR'R'R R4
duck,635468945,3,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
STB500a,651298255,6,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous R5 Armorer R5
STB500a,651298255,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
STB500a,651298255,2,L1 BH: Boba Jango Cad The Mandalorian Embo G10 5*
STB500a,651298255,14,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G11 Dathcha G9 Jawa G9 5*
STB500a,651298255,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
BarJudah,941577746,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
BarJudah,941577746,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer
BarJudah,941577746,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
BarJudah,941577746,1,L1 Tuskens: Tusken Chieftain G11 Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
BarJudah,941577746,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Mo Stylz,587551555,7,L1 Maul: Maul G9 The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8 6*
Mo Stylz,587551555,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
Mo Stylz,587551555,11,L0 Tuskens: Tusken Chieftain G6 3* Tusken Raider G5 Tusken Shaman G4 Tusken Warrior G6 3* URoRRuR'R'R
DarthGwalt,865769187,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
DarthGwalt,865769187,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
DarthGwalt,865769187,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
DarthGwalt,865769187,6,L2 Jawas: Nebit Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
DarthGwalt,865769187,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Blaster08,855782277,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
Blaster08,855782277,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
Blaster08,855782277,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Blaster08,855782277,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G10
Blaster08,855782277,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
DrDarkRoast,181267235,2,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
DrDarkRoast,181267235,3,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G13
DrDarkRoast,181267235,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
DrDarkRoast,181267235,11,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G10 Jawa
DrDarkRoast,181267235,2,L0 Tuskens: Tusken Chieftain G7 Tusken Raider Tusken Shaman Tusken Warrior G7 URoRRuR'R'R
Tharius Dawnbreaker,554516524,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Tharius Dawnbreaker,554516524,4,L4 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R3 Canderous Armorer R3
Tharius Dawnbreaker,554516524,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Tharius Dawnbreaker,554516524,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Tharius Dawnbreaker,554516524,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 2* URoRRuR'R'R
Josiah Zethno,797935243,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Josiah Zethno,797935243,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Josiah Zethno,797935243,1,L2 Tuskens: Tusken Chieftain G13 Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Josiah Zethno,797935243,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G7 Canderous Armorer
Josiah Zethno,797935243,9,L0 Jawas: Nebit G4 Jawa Engineer G5 Jawa Scavenger G7 Dathcha G7 Jawa
JakeKuchta,648487887,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
JakeKuchta,648487887,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
JakeKuchta,648487887,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
JakeKuchta,648487887,7,L1 Jawas: Nebit G11 Jawa Engineer G10 Jawa Scavenger G10 Dathcha G11 Jawa G11
JakeKuchta,648487887,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 6*
Szero99,287595833,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Szero99,287595833,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
Szero99,287595833,2,L3 BH: Boba Jango Cad The Mandalorian R1 Embo
Szero99,287595833,8,L3 Jawas: Nebit R1 Jawa Engineer R1 Jawa Scavenger R1 Dathcha Jawa R1
TDU,976589444,0,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
TDU,976589444,2,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous Armorer
TDU,976589444,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
TDU,976589444,4,L2 Jawas: Nebit Jawa Engineer Jawa Scavenger G12 Dathcha G12 Jawa
TDU,976589444,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Bhaal182,447195826,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Bhaal182,447195826,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Bhaal182,447195826,2,L4 BH: Boba Jango Cad The Mandalorian R3 Embo
MINI KingFD34,995572385,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
MINI KingFD34,995572385,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer R1
MINI KingFD34,995572385,4,L2 Old Republic: JKR BS Jolee G12 Juhani G12 50R-T
MINI KingFD34,995572385,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
EOD Dad,397586672,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
EOD Dad,397586672,3,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer R2
EOD Dad,397586672,2,L2 Old Republic: JKR BS Jolee Mission Zaalbar G12
EOD Dad,397586672,2,L3 Jawas: Nebit R2 Jawa Engineer Jawa Scavenger Dathcha R2 Jawa
EOD Dad,397586672,7,L3 Tuskens: Tusken Chieftain R1 Tusken Raider R2 Tusken Shaman R1 Tusken Warrior R1 URoRRuR'R'R
Jahgwa,928754959,3,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer R2
Jahgwa,928754959,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Jahgwa,928754959,1,L2 BH: Boba Jango Cad The Mandalorian Embo G13
Jahgwa,928754959,4,L1 Tuskens: Tusken Chieftain G11 Tusken Raider Tusken Shaman Tusken Warrior G9 URoRRuR'R'R
Jahgwa,928754959,35,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger G1 Dathcha G1 Jawa G1
LostJedi,264449998,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
LostJedi,264449998,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G12 Canderous Armorer
LostJedi,264449998,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
LostJedi,264449998,5,L6 Tuskens: Tusken Chieftain R7 Tusken Raider R7 Tusken Shaman R7 Tusken Warrior R7 URoRRuR'R'R R7
LostJedi,264449998,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
TheSlayer91,978664557,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
TheSlayer91,978664557,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer R1
TheSlayer91,978664557,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
TheSlayer91,978664557,8,L2 Tuskens: Tusken Chieftain G12 Tusken Raider G12 Tusken Shaman G12 Tusken Warrior G12 URoRRuR'R'R
TheSlayer91,978664557,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
San Holo,688424765,4,L4 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R3 Armorer R3
San Holo,688424765,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
San Holo,688424765,6,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Embo R5
San Holo,688424765,8,L2 Tuskens: Tusken Chieftain G12 Tusken Raider Tusken Shaman G12 Tusken Warrior G12 URoRRuR'R'R G12
San Holo,688424765,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Sovereign,528537612,2,L2 BH: Boba Jango Cad G12 The Mandalorian Embo
Sovereign,528537612,4,L1 Old Republic: JKR BS Jolee Juhani G8 50R-T
Sovereign,528537612,4,L1 Jawas: Nebit G11 Jawa Engineer G10 Jawa Scavenger G11 Dathcha Jawa
Sovereign,528537612,1,L0 Carth: Carth Onasi Mission Zaalbar G7 Canderous T3-M4
Sovereign,528537612,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
BaByHaGriD,368566945,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
BaByHaGriD,368566945,2,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G10 Armorer
BaByHaGriD,368566945,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
BaByHaGriD,368566945,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Novarich,423722938,8,L1 Maul: Maul G8 The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Novarich,423722938,1,L3 Old Republic: JKR BS Jolee Mission R2 Zaalbar
Novarich,423722938,5,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Greedo R6
Novarich,423722938,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Novarich,423722938,2,L0 Tuskens: Tusken Chieftain 6* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R
AmazingRando,655592634,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
AmazingRando,655592634,6,L3 Maul: Maul R1 The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer R1
AmazingRando,655592634,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
AmazingRando,655592634,16,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G8 Dathcha G8 Jawa
AmazingRando,655592634,2,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R
Ravith2,775947278,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Ravith2,775947278,3,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G9
Ravith2,775947278,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Ravith2,775947278,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Ravith2,775947278,6,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman Tusken Warrior G9 URoRRuR'R'R
Araleth,641664861,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
Araleth,641664861,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Araleth,641664861,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider 6* Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Araleth,641664861,13,L0 Jawas: Nebit G7 Jawa Engineer G5 Jawa Scavenger G5 Dathcha G5 Jawa G5
Bev el Agua,614383692,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Bev el Agua,614383692,2,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G10
Bev el Agua,614383692,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Bev el Agua,614383692,4,L4 Tuskens: Tusken Chieftain R3 Tusken Raider Tusken Shaman R4 Tusken Warrior URoRRuR'R'R R4
Bev el Agua,614383692,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Ockalmighty,945643169,3,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan Skiff Guard (Lando Calrissian) R7 Boba
Ockalmighty,945643169,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Ockalmighty,945643169,4,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar
Ockalmighty,945643169,6,L2 Tuskens: Tusken Chieftain G12 Tusken Raider Tusken Shaman G12 Tusken Warrior G12 URoRRuR'R'R
Ockalmighty,945643169,3,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G11 Dathcha G11 Jawa
Sotiri,156727472,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Sotiri,156727472,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Sotiri,156727472,1,L0 Tuskens: Tusken Chieftain 5* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Sotiri,156727472,21,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger G1 Dathcha Jawa
REIVAN,629576362,1,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R6 Boba
REIVAN,629576362,4,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous Armorer R5
REIVAN,629576362,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
REIVAN,629576362,8,L5 Tuskens: Tusken Chieftain R5 Tusken Raider R5 Tusken Shaman R5 Tusken Warrior URoRRuR'R'R R5
REIVAN,629576362,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
LongTaco15,837681387,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
LongTaco15,837681387,3,L1 BH: Boba Jango Cad The Mandalorian G9 Embo
LongTaco15,837681387,3,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger Dathcha G11 Jawa G11
LongTaco15,837681387,1,L0 Maul: Maul Sabine Bo-Katan Canderous Armorer G7
Marvi Marvson,839349231,3,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan R6 Skiff Guard (Lando Calrissian) R6 Boba
Marvi Marvson,839349231,1,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer R2
Marvi Marvson,839349231,7,L2 Old Republic: JKR BS G13 Jolee G12 Mission G12 Zaalbar G12
Marvi Marvson,839349231,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Marvi Marvson,839349231,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Ayrbud,127417214,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Ayrbud,127417214,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G11 Armorer G9
Ayrbud,127417214,4,L1 Old Republic: JKR BS Jolee G11 Mission G10 Zaalbar G11
Ayrbud,127417214,3,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger Dathcha G11 Jawa
Ayrbud,127417214,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Andlu Liown,517837385,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Andlu Liown,517837385,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Andlu Liown,517837385,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Andlu Liown,517837385,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Andlu Liown,517837385,21,L0 Jawas: Nebit G2 Jawa Engineer G2 Jawa Scavenger G5 Dathcha G2 Jawa
Scarb Fir,872612614,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Scarb Fir,872612614,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8 6*
Scarb Fir,872612614,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Scarb Fir,872612614,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Tylin Vaille,684765183,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Tylin Vaille,684765183,4,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous R5 Armorer
Tylin Vaille,684765183,6,L4 Old Republic: JKR BS Jolee R3 Mission R3 Zaalbar R3
Tylin Vaille,684765183,8,L5 Tuskens: Tusken Chieftain R5 Tusken Raider R5 Tusken Shaman R5 Tusken Warrior URoRRuR'R'R R5
Tylin Vaille,684765183,9,L5 Jawas: Nebit R5 Jawa Engineer R5 Jawa Scavenger R5 Dathcha R5 Jawa R6
