Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
lilgreko09,287945662,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
lilgreko09,287945662,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
lilgreko09,287945662,0,0,0,Seps (1%): Dooku Jango GG Nute MagnaGuard
Strickattack,762693744,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Strickattack,762693744,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Strickattack,762693744,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Strickattack,762693744,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Strickattack,762693744,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Strickattack,762693744,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DrDarkRoast,181267235,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
DrDarkRoast,181267235,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DrDarkRoast,181267235,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
DrDarkRoast,181267235,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
DrDarkRoast,181267235,0,0,0,Seps (1%): Dooku Jango GG Nute MagnaGuard
DrDarkRoast,181267235,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
Blaster08,855782277,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
Blaster08,855782277,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Blaster08,855782277,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
Blaster08,855782277,0,0,0,Seps (1%): Dooku Jango GG AV Nute
Blaster08,855782277,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Blaster08,855782277,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
EOD Dad,397586672,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
EOD Dad,397586672,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Mace
EOD Dad,397586672,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
EOD Dad,397586672,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Corran Croft,585441817,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Corran Croft,585441817,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Corran Croft,585441817,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Corran Croft,585441817,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
Corran Croft,585441817,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Corran Croft,585441817,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Corran Croft,585441817,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Corran Croft,585441817,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Andlu Liown,517837385,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andlu Liown,517837385,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Andlu Liown,517837385,0,0,0,Seps (1%): Dooku Jango GG Nute MagnaGuard
Andlu Liown,517837385,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
DarthGwalt,865769187,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthGwalt,865769187,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
DarthGwalt,865769187,9,9,0,JMK (8%): JMK GK Ahsoka CAT GAS
DarthGwalt,865769187,0,0,0,Seps (1%): Dooku Jango GG Nute MagnaGuard
Banse,819626936,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Banse,819626936,4,4,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Banse,819626936,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Banse,819626936,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Banse,819626936,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Banse,819626936,0,0,0,Seps (1%): Dooku Jango Admiral Trench GG Nute
Banse,819626936,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
Jdiddy,978136238,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Jdiddy,978136238,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jdiddy,978136238,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Jdiddy,978136238,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
MINI KingFD34,995572385,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
MINI KingFD34,995572385,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
TDU,976589444,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
TDU,976589444,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
TDU,976589444,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
TDU,976589444,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
TDU,976589444,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
TDU,976589444,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
TDU,976589444,0,0,0,Seps (1%): Dooku Jango Sun Fac Nute GBA
TDU,976589444,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TDU,976589444,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
TDU,976589444,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
TDU,976589444,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
BaByHaGriD,368566945,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
BaByHaGriD,368566945,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
BaByHaGriD,368566945,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
JakeKuchta,648487887,6,6,0,Padme 3%: Padme JKA GK Ahsoka GMY
JakeKuchta,648487887,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
JakeKuchta,648487887,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
JakeKuchta,648487887,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Bhaal182,447195826,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Bhaal182,447195826,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Bhaal182,447195826,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Bhaal182,447195826,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bhaal182,447195826,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
Bhaal182,447195826,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Ockalmighty,945643169,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ockalmighty,945643169,0,0,0,Seps (1%): Dooku Jango GG AV Nute
Ockalmighty,945643169,9,9,0,JMK (8%): JMK GK Ahsoka CAT GAS
Ockalmighty,945643169,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
Nexo Fox,335979679,0,0,0,Seps (1%): Dooku Jango GG Nute GBA
Nexo Fox,335979679,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Nexo Fox,335979679,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Nexo Fox,335979679,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nexo Fox,335979679,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nexo Fox,335979679,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nexo Fox,335979679,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Nexo Fox,335979679,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Nexo Fox,335979679,0,0,0,SEE P1 5%: SEE Malak EP Darth Talon Sith Marauder
Neøn,319665283,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Neøn,319665283,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Neøn,319665283,6,6,0,JMK (8%): JMK GK Ahsoka CAT GAS
Neøn,319665283,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee BS
Neøn,319665283,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
