Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bev el Agua,614383692,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Bev el Agua,614383692,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Bev el Agua,614383692,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bev el Agua,614383692,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Bev el Agua,614383692,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Bev el Agua,614383692,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Bev el Agua,614383692,16,4,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Gideon R3
FinalBK,544436897,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
FinalBK,544436897,10,10,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
FinalBK,544436897,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
FinalBK,544436897,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
FinalBK,544436897,22,3,19,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G11 Gideon R2
FinalBK,544436897,36,1,35,Padme/BB: Padme Hunter G10 Echo G9 Tech G9 Wrecker G9
Tylin Vaille,684765183,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Tylin Vaille,684765183,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Tylin Vaille,684765183,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Tylin Vaille,684765183,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Tylin Vaille,684765183,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Tylin Vaille,684765183,4,2,2,Troopers: Veers Piett Dark Trooper R3 Range Trooper Gideon
BaByHaGriD,368566945,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BaByHaGriD,368566945,7,7,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
BaByHaGriD,368566945,15,11,4,JMLS: JMLS JKL JKR GMY R1 HYoda
BaByHaGriD,368566945,11,3,8,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper R3 Gideon R4
BaByHaGriD,368566945,16,0,16,Padme/BB: Padme Hunter R1 Echo R1 Tech R1 Wrecker R1
Maverick,911715595,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Maverick,911715595,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Maverick,911715595,23,21,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Maverick,911715595,11,0,11,JMK: JMK CAT G8 GK GAS Ahsoka Tano (Snips) R4
Maverick,911715595,39,13,26,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G7 Gideon R1
Maverick,911715595,40,3,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
JakeKuchta,648487887,18,18,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
JakeKuchta,648487887,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
JakeKuchta,648487887,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
JakeKuchta,648487887,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JakeKuchta,648487887,27,19,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Starck R3
ApoC,544958282,8,8,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
ApoC,544958282,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
ApoC,544958282,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ApoC,544958282,12,12,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
ApoC,544958282,16,16,0,Padme/BB: Padme Hunter Echo Tech Wrecker
ApoC,544958282,24,18,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Starck R3
Blaster08,855782277,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Blaster08,855782277,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Blaster08,855782277,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Blaster08,855782277,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Blaster08,855782277,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Blaster08,855782277,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Blaster08,855782277,1,0,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R4
Ravith2,775947278,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Ravith2,775947278,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Ravith2,775947278,2,0,2,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips)
Ravith2,775947278,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Ravith2,775947278,14,0,14,Padme/BB: Padme Hunter R1 Echo R1 Tech R1 Wrecker R3
MINI KingFD34,995572385,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
MINI KingFD34,995572385,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
MINI KingFD34,995572385,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
MINI KingFD34,995572385,10,8,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
MINI KingFD34,995572385,18,10,8,JMLS: JMLS JKL JKR R3 GMY G12 HYoda
MINI KingFD34,995572385,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Starck R3
Jossk,385734574,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jossk,385734574,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Jossk,385734574,4,0,4,SEE: SEE Malak Darth Malgus BSF R1 DR
Jossk,385734574,6,2,4,JMLS: JMLS JKL JKR R1 GMY HYoda
Jossk,385734574,19,3,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Novarich,423722938,18,18,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Novarich,423722938,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Novarich,423722938,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Novarich,423722938,10,10,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Novarich,423722938,31,8,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 6* Starck R3
Novarich,423722938,44,0,44,Padme/BB: Padme R1 Hunter G8 Echo G8 Tech G8 Wrecker G8
DarthJavin Vigil,754926717,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
DarthJavin Vigil,754926717,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
DarthJavin Vigil,754926717,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
