Player,Offense,Defense,GP,Name,Squad,Viable
"Namazu",0,1,140541,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), zzC-3PO",1
"Namazu",,,126241,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Namazu",,,449279,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Namazu",1,0,117213,Troopers,"zVeers zzPiett Gideon Dark Trooper, Range Trooper",1
"Namazu",1,1,152839,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Namazu",1,1,107525,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"Namazu",0,1,123910,BH,"zzBossk zEmbo Boba zDengar zZam",1
"Namazu",1,1,129338,zEP,"zzEP zzzVader Tarkin DT Krennic",1
"Namazu",0,1,69887,Phoenix,"Hera G9, Ezra G9, Kanan G9, Zeb G8, Chopper G9",1
"Namazu",,,135486,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Namazu",1,0,85264,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Namazu",,,67068,Admiral Raddus,"zzAdmiral Raddus 3* G8, Cassian G9, Jyn G8, K-2SO G7, Bistan G8",0
"Namazu",0,1,90750,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Hawk93524",,,535876,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Hawk93524",0,1,127827,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), zC-3PO",1
"Hawk93524",1,0,102386,CLS,"zzCLS zHan zChewbacca R2-D2 G9, zChewpio",1
"Hawk93524",1,1,103161,NS_Alt,"zzMT zAV zzMerrin zDaka Zombie",1
"Hawk93524",,,459095,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Hawk93524",0,1,125099,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Hawk93524",1,0,113309,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"Hawk93524",1,1,148887,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Hawk93524",1,1,104047,Revan Offense,"zzzJKR GMY BS zJolee HYoda G9",1
"Hawk93524",1,1,85943,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Hawk93524",0,1,142263,BH,"zzBossk zIG-88 Boba zJango zDengar",1
"Hawk93524",1,1,83297,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"Hawk93524",1,1,135293,zEP,"zzEP zzzVader Tarkin IPD TFP",1
"Hawk93524",0,1,93772,Phoenix,"zHera Ezra Kanan zZeb zzCaptain Rex",1
"Hawk93524",0,1,110868,FO,"zzKRU zKylo zFOTP FOO zHux",1
"Hawk93524",1,0,99822,Thragma (Counter),"zThrawn Magma DT Krennic Shoretrooper",1
"Hawk93524",1,0,20722,SionSolo (Counter),"zSion",1
"Hawk93524",,,258424,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Hawk93524",0,1,94413,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Hawk93524",,,49121,Mon Mothma,"Mon Mothma 5* G7, Cara Dune G9, Biggs G4, Saw Gerrera, Cassian G6",0
"Hawk93524",1,0,113385,zMaul,"Darth Maul, zSidious zDooku Sith Marauder, Nest 5* G7",0
"Hawk93524",,,77343,Bad Batch,"zHunter zEcho 5* G9, Omega G6, zTech 6* G9, zWrecker G9",0
"Nerf Possum Herder",,,167044,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Nerf Possum Herder",1,1,106387,NS,"zMT zzAV zDaka Zombie Spirit",1
"Nerf Possum Herder",1,0,142503,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Nerf Possum Herder",0,1,128424,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), CW Chewbacca G9",1
"Nerf Possum Herder",,,525213,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Nerf Possum Herder",,,458473,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Nerf Possum Herder",0,1,117833,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Nerf Possum Herder",1,1,150115,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Nerf Possum Herder",1,1,112815,Revan Offense,"zzJKR zGMY zHYoda zJolee Ezra",1
"Nerf Possum Herder",1,1,98106,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Nerf Possum Herder",0,1,136035,BH,"zzBossk zBoushh (Leia Organa), Cad Boba Dengar",1
"Nerf Possum Herder",1,1,96673,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Nerf Possum Herder",0,1,130812,FO,"zzKRU zKylo FOE FOO zHux",1
"Nerf Possum Herder",,,78982,Iden Troopers,"zIden Versio, Stormtrooper Snowtrooper Magma G9, DT",1
"Nerf Possum Herder",0,1,120617,Phoenix,"zHera zKanan Zeb Sabine zzCaptain Rex",1
"Nerf Possum Herder",1,1,81478,Rogue1,"zzJyn Chirrut G8, Baze G9, K-2SO G9, zCassian G9",1
"Nerf Possum Herder",1,0,118035,EP (Counter, Rebel),"zzEP Shoretrooper G8, Krennic zzWampa Starck",1
"Nerf Possum Herder",0,1,107216,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Nerf Possum Herder",1,1,113184,JTR,"JTR zzR2-D2 BB-8 RH Finn, RH Poe",0
"Nerf Possum Herder",1,0,93478,Traya,"zzTraya DN G9, Sion 5* G9, Sith Empire Trooper, zThrawn",0
"Nerf Possum Herder",,,480298,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Nerf Possum Herder",1,0,102425,Troopers,"Veers zzPiett zzGideon Dark Trooper 6* G9, Range Trooper 5*",0
"Nerf Possum Herder",,,98857,Mon Mothma,"Mon Mothma 5* G9, Biggs Hoth Rebel Scout, zCaptain Drogan, Wedge",0
"Nerf Possum Herder",1,0,120870,zMaul,"Darth Maul, zSidious zDooku Sith Marauder, Nest 6*",0
"Nerf Possum Herder",0,1,102373,BH,"zJango Greef The Mandalorian, IG-88 zZam",0
"Nerf Possum Herder",,,54588,Bad Batch,"Hunter 5* G9, Echo 4* G9, Omega G8, Tech 5* G9, Wrecker 4* G8",0
"Nerf Possum Herder",1,0,90654,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa 6* Dathcha",0
"Cedaric",,,180956,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Cedaric",,,169854,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zNinth Sister",1
"Cedaric",1,1,166671,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Cedaric",1,1,168630,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zHoldo zRH Finn",1
"Cedaric",,,162343,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"Cedaric",,,158218,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zBarriss",1
"Cedaric",1,0,156177,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Cedaric",1,1,127024,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Cedaric",0,1,133281,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Cedaric",,,526145,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Cedaric",,,487259,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Cedaric",0,1,134618,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Cedaric",1,0,137625,Traya,"zzTraya zzDN Sion zDooku zzEP",1
"Cedaric",,,106546,Mon Mothma,"zzMon Mothma, zCara Dune, Pao Biggs Wedge",1
"Cedaric",1,1,150814,Revan Offense,"zzzJKR zzGMY zzHYoda zJolee zJKA",1
"Cedaric",1,1,97442,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Cedaric",1,0,147775,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Cedaric",1,1,103661,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Cedaric",0,1,137624,BH,"zzBossk zzJango zDengar G9, zFennec Shand, zZam",1
"Cedaric",1,0,118131,Troopers,"zVeers zStarck zzGideon zIden Versio, zDark Trooper",1
"Cedaric",0,1,124530,Phoenix,"zHera zEzra zKanan zSabine zCaptain Rex",1
"Cedaric",,,129436,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Cedaric",1,0,79949,Jawas,"Nebit G9, Jawa Engineer, Jawa Scavenger G8, Jawa Dathcha",1
"Cedaric",,,123058,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Cedaric",,,98140,Admiral Raddus,"zzAdmiral Raddus, zCassian zzJyn zK-2SO Chirrut",0
"Cedaric",,,291632,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Cedaric",0,1,97051,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Cedaric",,,492878,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"fives deserved better",,,189657,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"fives deserved better",,,172558,LV,"zzzzzzLord Vader, zzPiett zzMaul RG zzVader",1
"fives deserved better",,,121908,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"fives deserved better",1,1,169379,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"fives deserved better",,,175271,SEE,"zzzzzSEE zBSF zzMalak zzzDR zDooku",1
"fives deserved better",,,561765,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"fives deserved better",1,0,139567,CLS,"zzzCLS zHan zzChewbacca zC-3PO Chewpio",1
"fives deserved better",,,138589,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"fives deserved better",1,1,104666,NS_Alt,"zzMT zAV Merrin zDaka Zombie",1
"fives deserved better",,,551079,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"fives deserved better",0,1,117350,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"fives deserved better",,,144983,JKL,"zzJKL zzzJKR zzHYoda Old Ben, zEzra",1
"fives deserved better",,,494712,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"fives deserved better",1,1,110821,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"fives deserved better",1,0,155102,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"fives deserved better",0,1,152013,BH,"zzBossk zBoba zJango Dengar zZam",1
"fives deserved better",1,1,104288,Carth,"zCarth Onasi, Mission zZaalbar zJuhani zCanderous",1
"fives deserved better",1,0,106547,Troopers,"zVeers Starck Scout Trooper, Gideon zIden Versio",1
"fives deserved better",0,1,107916,Phoenix,"zHera zKanan Zeb Sabine Captain Rex",1
"fives deserved better",1,0,117744,EP (Counter, Rebel),"zzEP Shoretrooper G9, Krennic DT zzWampa",1
"fives deserved better",1,1,109893,JTR,"JTR zzR2-D2 BB-8 G9, RH Finn, RH Poe",0
"fives deserved better",,,103334,Mon Mothma,"Mon Mothma 6*, Cara Dune, Biggs Wedge zzSaw Gerrera",0
"fives deserved better",1,1,70813,Rogue1,"Jyn Chirrut G9, Baze 6* G8, K-2SO G9, Cassian G9",0
"fives deserved better",,,112883,Bad Batch,"zHunter zEcho Omega G2, zTech zWrecker",0
"fives deserved better",1,0,81079,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa 6* Dathcha",0
"Azrael",,,175828,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Azrael",,,138862,Admiral Raddus,"zzAdmiral Raddus, zCassian Jyn Baze Bistan",1
"Azrael",,,431588,Profundity,"Profundity 6* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Azrael",,,183707,SEE,"zzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Azrael",1,1,164997,GL Rey,"zzzzzRey zzJTR zR2-D2 zRH Poe, zRH Finn",1
"Azrael",,,170089,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Azrael",,,136382,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller Old Ben, Visas",1
"Azrael",1,1,119515,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Azrael",,,598279,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Azrael",1,0,156047,CLS,"zzzCLS zHan zzChewbacca C-3PO zChewpio",1
"Azrael",,,521305,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Azrael",,,333047,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Azrael",0,1,110041,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Azrael",0,1,125554,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Azrael",1,0,128226,Traya,"zzTraya DN Sion Sith Empire Trooper, Thrawn",1
"Azrael",,,106010,Mon Mothma,"zzMon Mothma, zPao Scarif Hoth Rebel Scout, Wedge",1
"Azrael",1,0,119740,Troopers,"zVeers zzPiett zGideon Dark Trooper, Range Trooper",1
"Azrael",1,1,142374,Revan Offense,"zzzJKR zGMY zzHYoda zJolee zJKA",1
"Azrael",1,1,91773,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Azrael",1,0,141748,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Azrael",1,1,107968,Carth,"Carth Onasi, Mission Zaalbar zVandor Chewbacca, Canderous",1
"Azrael",0,1,137914,BH,"zzBossk Aurra Jango Dengar zFennec Shand",1
"Azrael",,,93059,Iden Troopers,"zIden Versio, Stormtrooper Snowtrooper Magma DT",1
"Azrael",0,1,118009,Phoenix,"Hera Ezra zKanan zSabine zCaptain Rex",1
"Azrael",1,0,71420,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G8, Jawa Dathcha G8",1
"Azrael",1,0,27295,NestSolo (Counter),"zNest",1
"Azrael",,,114089,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"Azrael",,,170455,JMLS,"BS zzzzzzJMLS zWat Tambor, zzJKL zBarriss",0
"Azrael",1,0,126457,zMaul,"Darth Maul, Dooku Sidious Sith Assassin, zSavage",0
"Azrael",,,76422,Bad Batch,"Hunter Echo Omega G4, Tech Wrecker",0
"Simbino",,,177398,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzCAT zzzzGAS zGK",1
"Simbino",,,124913,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Simbino",1,1,167522,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Simbino",,,190205,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Simbino",1,1,170569,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Simbino",1,1,120467,NS,"zzMT zAV zDaka Zombie Spirit",1
"Simbino",,,532173,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Simbino",,,171091,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Simbino",1,0,156803,CLS,"zzzCLS zHan zChewbacca zzC-3PO zChewpio",1
"Simbino",,,132815,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Simbino",,,526703,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Simbino",,,333763,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Simbino",0,1,112280,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Simbino",,,481973,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Simbino",1,0,133986,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Simbino",,,112471,Mon Mothma,"zzMon Mothma, zCara Dune, Biggs Scarif Wedge",1
"Simbino",,,135169,Disintegration,"Aurra zGreef zBoba zzBossk zThe Mandalorian",1
"Simbino",,,127074,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Simbino",1,1,109898,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Simbino",1,0,142059,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Simbino",1,0,125539,Troopers,"zVeers zStarck Scout Trooper, Magma zzPiett",1
"Simbino",0,1,112972,Phoenix,"Hera Kanan Zeb Sabine zCaptain Rex",1
"Simbino",1,1,82028,Rogue1,"Jyn Chirrut Baze G8, K-2SO G8, Cassian",1
"Simbino",1,0,126825,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"Simbino",1,0,125484,QGJ,"zQGJ Aayla zJKA zzHYoda Ezra",1
"Simbino",1,0,85838,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Simbino",1,0,20268,NestSolo (Counter),"zNest",1
