Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Elshondo",848839342,-1,10726727,6537434,4189293,156,-36,291,603,3526361,2982524,230,44,1135,8,318,162,203,217,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,10,12
"Ninjastatten",864833164,-4,6101035,3788793,2312242,163,49,84,544,2128190,1651477,103,11,500,2,233,69,107,125,132,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,16,7,9
"Randal Houisth",821337555,5,8928377,5091037,3837340,132,-126,232,492,2637189,2438944,165,20,634,4,284,81,137,176,188,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,21,8,8
"Azrael",117388825,-4,10108543,5823250,4285293,135,-12,471,573,3185174,2628355,182,31,989,7,301,144,181,201,212,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,9,11
"Shmeeegzz",734912572,-3,8040166,4856261,3183905,152,273,119,468,2997961,1847617,137,20,580,3,256,82,116,145,171,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,19,8,9
"Wicket87",165669563,-4,9010789,5220553,3790236,137,7,208,533,2869651,2320790,174,17,778,4,293,119,154,171,176,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,23,11,8
"Kaveman",419233423,-4,9525496,5654746,3870750,146,107,154,469,3253047,2378241,232,26,532,2,299,72,106,235,239,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,28,12,12
"Schmiticus",488999866,-4,8411652,5047434,3364218,150,34,256,546,2818260,2219817,162,24,695,4,263,95,145,176,186,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,22,9,10
"DarthElshondo",689163274,-1,8363144,5117065,3246079,157,153,236,460,3011389,2101515,192,27,592,4,265,88,115,152,173,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,22,12,10
"DanPal37",413355852,-4,5506468,3199511,2306957,138,-109,118,395,1676248,1523263,78,7,304,2,213,45,69,88,108,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,17,9,8
