Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Chatty",623332958,-5,7885057,4778379,3106678,153,70,228,585,2686444,2074694,137,12,735,4,252,105,152,163,172,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,19,10,9
"Hotdog",223445887,10,8675607,5015982,3659625,137,-29,260,556,2699307,2303705,122,23,783,5,260,119,155,171,184,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,22,8,10
"Reaper2D2",383989544,-6,9078133,5406317,3671816,147,131,213,484,3127281,2269910,231,22,597,4,267,73,137,183,198,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,24,7,10
"Officer Smooth Brain",488683323,-7,9667378,5712251,3955127,144,-27,599,555,3084159,2628092,226,15,910,6,283,127,168,187,208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,28,10,12
"Nall1986",557293475,-2,10720562,6257250,4463312,140,-52,439,541,3324788,2903868,241,30,964,7,314,142,170,218,235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,8,11
"AndySkywalker",347134145,5,10177612,6127104,4050508,151,-4,687,595,3335248,2776693,224,29,985,8,298,145,196,213,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,9,12
"Force Wielding Caveman",121617387,6,10968080,6630440,4337640,152,12,428,581,3630458,2972969,276,30,1039,8,320,139,197,233,245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,10
"ChrisCarter",399125674,3,7320728,4111353,3209375,128,-259,486,435,1983040,2127299,143,22,450,3,251,69,96,133,145,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,19,8,6
"CT 5555",814919958,-7,6940810,3692849,3247961,113,-151,643,473,1879763,1812072,129,21,557,1,257,101,102,115,115,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,17,6,5
"CT 7567",349191421,-7,6954466,3702984,3251482,113,-152,614,472,1884273,1818035,129,21,557,1,258,101,102,115,115,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,17,6,5
"Lex Naga",744987494,6,9147608,5101160,4046448,126,-102,504,471,2650310,2433033,170,19,703,6,285,102,127,164,186,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,22,8,10
"Plo Koons Doom Platoon",685768885,1,12377709,7624344,4753365,160,25,713,672,4199982,3392001,296,35,1554,8,335,222,258,264,270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,9,11
"BellaTrixter",368433349,-6,7038043,4228508,2809535,150,230,52,373,2553418,1675090,181,2,235,0,219,29,64,152,166,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,21,12,12
"CC 2224",455353329,-7,6983390,3713616,3269774,113,-151,724,471,1891194,1821746,129,21,560,1,259,101,102,115,115,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,17,6,5
"FedeRox",753788473,3,7321528,3922486,3399042,115,-107,249,521,2040595,1881891,116,12,590,5,229,77,120,144,152,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,16,6,7
"Baldwin3125",194743988,-4,7973030,4418169,3554861,124,-37,99,481,2360876,2032446,158,12,578,4,243,78,126,142,162,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,20,7,10
"Sorry I Die Alot",875369858,-5,7780684,4634705,3145979,147,-72,125,412,2445935,2179241,168,22,483,4,259,65,104,120,146,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,19,7,7
"LordMetellus",649984373,-5,11551314,6966525,4584789,151,48,509,613,3877529,3060354,300,42,1146,7,334,161,220,260,265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,30,8,11
"McGʉffιη",474274391,-5,8737781,4911099,3826682,128,-110,230,491,2551253,2359846,167,30,694,5,276,91,140,151,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,20,9,10
"Ocin",816683245,2,7543540,4030880,3512660,114,-359,516,481,1844335,2185869,124,19,577,3,242,84,109,139,150,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,18,9,9
"Mortus",647791474,-2,8331491,4639834,3691657,125,-115,351,516,2404122,2234739,147,27,713,6,246,104,134,154,171,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16,5,5
"Bizurker",856972599,1,9380816,5729418,3651398,156,152,367,590,3347319,2377692,180,10,921,6,301,132,181,189,196,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,25,10,12
"CC 5576",854419318,-7,6976772,3711636,3265136,113,-148,703,471,1892508,1818452,129,21,560,1,259,101,102,115,115,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,17,6,5
"CaptainRecker",664645297,6,9117696,5401188,3716508,145,-13,295,603,2917854,2451423,149,29,958,6,283,138,175,184,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,19,8,9
"Giran Kenor Twitchin",441134558,-4,9930463,5567987,4362476,127,-33,350,586,2992116,2565481,187,27,988,7,289,141,185,200,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,23,7,9
"Ziggs",355757928,-1,6432351,3589120,2843231,126,69,208,453,2024282,1564162,98,10,467,3,264,70,87,111,125,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,13,7,5
"ManõWar",718134452,-4,5766398,3409268,2357130,144,-77,830,509,1798780,1610488,145,12,483,3,180,66,94,103,128,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,18,9,8
"T boy 3",259354979,-4,9040675,5261277,3779398,139,92,288,543,2989732,2258297,198,29,804,6,288,124,153,178,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,7,9
"MINI PhantomSilky",896689927,-6,8116021,4690859,3425162,136,247,399,524,2852977,1837882,157,17,698,6,258,106,132,154,173,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,22,9,8
"Agent47",587393944,-6,5364294,3076825,2287469,134,152,87,451,1798371,1278003,97,6,377,3,188,51,77,90,99,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,14,10,6
"Nova51",713489383,5,9221348,5222719,3998629,130,-176,292,476,2627267,2595452,204,21,748,4,284,108,138,152,174,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,25,8,10
"NLALDV",566795192,-4,2686275,1810748,875527,206,31,26,381,1004042,806706,19,1,117,0,87,6,33,46,60,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2
"Bread",225226678,1,4576012,2438190,2137822,114,216,86,416,1463578,973936,51,3,253,2,147,36,59,81,88,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,7,5,5
"J48W",444427259,2,7624941,4381903,3243038,135,49,557,542,2450224,1931679,143,21,655,3,259,98,131,152,162,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,22,5,8
"Levka Fae",613883238,-5,6499232,3928390,2570842,152,182,150,387,2321942,1599871,107,10,370,3,233,56,69,109,132,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,18,10,9
"Greg",468297123,-4,7974576,4569525,3405051,134,-86,173,519,2399321,2168683,105,19,642,4,256,86,133,153,166,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,14,5,8
"Jikuyin",873679216,-7,7562624,4760794,2801830,169,174,89,366,2800467,1944013,159,19,350,1,249,47,79,128,170,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,19,14,12
"hello23",248752222,-7,2048109,1186325,861784,137,313,118,280,740494,445380,17,1,57,0,84,8,13,33,42,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1
"Slimjimmy",439943974,-4,5883569,3450778,2432791,141,-7,38,569,1880828,1569950,40,7,475,1,215,67,110,130,146,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,14,8,6
"ItzMarshmellow",614434565,-4,5289637,2918425,2371212,123,72,67,580,1648031,1270394,31,4,460,2,168,66,102,113,119,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,10,6,4
"Giran Twitchin",214195595,-4,5860597,3163119,2697478,117,-217,249,418,1559290,1603829,94,4,370,2,209,60,68,103,116,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,17,8,8
