Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI PhantomSilky,896689927,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
FedeRox,753788473,17,0,17,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G1 6* Piett
Nall1986,557293475,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI DarthSmit,928261287,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MINI Flash Wayne,298613176,26,2,24,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G9 Traya G12
Nova51,713489383,18,18,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Giran Kenor Twitchin,441134558,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
AndySkywalker,347134145,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Eclipt,336197782,40,14,26,Vader+Nute 12%: Vader Nute G11 Thrawn G7 5* Wat Tambor R3 Traya G12
CaptainRecker,664645297,13,13,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Dereckgotstrong,586586992,28,1,27,Vader+Nute 12%: Vader Nute G10 Thrawn R4 Wat Tambor G9 5* Traya G9
J48W,444427259,29,6,23,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G8
T boy 3,259354979,24,18,6,Vader+Nute 12%: Vader Nute Thrawn R3 Wat Tambor Traya R1
Force Wielding Caveman,121617387,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DragonMaster007,138339774,39,24,15,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor G9 Traya
Chatty,623332958,34,5,29,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G9 Traya G12
Willy,548893168,18,2,16,Vader P1 10%: Vader KRU G8 Wat Tambor C-3PO G12 Shaak Ti
Mortus,647791474,17,0,17,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G1 5* Piett
Giran Twitchin,214195595,35,5,30,Vader P1 10%: Vader G12 KRU Wat Tambor G1 6* C-3PO G12 Shaak Ti R4
Mol Eliza Furys Fist,516818155,28,6,22,Vader P1 10%: Vader KRU G8 6* Wat Tambor G8 C-3PO R3 Shaak Ti
ChrisCarter,399125674,22,8,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 Traya
Łord Thragg,434287123,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Anikan has no high ground,391842882,24,0,24,Vader P1 10%: Vader G12 KRU G8 Wat Tambor C-3PO G10 Shaak Ti
CT 7567,349191421,41,24,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
Lex Naga,744987494,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Dakaf Fyrewalker,319311646,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Jet Maxwell III,297794728,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
D Money,154714722,27,9,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
ManõWar,718134452,23,7,16,Vader P1 10%: Vader KRU Wat Tambor G11 C-3PO Shaak Ti G9
BringMeTheWookie,678365692,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
McGʉffιη,474274391,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DBking,552681563,16,0,16,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 Traya
KageSkywalker,616323741,33,19,14,Vader+Nute 12%: Vader Nute R3 Thrawn G12 Wat Tambor Traya G12
Jacke Aiche,269852122,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Greg,468297123,41,14,27,Vader+Nute 12%: Vader Nute G6 Thrawn Wat Tambor G9 6* Traya G12
Bizurker,856972599,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Beskar is Back,388193425,37,5,32,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G10 Traya G11
CT 5555,814919958,41,24,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
Vaders Wrath,529633452,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
CC 5576,854419318,34,18,16,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya
XavierSpud's Demonslayer,136937923,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mast3r,358438749,36,16,20,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya G12
CC 2224,455353329,34,18,16,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya
mystic kai,895242639,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
