Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Hotdog,223445887,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Hotdog,223445887,36,36,0,padme: Padme GK JKA Ahsoka C-3PO
Hotdog,223445887,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Hotdog,223445887,1,1,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Hotdog,223445887,11,7,4,Troopers: Veers Piett Starck Dark Trooper Range Trooper G12
Hotdog,223445887,41,41,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Hotdog,223445887,36,32,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Hotdog,223445887,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 4* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Ziggs,355757928,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Ziggs,355757928,8,8,0,padme: Padme GK JKA Ahsoka C-3PO
Ziggs,355757928,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Ziggs,355757928,7,7,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Ziggs,355757928,50,6,44,Grievous Omicron: GG G12 B2 G2 B1 G1 MagnaGuard G9 Droideka G12
Ziggs,355757928,27,0,27,Geonosians Omicron: GBA G11 Sun Fac G10 Geo Soldier G12 Geo Spy G9 Poggle G11
Ziggs,355757928,47,46,1,Troopers: Veers Piett Starck Dark Trooper Range Trooper
CT 7567,349191421,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
CT 7567,349191421,0,0,0,padme: Padme GK JKA Ahsoka CAT
CT 7567,349191421,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
CT 7567,349191421,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
CT 7567,349191421,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
CT 7567,349191421,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
CT 7567,349191421,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Mortus,647791474,22,10,12,padme: Padme G8 GK G12 JKA Ahsoka C-3PO
Mortus,647791474,18,2,16,Grievous Omicron: GG B2 G12 B1 G12 MagnaGuard G12 Droideka G12
Mortus,647791474,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Mortus,647791474,6,1,5,Troopers: Veers Piett Starck Dark Trooper Range Trooper G11
Mortus,647791474,26,26,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Mortus,647791474,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Mortus,647791474,1,0,1,Negotiator: Negotiator 6* BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170 4* LVunit.level
Mortus,647791474,25,0,25,Geonosians Omicron: GBA G11 Sun Fac G10 Geo Soldier G11 Geo Spy G12 Poggle G11
Mast3r,358438749,4,0,4,padme: Padme G12 GK JKA Ahsoka CAT
Mast3r,358438749,9,1,8,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper G12
Mast3r,358438749,41,40,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Mast3r,358438749,45,41,4,Grievous Omicron: GG B2 B1 MagnaGuard Droideka G12
Mast3r,358438749,21,0,21,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G11 Poggle G12
Mast3r,358438749,27,4,23,CLS: CLS G12 Han G12 Chewbacca G11 Chewpio G6 6* C-3PO
Mast3r,358438749,12,4,8,GAS: GAS G12 Rex Echo (501st) Fives ARC Trooper G12
Da bank boi123,533489516,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Da bank boi123,533489516,0,0,0,padme: Padme GK JKA Ahsoka CAT
Da bank boi123,533489516,8,0,8,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka G12
Da bank boi123,533489516,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Da bank boi123,533489516,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Da bank boi123,533489516,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Da bank boi123,533489516,12,0,12,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper G8 5*
Da bank boi123,533489516,22,0,22,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G10 5* C-3PO G12
Baldwin3125,194743988,41,41,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Baldwin3125,194743988,0,0,0,padme: Padme GK JKA Ahsoka CAT
Baldwin3125,194743988,1,1,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Baldwin3125,194743988,1,0,1,CLS: CLS Han Chewbacca Chewpio R2 C-3PO
Baldwin3125,194743988,8,0,8,GAS: GAS Rex R1 Echo (501st) R1 Fives R1 ARC Trooper R1
Baldwin3125,194743988,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Baldwin3125,194743988,15,0,15,Geonosians Omicron: GBA R1 Sun Fac G12 Geo Soldier G12 Geo Spy R2 Poggle G12
Sorry I Die Alot,875369858,24,24,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Sorry I Die Alot,875369858,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Sorry I Die Alot,875369858,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
