Player,Offense,Defense,GP,Name,Squad,Viable
"GhostHunterGal",0,1,136857,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), zzC-3PO",1
"GhostHunterGal",,,331729,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"GhostHunterGal",,,418810,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"GhostHunterGal",1,1,113102,JTR,"zzzJTR zR2-D2 BB-8 zRH Finn, zRH Poe",1
"GhostHunterGal",0,1,109919,DR,"zzzDR zHK-47 zBSF Sith Marauder G8, zzThrawn",1
"GhostHunterGal",0,1,107102,Grievous,"zzGG zB2 zDroideka zMagnaGuard zzT3-M4",1
"GhostHunterGal",1,0,102539,Traya,"zzTraya zDN G9, zSion zzEP zNest",1
"GhostHunterGal",1,1,110599,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda G9",1
"GhostHunterGal",1,1,90877,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"GhostHunterGal",0,1,109368,BH,"zzBossk zzJango Dengar Boba zzThe Mandalorian",1
"GhostHunterGal",1,1,98663,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"GhostHunterGal",0,1,105463,FO,"zzKRU zKylo FOE zHux FOO",1
"GhostHunterGal",0,1,76682,Phoenix,"Hera zEzra Kanan G9, Zeb Sabine G8",1
"GhostHunterGal",1,1,66693,Rogue1,"Jyn Chirrut G8, Baze G8, Cassian G8, K-2SO G8",1
"GhostHunterGal",,,100383,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"GhostHunterGal",1,0,73653,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger, Jawa Dathcha G9",1
"GhostHunterGal",0,1,92893,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"GhostHunterGal",1,1,82379,NS,"MT G8, zzAV Daka G9, Zombie Spirit",0
