Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"tenbears",266775611,-8,3562644,2089832,1472812,141,112,28,101,1211483,878349,60,0,20,0,144,1,6,26,63,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,6
"LordNikon",754154536,-8,7171167,4211034,2960133,142,2,104,356,2326779,1884255,173,11,267,0,269,27,61,141,158,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,23,14,11
"Puzzle",692375931,-5,7827228,4692844,3134384,149,7,278,413,2582713,2079998,181,15,547,5,270,75,100,114,129,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,19,9,8
"yellow hawk",324953148,-9,7712980,4540265,3172715,143,13,100,382,2521482,2018783,192,16,316,1,273,42,68,164,175,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,23,13,10
"Diablo1992",591936283,-5,6175381,3741464,2433917,153,7,120,427,2071149,1669639,142,12,404,4,228,52,81,102,124,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,20,12,7
"Jinx Ironbird",819146512,-4,7826423,4674546,3151877,148,92,131,443,2685188,1985350,170,20,385,2,233,40,103,167,179,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,24,11,11
"xxxstriderxxx",888863328,-6,8097985,4960622,3137363,158,141,97,487,2909692,2048280,185,15,570,3,262,62,127,154,175,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,23,10,12
"Tay Gundoo",881533932,-7,7431684,4458743,2972941,149,109,56,320,2572780,1870869,154,14,167,0,265,9,55,150,156,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17,10,8
"NovaSatori",732713168,-9,7148926,4180383,2968543,140,-70,92,379,2229458,1941874,184,12,300,1,267,31,68,143,150,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,21,11,10
"Willy Mack6",555726217,-7,7424056,4319631,3104425,139,-30,207,466,2337792,1956947,190,17,515,4,244,69,108,135,143,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,19,7,9
"Zor Prime",729973374,-8,7345177,4337002,3008175,144,-108,103,372,2265114,2050389,180,10,284,1,273,31,67,150,169,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,21,14,12
