Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Rockinjalapeno,685743949,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rockinjalapeno,685743949,0,0,0,Dooku+Asajj: Dooku AV
Rockinjalapeno,685743949,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthNox26,212143198,1,1,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthNox26,212143198,0,0,0,Dooku+Asajj: Dooku AV
DarthNox26,212143198,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Dark Roaster,711298625,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Dark Roaster,711298625,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dark Roaster,711298625,0,0,0,Dooku+Asajj: Dooku AV
Dark Roaster,711298625,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Luzarr,825948871,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Luzarr,825948871,0,0,0,Dooku+Asajj: Dooku AV
Luzarr,825948871,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Luzarr,825948871,8,0,8,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G7
Mr Magnum,869364294,20,0,20,Grievous: GG B2 G7 6* B1 G4 4* Droideka G5 4* MagnaGuard
Tay Gundoo,881533932,3,0,3,Grievous: GG B2 G9 B1 Nute MagnaGuard
Tay Gundoo,881533932,0,0,0,Dooku+Asajj: Dooku AV
Tay Gundoo,881533932,16,4,12,Troopers: Veers G9 Piett Gideon Dark Trooper G7 Range Trooper G8
Tay Gundoo,881533932,8,3,5,Geos: GBA G7 5* Poggle Geo Soldier Sun Fac Geo Spy
AKsock,494514157,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
AKsock,494514157,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
tenbears,266775611,6,0,6,Dooku+Asajj: Dooku G6 5* AV
tenbears,266775611,6,0,6,Geos: GBA G11 Poggle Geo Soldier Sun Fac G10 Geo Spy G9
Lizsen Kendet,713757437,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Lizsen Kendet,713757437,0,0,0,Dooku+Asajj: Dooku AV
Lizsen Kendet,713757437,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BossManBean,972345969,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BossManBean,972345969,4,4,0,Grievous: GG B2 B1 Droideka MagnaGuard
BossManBean,972345969,8,4,4,Dooku+Asajj: Dooku G8 6* AV
Rain,254836835,2,0,2,Grievous: GG G10 B2 B1 Droideka MagnaGuard
Rain,254836835,8,4,4,Dooku+Asajj: Dooku G8 AV
Rain,254836835,14,10,4,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy
Garrett Jones,198479762,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Garrett Jones,198479762,6,0,6,Dooku+Asajj: Dooku G6 6* AV
Garrett Jones,198479762,4,0,4,Geos: GBA Poggle G11 Geo Soldier Sun Fac G9 Geo Spy
Sensei6,565256418,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Sensei6,565256418,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Sensei6,565256418,0,0,0,Dooku+Asajj: Dooku AV
Sensei6,565256418,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rendon,528877886,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Rendon,528877886,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rendon,528877886,0,0,0,Dooku+Asajj: Dooku AV
Willy Mack6,555726217,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Willy Mack6,555726217,0,0,0,Dooku+Asajj: Dooku AV
