Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
yellow hawk,324953148,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
yellow hawk,324953148,7,1,6,JMLS: JMLS JKL JKR GMY G12 HYoda
yellow hawk,324953148,6,4,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
yellow hawk,324953148,29,2,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Gideon G12
Ash Williams,872711542,35,35,0,Padme/BB: Padme Hunter Echo Tech Wrecker
DarthNox26,212143198,13,1,12,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader Thrawn RG R3
ChemtrailClem,626121712,35,1,34,EP: EP G12 Mara Jade, The Emperor's Hand G11 4* Vader R3 Thrawn G9 Shoretrooper G8 5*
ChemtrailClem,626121712,42,0,42,Troopers: Veers G11 6* Piett G9 5* Dark Trooper G8 3* Range Trooper G9 2* Gideon G11
Puzzle,692375931,6,6,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Puzzle,692375931,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Puzzle,692375931,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Puzzle,692375931,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Puzzle,692375931,6,0,6,JMLS: JMLS JKL JKR G12 GMY HYoda
Puzzle,692375931,29,0,29,Troopers: Veers R3 Piett Dark Trooper G6 Range Trooper G5 Starck R3
Niko,531986488,33,0,33,EP: EP G11 Mara Jade, The Emperor's Hand G11 6* Vader R3 Thrawn G11 RG G8 6*
Rockinjalapeno,685743949,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rockinjalapeno,685743949,3,2,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Rockinjalapeno,685743949,20,8,12,EP: EP Mara Jade, The Emperor's Hand G13 Vader Thrawn G13 Malak R3
Rockinjalapeno,685743949,42,2,40,Padme/BB: Padme R2 Hunter G9 6* Echo G9 Tech G9 Wrecker G8
XDDCC,479971118,28,0,28,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G11 Gideon G11
DarthPhlotsam,859414998,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
DarthPhlotsam,859414998,3,3,0,JMLS: JMLS JKL JKR GMY HYoda
DarthPhlotsam,859414998,4,4,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
DarthPhlotsam,859414998,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthPhlotsam,859414998,18,10,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Jinx Ironbird,819146512,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Jinx Ironbird,819146512,10,10,0,CLS: CLS C-3PO Han Chewbacca Chewpio
