Player,Offense,Defense,GP,Name,Squad,Viable
"Rellik",,,124476,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Rellik",1,1,161207,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Rellik",0,1,136069,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), zzzCAT",1
"Rellik",,,179117,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Rellik",1,0,158594,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Rellik",0,1,135558,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Rellik",,,131337,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Rellik",1,1,106493,NS_Alt,"zzMT zzAV Talia zDaka Zombie",1
"Rellik",0,1,105505,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Rellik",,,458992,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Rellik",,,507534,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Rellik",1,1,140093,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn, RH Poe",1
"Rellik",1,0,118559,Traya,"zzTraya DN Sion zDooku zzEP",1
"Rellik",,,110478,Mon Mothma,"zzMon Mothma, Wedge zCara Dune, Baze Biggs",1
"Rellik",,,118105,Disintegration,"zzAurra Greef zBoba zzBossk zzThe Mandalorian",1
"Rellik",1,1,106324,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Rellik",1,0,139431,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Rellik",1,1,101491,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Rellik",0,1,132204,BH,"zzJango zDengar zBoushh (Leia Organa), Cad zGreedo",1
"Rellik",0,1,110556,Phoenix,"zHera zEzra zKanan zSabine zCaptain Rex",1
"Rellik",0,1,137588,BS,"zBS zzGMY zJolee zzOld Ben, zzHYoda",1
"Rellik",1,0,91919,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Rellik",1,0,17256,NestSolo (Counter),"Nest",1
"Rellik",,,80221,Admiral Raddus,"Admiral Raddus 4*, Cassian Jyn K-2SO G9, Chirrut",0
"Rellik",,,296640,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 4*, Sun Fac SF, Soldier SF, Spy SF",0
"Rellik",,,447886,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Rellik",1,0,86107,Troopers,"Veers zzPiett 5* zzGideon Dark Trooper, Range Trooper 6* G8",0
"Rellik",,,80636,Iden Troopers,"Iden Versio, Stormtrooper Snowtrooper G8, Magma DT",0
"Rellik",,,66973,Bad Batch,"Hunter 6* Echo 4* G9, Omega Tech 6* Wrecker 6* G8",0
"WildfireX",,,178652,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"WildfireX",,,177589,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zzTarkin",1
"WildfireX",,,190604,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"WildfireX",,,162988,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"WildfireX",,,595468,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"WildfireX",1,0,142823,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"WildfireX",1,1,108581,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"WildfireX",,,495872,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"WildfireX",,,311411,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"WildfireX",0,1,95507,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"WildfireX",,,136086,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"WildfireX",,,455019,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"WildfireX",1,1,103954,JTR,"zzzJTR zzR2-D2 zBB-8 zRH Finn G9, zRH Poe G9",1
"WildfireX",0,1,133782,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"WildfireX",1,0,135360,Traya,"zzTraya zzDN zSion Sith Empire Trooper, zzThrawn",1
"WildfireX",,,108201,Mon Mothma,"zzMon Mothma, zPao Hoth Rebel Scout, zCara Dune, Chirrut",1
"WildfireX",1,1,96059,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"WildfireX",1,0,143142,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"WildfireX",1,1,101182,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca, zCanderous",1
