Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jason,467564358,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jason,467564358,13,13,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Jason,467564358,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Jason,467564358,5,3,2,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips)
Jason,467564358,6,0,6,JMLS: JMLS JKL JKR G12 GMY HYoda
Jason,467564358,26,7,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
SirChristoph,693327351,10,10,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SirChristoph,693327351,17,11,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak G12
SirChristoph,693327351,49,16,33,Troopers: Veers G12 Piett G12 Dark Trooper G9 Range Trooper G6 Gideon
Sawyer,595715286,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Sawyer,595715286,5,0,5,CLS: CLS C-3PO R4 Han R4 Chewbacca R3 Chewpio R4
MrPopTart,324522519,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MrPopTart,324522519,8,5,3,EP: EP Mara Jade, The Emperor's Hand R2 Vader Thrawn Malak
MrPopTart,324522519,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
MrPopTart,324522519,13,1,12,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R3 Starck R3
xGhostCaliberx,855417377,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
xGhostCaliberx,855417377,23,23,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
xGhostCaliberx,855417377,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
xGhostCaliberx,855417377,20,20,0,CLS: CLS C-3PO Han Chewbacca Chewpio
xGhostCaliberx,855417377,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
xGhostCaliberx,855417377,37,37,0,Padme/BB: Padme Hunter Echo Tech Wrecker
xGhostCaliberx,855417377,18,3,15,Troopers: Veers Piett Dark Trooper G12 Range Trooper G11 Starck R3
R2D2,889324759,2,2,0,SEE: SEE Malak Darth Malgus BSF DR
R2D2,889324759,7,7,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
R2D2,889324759,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
R2D2,889324759,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
R2D2,889324759,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
R2D2,889324759,23,0,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 Starck R3
R2D2,889324759,42,6,36,Padme/BB: Padme R4 Hunter G9 Echo G10 Tech G9 Wrecker G9
oogway,736683126,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
oogway,736683126,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
oogway,736683126,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
oogway,736683126,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
oogway,736683126,8,0,8,EP: EP Mara Jade, The Emperor's Hand G10 3* Vader Thrawn Malak
oogway,736683126,7,0,7,Troopers: Veers Piett Dark Trooper Range Trooper G11 Gideon
Bigs Little,617228366,19,8,11,EP: EP Mara Jade, The Emperor's Hand G10 5* Vader Thrawn R2 Malak
Bigs Little,617228366,28,16,12,CLS: CLS R3 C-3PO R3 Han R2 Chewbacca R4 Chewpio R1
Bigs Little,617228366,50,23,27,Padme/BB: Padme G10 Hunter R1 Echo G13 Tech G13 Wrecker G13
Bigs Little,617228366,49,1,48,Troopers: Veers G10 Piett G8 5* Dark Trooper G9 Range Trooper G6 6* Starck G9
Vaha68,517167991,19,19,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Vaha68,517167991,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Vaha68,517167991,12,0,12,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn Malak R2
Vaha68,517167991,25,7,18,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G11 6* Starck R3
Vaha68,517167991,39,2,37,Padme/BB: Padme R4 Hunter G10 5* Echo G9 4* Tech G9 6* Wrecker G8 6*
BabyGoat851,996376328,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
BabyGoat851,996376328,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BabyGoat851,996376328,14,11,3,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak R4
BabyGoat851,996376328,50,24,26,Troopers: Veers R3 Piett Dark Trooper G7 Range Trooper G7 Starck R3
BabyGoat851,996376328,39,0,39,Padme/BB: Padme R3 Hunter G9 Echo G9 Tech G9 Wrecker G8
Daadcity,444374162,34,34,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Daadcity,444374162,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Daadcity,444374162,21,19,2,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R3
Daadcity,444374162,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
Metatron72,588623761,4,4,0,SEE: SEE Malak Darth Malgus BSF DR
Metatron72,588623761,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Metatron72,588623761,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Metatron72,588623761,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Metatron72,588623761,5,3,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Metatron72,588623761,19,3,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Metatron72,588623761,34,3,31,Padme/BB: Padme Hunter G12 Echo G10 Tech G10 Wrecker G9
EpicComet,388628952,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
EpicComet,388628952,25,13,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Shoretrooper G12
EpicComet,388628952,12,1,11,CLS: CLS C-3PO Han R2 Chewbacca R1 Chewpio R1
EpicComet,388628952,31,15,16,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck G12
EpicComet,388628952,38,1,37,Padme/BB: Padme Hunter G9 6* Echo G9 5* Tech G9 6* Wrecker G8 6*
Adam,414961555,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Adam,414961555,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Adam,414961555,21,1,20,JMK: JMK CAT G2 GK GAS R2 Ahsoka Tano (Snips) R4
Adam,414961555,35,14,21,Padme/BB: Padme R1 Hunter R2 Echo G13 Tech R2 Wrecker G12
Ωhme,449894731,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Ωhme,449894731,14,10,4,JMLS: JMLS JKL JKR R1 GMY HYoda
Ωhme,449894731,13,11,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Ωhme,449894731,8,4,4,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips) R3
IceStoy,298744196,8,8,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
IceStoy,298744196,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
IceStoy,298744196,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
IceStoy,298744196,27,27,0,CLS: CLS C-3PO Han Chewbacca Chewpio
IceStoy,298744196,20,0,20,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G11 6* Starck R3
IceStoy,298744196,40,3,37,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8
Vel'Train,455642849,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Vel'Train,455642849,17,11,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Vel'Train,455642849,27,5,22,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 RG G8
Vel'Train,455642849,39,14,25,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G11
Mo Yin,524533215,11,11,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Mo Yin,524533215,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Mo Yin,524533215,12,11,1,EP: EP Mara Jade, The Emperor's Hand R4 Vader Thrawn Malak
Mo Yin,524533215,6,0,6,CLS: CLS C-3PO R4 Han R4 Chewbacca Chewpio R1
Mo Yin,524533215,18,9,9,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R1 Gideon R4
Ace is F2P forever,818732378,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Ace is F2P forever,818732378,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Ace is F2P forever,818732378,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Ace is F2P forever,818732378,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Ace is F2P forever,818732378,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Ace is F2P forever,818732378,1,0,1,Troopers: Veers Piett Dark Trooper Range Trooper R4 Gideon
Diath,858559118,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Diath,858559118,10,7,3,JMK: JMK CAT R2 GK GAS Ahsoka Tano (Snips)
Diath,858559118,12,9,3,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak R4
Diath,858559118,18,11,7,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R4 Gideon R3
Diath,858559118,40,2,38,Padme/BB: Padme Hunter G9 6* Echo G8 Tech G9 6* Wrecker G8 6*
Dexter,259247871,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Dexter,259247871,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Dexter,259247871,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dexter,259247871,35,35,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Dexter,259247871,6,0,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Dexter,259247871,11,8,3,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips) R4
Rellik,484158711,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rellik,484158711,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Rellik,484158711,8,6,2,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R3
Rellik,484158711,16,1,15,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader Thrawn G13 Malak
Rellik,484158711,43,6,37,Padme/BB: Padme R3 Hunter G10 6* Echo G9 4* Tech G10 6* Wrecker G8 6*
Rellik,484158711,44,7,37,Troopers: Veers G12 Piett G10 5* Dark Trooper G11 Range Trooper G8 6* Gideon G12
TonkaDavid,759331513,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
TonkaDavid,759331513,7,7,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
TonkaDavid,759331513,47,47,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TonkaDavid,759331513,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TonkaDavid,759331513,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
TonkaDavid,759331513,23,7,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
jhitt7,612627154,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
jhitt7,612627154,2,2,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
jhitt7,612627154,21,21,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
jhitt7,612627154,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
Qin Phfal,237375819,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Qin Phfal,237375819,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
Qin Phfal,237375819,1,1,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Qin Phfal,237375819,21,21,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Qin Phfal,237375819,6,0,6,Padme/BB: Padme Hunter Echo R3 Tech R3 Wrecker R3
Qin Phfal,237375819,21,3,18,Troopers: Veers G12 Piett Dark Trooper R2 Range Trooper G10 Gideon R4
MasterMiller,851324396,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
MasterMiller,851324396,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
MasterMiller,851324396,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MasterMiller,851324396,1,0,1,EP: EP Mara Jade, The Emperor's Hand Vader R4 Thrawn Malak
MasterMiller,851324396,29,0,29,Padme/BB: Padme Hunter G12 Echo G12 Tech G10 Wrecker G9
MasterMiller,851324396,25,0,25,Troopers: Veers R3 Piett G12 Dark Trooper G9 Range Trooper G12 Gideon R3
BearLee,387139863,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
BearLee,387139863,7,1,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
BearLee,387139863,35,20,15,Padme/BB: Padme Hunter R4 Echo R3 Tech G12 Wrecker G12
BearLee,387139863,17,2,15,Troopers: Veers R4 Piett Dark Trooper G12 Range Trooper G12 Gideon R3
Chirrut Îmwe,592673129,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chirrut Îmwe,592673129,14,14,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chirrut Îmwe,592673129,40,40,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Chirrut Îmwe,592673129,5,3,2,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R3
Chirrut Îmwe,592673129,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Chirrut Îmwe,592673129,22,8,14,Troopers: Veers R3 Piett Dark Trooper R1 Range Trooper G12 Starck R3
Neko,449267729,7,7,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Neko,449267729,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Neko,449267729,8,2,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Q92,261337715,14,12,2,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R3
Q92,261337715,36,7,29,EP: EP R3 Mara Jade, The Emperor's Hand G1 Vader Thrawn G8 Malak
Q92,261337715,24,5,19,Troopers: Veers G12 Piett Dark Trooper R4 Range Trooper G12 Gideon G12
Q92,261337715,19,8,11,CLS: CLS R4 C-3PO R3 Han R3 Chewbacca R4 Chewpio G13
IAMBACON424242,698361296,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
IAMBACON424242,698361296,20,4,16,CLS: CLS C-3PO R3 Han G12 Chewbacca Chewpio G10 5*
IAMBACON424242,698361296,28,6,22,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G9 6* Starck R3
IAMBACON424242,698361296,48,0,48,Padme/BB: Padme G7 Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8 5*
MINI KingSteel,254276153,5,5,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
MINI KingSteel,254276153,10,10,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
MINI KingSteel,254276153,10,8,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
MINI KingSteel,254276153,12,0,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck R3
Orion,951862265,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Orion,951862265,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Orion,951862265,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Orion,951862265,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Orion,951862265,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Orion,951862265,35,14,21,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G10 Starck R3
Orion,951862265,37,6,31,Padme/BB: Padme Hunter G10 Echo G10 Tech G10 Wrecker G11
DeputyDan,719787543,13,13,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
DeputyDan,719787543,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
DeputyDan,719787543,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
DeputyDan,719787543,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
DeputyDan,719787543,11,0,11,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper R2 Gideon R2
Bearded One,693357628,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Bearded One,693357628,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Bearded One,693357628,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bearded One,693357628,5,5,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Bearded One,693357628,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Bearded One,693357628,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
Aether,251181349,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Aether,251181349,9,0,9,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak
Aether,251181349,8,0,8,JMLS: JMLS JKL JKR GMY G10 HYoda
JohnnyUtah,454898459,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JohnnyUtah,454898459,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
JohnnyUtah,454898459,29,29,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
JohnnyUtah,454898459,5,1,4,Troopers: Veers Piett Dark Trooper Range Trooper R3 Gideon R3
Pvaulter175,182511842,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Pvaulter175,182511842,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Pvaulter175,182511842,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Pvaulter175,182511842,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Pvaulter175,182511842,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Pvaulter175,182511842,10,0,10,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper R2 Starck R3
Pvaulter175,182511842,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
Serpens,645725141,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Serpens,645725141,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Serpens,645725141,9,1,8,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips) G12
Serpens,645725141,19,0,19,EP: EP R3 Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak G10
Serpens,645725141,46,9,37,Padme/BB: Padme Hunter G10 Echo G9 Tech G7 Wrecker G9
Serpens,645725141,49,0,49,Troopers: Veers G10 Piett G9 Dark Trooper G7 6* Range Trooper G7 5* Starck G8
WildfireX,552286427,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
WildfireX,552286427,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
WildfireX,552286427,8,8,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
WildfireX,552286427,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
WildfireX,552286427,13,4,9,CLS: CLS R4 C-3PO Han Chewbacca R4 Chewpio G11
WildfireX,552286427,20,4,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
SilentStorm,777696984,39,19,20,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G8 Shoretrooper G8 6*
SilentStorm,777696984,37,0,37,CLS: CLS R1 C-3PO G8 6* Han G12 Chewbacca G9 Chewpio G10 5*
swine destroyer,938382827,49,48,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
swine destroyer,938382827,28,1,27,Troopers: Veers R3 Piett Dark Trooper G7 5* Range Trooper G6 6* Starck R3
Connor,287586656,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
Connor,287586656,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Connor,287586656,4,1,3,JMK: JMK CAT GK GAS R2 Ahsoka Tano (Snips)
