Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Mo Yin,524533215,26,19,7,140174,Shaak Ti Fives R1 Rex R2 Echo (501st) ARC Trooper
KoninginKonan,968292886,31,25,6,131552,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper R3
WildfireX,552286427,10,6,4,143142,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Diath,858559118,29,23,6,132011,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R4
Jason,467564358,4,4,0,151145,Shaak Ti Fives Rex Echo (501st) ARC Trooper
R2D2,889324759,28,6,22,118418,Shaak Ti Fives R1 Rex G12 Echo (501st) G12 ARC Trooper G12
Dexter,259247871,22,21,1,149995,Shaak Ti Fives Rex R4 Echo (501st) ARC Trooper
Rellik,484158711,27,27,0,139431,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Orion,951862265,37,23,14,127197,Shaak Ti Fives R3 Rex G12 Echo (501st) ARC Trooper G12
Metatron72,588623761,19,12,7,132133,Shaak Ti Fives Rex R3 Echo (501st) R2 ARC Trooper R3
Vaha68,517167991,29,29,0,138502,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BearLee,387139863,26,15,11,123709,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper G12
Ωhme,449894731,59,56,3,136341,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R4
Q92,261337715,48,21,27,101006,Shaak Ti Fives G10 Rex G12 Echo (501st) G11 ARC Trooper G12
Vel'Train,455642849,44,33,11,119272,Shaak Ti G12 Fives Rex R4 Echo (501st) R3 ARC Trooper R3
swine destroyer,938382827,59,20,39,90927,Shaak Ti Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
Neko,449267729,39,11,28,104928,Shaak Ti G8 Fives Rex G12 Echo (501st) G12 ARC Trooper G12
Chirrut Îmwe,592673129,23,19,4,142914,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Ralthor,639153363,9,9,0,139914,Shaak Ti Fives Rex Echo (501st) ARC Trooper
乂ιρ,691737775,10,0,10,131393,Shaak Ti G8 Fives Rex Echo (501st) ARC Trooper
BabyGoat851,996376328,33,12,21,110690,Shaak Ti Fives G12 Rex G13 Echo (501st) R2 ARC Trooper G11 5*
jhitt7,612627154,2,0,2,138395,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Daadcity,444374162,3,3,0,147178,Shaak Ti Fives Rex Echo (501st) ARC Trooper
IceStoy,298744196,60,41,19,109799,Shaak Ti Fives G12 Rex R2 Echo (501st) R2 ARC Trooper G11 5*
JohnnyUtah,454898459,14,8,6,128832,Shaak Ti R2 Fives Rex R4 Echo (501st) R4 ARC Trooper R4
xGhostCaliberx,855417377,0,0,0,154959,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DeputyDan,719787543,5,4,1,142455,Shaak Ti Fives Rex Echo (501st) R4 ARC Trooper
MINI KingSteel,254276153,6,6,0,137978,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Connor,287586656,18,4,14,123960,Shaak Ti Fives R2 Rex R2 Echo (501st) R1 ARC Trooper R1
oogway,736683126,0,0,0,151932,Shaak Ti Fives Rex Echo (501st) ARC Trooper
IAMBACON424242,698361296,48,3,45,63420,Shaak Ti G8 Fives G10 Rex G10 Echo (501st) G9 ARC Trooper G8 6*
SilentStorm,777696984,66,31,35,74819,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G7
SirChristoph,693327351,10,0,10,115347,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Bigs Little,617228366,47,5,42,90536,Shaak Ti G9 Fives G10 Rex G12 Echo (501st) G9 ARC Trooper G8
Adam,414961555,10,0,10,128018,Shaak Ti Fives R4 Rex R2 Echo (501st) R2 ARC Trooper R2
Bearded One,693357628,0,0,0,143985,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MasterShep2,332979431,11,11,0,139054,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DefPop,331759264,44,0,44,73434,Shaak Ti G9 Fives G9 Rex G9 Echo (501st) G10 ARC Trooper G9
EpicComet,388628952,4,4,0,142123,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CJ,547599911,6,6,0,128639,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TonkaDavid,759331513,32,28,4,141092,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Aether,251181349,49,0,49,70503,Shaak Ti G8 Fives G9 Rex G9 Echo (501st) G8 ARC Trooper G7
MrPopTart,324522519,0,0,0,139766,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Qin Phfal,237375819,10,10,0,138457,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Serpens,645725141,60,28,32,85891,Shaak Ti Fives G12 Rex G10 Echo (501st) G9 ARC Trooper G9 4*
Ace is F2P forever,818732378,0,0,0,153844,Shaak Ti Fives Rex Echo (501st) ARC Trooper
