Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Daadcity,444374162,41,41,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Daadcity,444374162,3,3,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Daadcity,444374162,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Daadcity,444374162,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Daadcity,444374162,19,11,8,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka G12
Daadcity,444374162,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Daadcity,444374162,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 4* Sun Fac SF Soldier SF Spy SF
Daadcity,444374162,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Daadcity,444374162,49,19,30,Troopers: Veers Piett Starck Dark Trooper G1 Range Trooper G1 6*
Bigs Little,617228366,1,1,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Bigs Little,617228366,31,21,10,padme: Padme G10 GK JKA Ahsoka Tano (Snips) G12 C-3PO
Bigs Little,617228366,25,19,6,Grievous Omicron: GG B2 B1 R1 MagnaGuard R1 Droideka R1
Bigs Little,617228366,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Bigs Little,617228366,1,1,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Bigs Little,617228366,14,9,5,CLS: CLS Han R2 Chewbacca Chewpio R1 R2-D2 R1
Bigs Little,617228366,44,6,38,Troopers: Veers G10 Piett G8 5* Starck G9 Dark Trooper G9 Range Trooper G6 6*
Gorkken,883535461,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Gorkken,883535461,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Gorkken,883535461,12,0,12,GAS: GAS Rex G12 Echo (501st) G12 Fives ARC Trooper G12
Gorkken,883535461,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Gorkken,883535461,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Gorkken,883535461,23,0,23,Troopers: Veers G12 Piett Gideon G11 Dark Trooper G9 Range Trooper G9 4*
Gorkken,883535461,8,0,8,CLS: CLS Han Chewbacca Chewpio R2-D2 G8
Orion,951862265,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Orion,951862265,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
