Player,Offense,Defense,GP,Name,Squad,Viable
"Pàul Blárt",,,138122,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn Scarif Bistan",1
"Pàul Blárt",,,436490,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Pàul Blárt",1,1,142740,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Pàul Blárt",1,1,164449,GL Rey,"zzzzzzRey zzzJTR zBB-8 zRH Poe, zRH Finn",1
"Pàul Blárt",1,0,141683,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Pàul Blárt",0,1,111379,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Pàul Blárt",,,96760,Mon Mothma,"zMon Mothma, Biggs Wedge Lando Cara Dune",1
"Pàul Blárt",1,1,83000,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Pàul Blárt",1,1,88684,Carth,"Carth Onasi, Mission Zaalbar zVandor Chewbacca, Canderous",1
"Pàul Blárt",0,1,112071,BH,"zzBossk Greef Jango Cad Boba",1
"Pàul Blárt",1,1,96455,GK,"GK zBarriss Ahsoka JKA GMY",1
"Pàul Blárt",1,1,103651,zEP,"zzEP zzVader Tarkin BSF Traya G8",1
"Pàul Blárt",0,1,109036,Phoenix,"Hera zKanan Zeb zSabine zzCaptain Rex",1
"Pàul Blárt",1,0,17007,NestSolo (Counter),"Nest",1
"Pàul Blárt",,,116520,Phasma,"Phasma FOTP FOSFTP zFOST zKylo",0
"Pàul Blárt",,,98507,Grievous Omicron,"GG B2 B1 MagnaGuard Droideka",0
"Pàul Blárt",,,392878,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 2*, Clone Sergeant's ARC-170, Plo's SF",0
"Pàul Blárt",,,275557,Malevolence,"Malevolence Hyena Bomber 6*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Pàul Blárt",,,92894,JKL,"zJKL JKR HYoda Old Ben, Ezra",0
"Pàul Blárt",1,1,47590,NS_Alt,"MT 5* G8, AV Spirit 5* G8, Daka 5* G8, Talia 5* G8",0
"Pàul Blárt",1,0,80278,ShaakClones,"Shaak Ti, Rex Echo (501st) 5* G8, Fives Clone Sergeant",0
"Pàul Blárt",1,0,52186,Troopers,"Veers 6* G9, Starck 5* G7, Scout Trooper 5* G9, Stormtrooper G9, Iden Versio G8",0
"Pàul Blárt",1,0,6198,SionSolo (Counter),"Sion 6* G7",0
"Sting",0,1,137928,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Sting",0,1,108073,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Sting",1,1,114173,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Sting",1,1,109607,Revan Offense,"zzzJKR zGMY zBS Jolee Ezra",1
"Sting",1,1,89129,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Sting",1,1,108827,zEP,"zzEP zzzVader zTarkin TFP G9, Traya G8",1
"Sting",1,0,128691,CLS,"zzzCLS zHan zLeia Old Ben, zzChewbacca",1
"Sting",0,1,85659,Phoenix,"zHera Kanan Zeb Sabine Chopper",1
"Sting",1,0,83686,IG88,"IG-88 Wampa Cassian G8, Boba Kylo",1
"Sting",1,1,73148,NS,"MT AV Daka Zombie G9, Spirit G5",0
