Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Shula Taka",185498168,-3,3122390,1654567,1467823,112,104,68,405,954454,700113,38,5,153,0,107,18,36,60,68,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,3
"Berosin",281831893,-5,3779750,2069056,1710694,120,3,43,353,1141392,926988,38,4,164,0,140,23,40,61,74,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2
"Tam Noob",569938181,-4,4076348,2226267,1850081,120,-453,139,393,975952,1249639,49,8,227,1,133,25,51,64,82,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,6,3
"Sting",641185348,-5,3991354,2487146,1504208,165,275,90,252,1539537,946933,39,7,78,0,162,8,23,62,86,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6
"JediMasterKenobi",151953838,-1,8884684,5214081,3670603,142,25,275,497,2905532,2308549,218,8,700,6,281,91,143,159,173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,10,10
"Ghosty",595763532,-7,4873194,2930204,1942990,150,60,34,289,1651752,1266940,32,6,176,0,180,30,36,70,108,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,6,2
"Zealand",556563994,-6,2110869,1263386,847483,149,512,163,356,856022,407364,39,5,101,0,89,11,21,34,41,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,6,3
"Demise",365855891,-6,5288389,3013367,2275022,132,70,57,565,1712530,1300837,40,2,440,2,192,60,101,110,117,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,12,8,6
"Szorlyss",796128411,-2,5678040,3158001,2520039,125,-21,104,461,1722806,1435195,37,7,380,1,195,52,85,101,117,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,13,6,7
"Bruh Man",533515962,-11,3210058,1669968,1540090,108,-203,119,421,835511,833781,26,3,176,0,104,23,38,62,71,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,5,2
"Resmi Hardin",439633673,-5,2044085,1254521,789564,158,-236,90,348,617314,636531,19,1,96,0,74,15,19,33,43,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2
"Ven Zallow",641662776,-5,2588166,1650767,937399,176,316,63,299,1038095,611996,41,3,63,0,101,2,21,44,59,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4
"The GOAT",764977718,-7,3447990,2131891,1316099,161,64,66,256,1208182,923258,34,6,102,0,149,11,22,46,75,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,6,3
"Wolfpack 104",442963319,-4,2973100,1623005,1350095,120,13,112,357,899501,723504,32,3,107,0,111,7,29,56,70,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,7,3
