Player,Ally Code,Current Gear Needed,Team
JediMasterKenobi,151953838,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
JediMasterKenobi,151953838,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
JediMasterKenobi,151953838,2,L1 BH: Boba Jango Cad The Mandalorian G10 Embo
JediMasterKenobi,151953838,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa
Inferno227,894933398,8,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar G8
Inferno227,894933398,5,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G9
Luc Ascan,869726639,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
Silver Might,562912771,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
Silver Might,562912771,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Toro Mimi,412631524,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Toro Mimi,412631524,2,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar G7
Szorlyss,796128411,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 6*
Szorlyss,796128411,7,L1 Old Republic: JKR BS Jolee Juhani G9 50R-T G8
Szorlyss,796128411,1,L0 Carth: Carth Onasi Mission Zaalbar G7 Canderous T3-M4
BobOfDeath,917664227,6,L2 BH: Boba Jango Cad G12 The Mandalorian G12 Greedo G12
Ghosty,595763532,10,L1 Old Republic: JKR G9 BS G11 Jolee G10 Mission G9 Zaalbar G11
Ghosty,595763532,5,L1 BH: Boba Jango G11 6* Cad The Mandalorian G8 Embo
Ghosty,595763532,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 6* URoRRuR'R'R 5*
DarkBane1,231932825,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
DarkBane1,231932825,11,L1 Carth: Carth Onasi G11 Mission G10 6* Zaalbar G8 6* Canderous T3-M4 G8 6*
MJB,737922548,8,L2 Old Republic: JKR G12 BS Jolee G12 Mission G12 Zaalbar G12
MJB,737922548,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
LordKingBob,891579545,3,L0 BH: Boba Jango G6 Cad The Mandalorian Greedo G7
Avanza,692784346,10,L1 Old Republic: JKR BS G11 Jolee G10 Mission G8 Zaalbar G9
Avanza,692784346,4,L1 BH: Boba Jango Cad G8 The Mandalorian Greedo
Orik,644392786,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Toph MMXVIII,844446412,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
RHawtin,847129528,2,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar G7
DarthCader,236483152,15,L0 Jawas: Nebit G5 Jawa Engineer G5 Jawa Scavenger G5 Dathcha G5 Jawa G5
DarthHellenikon,377964874,2,L0 Old Republic: JKR G7 BS Jolee Mission G7 Zaalbar
Kdog,549249986,4,L0 Old Republic: JKR BS Jolee Mission G6 Zaalbar G6
Zealand,556563994,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
Hugelucas2002,764977718,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
