Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Resmi Hardin,439633673,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Haftus,588231183,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Andwhat15,447153136,16,16,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Andwhat15,447153136,2,0,2,Grievous: GG G10 B2 B1 Droideka MagnaGuard
Andwhat15,447153136,18,7,11,Dooku+Asajj: Dooku G1 5* AV
BobOfDeath,917664227,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BobOfDeath,917664227,15,3,12,Dooku+Asajj: Dooku G11 AV G1 4*
Demise,365855891,12,12,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Demise,365855891,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Demise,365855891,1,0,1,Grievous: GG G11 B2 B1 Nute MagnaGuard
Demise,365855891,8,8,0,Dooku+Asajj: Dooku AV
darage,228322754,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
darage,228322754,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
darage,228322754,8,4,4,Dooku+Asajj: Dooku G8 6* AV
Bruh Man,533515962,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bruh Man,533515962,7,1,6,Troopers: Veers Piett Gideon G9 Dark Trooper G9 Range Trooper
HanV,248326813,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
HanV,248326813,11,7,4,Dooku+Asajj: Dooku G8 5* AV
HanV,248326813,15,13,2,Geos: GBA Poggle Geo Soldier G11 Sun Fac G11 Geo Spy
Zealand,556563994,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
Zealand,556563994,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zealand,556563994,11,0,11,Dooku+Asajj: Dooku G1 3* AV
GankedbyWork,385838229,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
GankedbyWork,385838229,8,8,0,Dooku+Asajj: Dooku AV
Toph MMXVIII,844446412,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Toph MMXVIII,844446412,12,0,12,Dooku+Asajj: Dooku G6 AV G6 5*
Inferno227,894933398,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Inferno227,894933398,15,0,15,Dooku+Asajj: Dooku G8 AV G1 3*
Shula Taka,185498168,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Shula Taka,185498168,12,0,12,Dooku+Asajj: Dooku G11 AV G1
Faroer Laike,764821762,19,11,8,Grievous: GG B2 G9 B1 Droideka G9 MagnaGuard G10
Faroer Laike,764821762,8,3,5,Troopers: Veers Piett G11 Gideon G11 Dark Trooper G10 Range Trooper G11
Faroer Laike,764821762,0,0,0,Dooku+Asajj: Dooku AV
Faroer Laike,764821762,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
