Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Berosin,281831893,22,22,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
Ghosty,595763532,57,16,41,Rey: JTR G0 0* R2-D2 C-3PO BB-8 G9 RT Scav Rey R5 Finn Poe Vet Chewbacca G8 5* Vet Han 5* Resistance Pilot Holdo Rose RH Poe RH Finn
Ghosty,595763532,32,12,20,Supreme Leader Kylo Ren: KRU R5 Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han G8 5* EP G12 Finalizer 0*
Zac,291513384,52,46,6,Sith Eternal Emperor: EP Vader RG Piett G12 Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Aaron,329331261,49,49,0,Rey: JTR R2-D2 C-3PO 5* BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Aaron,329331261,59,0,59,Sith Eternal Emperor: EP Vader RG G9 Piett G1 3* Krennic G8 5* Sidious Darth Maul Dooku G12 Sith Marauder R3 Imperial TIE Bomber 0* JKA R3 Thrawn G12 Tarkin Veers G12 Starck
Aaron,329331261,14,14,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Tam Noob,569938181,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Tam Noob,569938181,4,4,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 4*
Szorlyss,796128411,42,42,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Szorlyss,796128411,59,28,31,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO R3 Mon Mothma G8 5* Chewpio R3 JKL R2-D2 G10 Han R5 Chewbacca Rebel Y-wing 6* Leia HYoda R3 Wedge Biggs Lando R3
Szorlyss,796128411,20,20,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Resmi Hardin,439633673,14,14,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
JediMasterKenobi,151953838,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
JediMasterKenobi,151953838,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
JediMasterKenobi,151953838,58,58,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
JediMasterKenobi,151953838,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
JediMasterKenobi,151953838,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
JediMasterKenobi,151953838,26,26,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Bruh Man,533515962,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Demise,365855891,42,42,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
