Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Szorlyss,796128411,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Szorlyss,796128411,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Szorlyss,796128411,17,9,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Szorlyss,796128411,8,0,8,JKL: JKL HYoda JMLS G12 Jolee G12 GK
Faroer Laike,764821762,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Faroer Laike,764821762,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Faroer Laike,764821762,13,0,13,ROLO: ROLO Cpt Solo Biggs G11 Baze G8 Lando
Faroer Laike,764821762,20,4,16,JKL: JKL G12 HYoda GMY G12 Jolee G12 GK G12
Inferno227,894933398,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
Inferno227,894933398,12,0,12,JKL: JKL HYoda GMY G12 JKR G12 Jolee G12
Silver Might,562912771,0,0,0,Finn: Finn RT RH Finn RH Poe R2-D2
Silver Might,562912771,15,15,0,GAS Special: GAS Ahsoka Tano (Snips)
Silver Might,562912771,9,9,0,JKL: JKL HYoda GMY Jolee GK
Silver Might,562912771,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Silver Might,562912771,20,7,13,Shaak Ti: Shaak Ti G9 Rex R1 Echo (501st) R1 ARC Trooper R1 Fives
LeoFB04,943294487,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Crqzy,361942997,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Crqzy,361942997,16,0,16,ROLO: ROLO G8 Chirrut G8 5* Han CLS Lando
Shula Taka,185498168,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Wolfpack 104,442963319,18,18,0,JKL: JKL HYoda GMY JKR Jolee
Wolfpack 104,442963319,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Hugelucas2002,764977718,9,8,1,ROLO: ROLO Cpt Solo Han CLS Lando
Hugelucas2002,764977718,17,5,12,JKL: JKL HYoda GMY G12 Jolee G12 GK G12
Luc Ascan,869726639,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Luc Ascan,869726639,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Luc Ascan,869726639,15,0,15,GAS Special: GAS G1 5* Ahsoka Tano (Snips)
Luc Ascan,869726639,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Berosin,281831893,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
Berosin,281831893,20,17,3,CLS: CLS Han R2 Chewbacca Chewpio R1 C-3PO
Berosin,281831893,20,18,2,Shaak Ti: Shaak Ti R1 Rex Echo (501st) ARC Trooper Fives
Sukitdonny,495955842,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Sukitdonny,495955842,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Sukitdonny,495955842,12,0,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Orik,644392786,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Orik,644392786,1,0,1,ROLO: ROLO Cpt Solo Leia CLS Lando
DarkBane1,231932825,4,0,4,GAS Special: GAS Ahsoka Tano (Snips) G12
DarkBane1,231932825,17,4,13,CLS: CLS Han G13 Chewbacca G13 Chewpio G12 C-3PO G13
DarkBane1,231932825,12,8,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Resmi Hardin,439633673,9,8,1,CLS: CLS Han Chewbacca Chewpio R2 C-3PO
Aaron,329331261,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Aaron,329331261,17,0,17,ROLO: ROLO G7 5* Chirrut G8 Leia CLS Lando
RHawtin,847129528,13,13,0,CLS: CLS Han Chewbacca Chewpio C-3PO
RHawtin,847129528,14,0,14,JKL: JKL HYoda GMY G12 Jolee G10 GK G12
kowalski,937127285,15,7,8,CLS: CLS Han Chewbacca Chewpio G12 C-3PO G12
kollosterplayer,657187729,17,7,10,CLS: CLS Han R1 Chewbacca Chewpio G12 C-3PO G12
Ven Zallow,641662776,20,0,20,ROLO: ROLO G12 Cpt Solo G12 Han G12 CLS G12 R2-D2 G12
darage,228322754,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
darage,228322754,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
darage,228322754,13,0,13,ROLO: ROLO G11 5* Cpt Solo G8 5* Han CLS Lando
