Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthHellenikon,377964874,34,7,27,CLS: CLS R3 C-3PO G11 6* Han G12 Chewbacca G12 Chewpio G12
DarthHellenikon,377964874,43,8,35,Troopers: Veers G12 Piett G12 Dark Trooper G10 Range Trooper G9 Starck G12
Silver Might,562912771,31,14,17,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn R2 RG G11
Silver Might,562912771,17,10,7,CLS: CLS C-3PO R3 Han R4 Chewbacca R3 Chewpio R3
jobobhi,977182498,30,8,22,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G7 Malak R3
jobobhi,977182498,35,12,23,CLS: CLS R3 C-3PO G11 6* Han G12 Chewbacca R1 Chewpio R1
jobobhi,977182498,44,0,44,Troopers: Veers G11 Piett G9 Dark Trooper G9 Range Trooper G8 Gideon G9
jobobhi,977182498,46,3,43,Padme/BB: Padme G12 Hunter G9 5* Echo G9 5* Tech G9 6* Wrecker G8
Crqzy,361942997,24,5,19,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn R3 Shoretrooper G8 5*
Crqzy,361942997,27,0,27,Troopers: Veers R3 Piett G9 4* Dark Trooper G11 6* Range Trooper G11 5* Gideon R3
DarthCader,236483152,15,5,10,CLS: CLS C-3PO R3 Han G12 Chewbacca R3 Chewpio
Alphred Zoey,764557859,28,28,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Alphred Zoey,764557859,40,0,40,EP: EP G9 Mara Jade, The Emperor's Hand G9 4* Vader Thrawn G7 RG G7
Alphred Zoey,764557859,36,1,35,Troopers: Veers G11 Piett G12 Dark Trooper G9 Range Trooper G12 Gideon G11
Haftus,588231183,44,19,25,CLS: CLS C-3PO G12 Han G12 Chewbacca G12 Chewpio G11 6*
Faroer Laike,764821762,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Faroer Laike,764821762,28,7,21,EP: EP Mara Jade, The Emperor's Hand G10 Vader Thrawn G11 Malak G12
Faroer Laike,764821762,38,5,33,Troopers: Veers G12 Piett G12 Dark Trooper G11 Range Trooper G11 Gideon G11
