Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Shula Taka,185498168,87,2,85,15433,Shaak Ti G1 2* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G1 4*
Berosin,281831893,45,41,4,128265,Shaak Ti R1 Fives Rex Echo (501st) ARC Trooper
BobOfDeath,917664227,90,23,67,24284,Shaak Ti G8 6* Fives G8 Rex G7 Echo (501st) G0 0* ARC Trooper G0 0*
Ghosty,595763532,62,56,6,127096,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Zac,291513384,85,33,52,48712,Shaak Ti G8 5* Fives G7 Rex G10 Echo (501st) G7 ARC Trooper G6 4*
Aaron,329331261,63,29,34,79996,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Tam Noob,569938181,88,8,80,22721,Shaak Ti G1 5* Fives G2 Rex G3 Echo (501st) G3 ARC Trooper G1 6*
Zealand,556563994,54,50,4,130921,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R3
Sting,641185348,89,25,64,45444,Shaak Ti G8 5* Fives G9 Rex G7 Echo (501st) G2 ARC Trooper G0 0*
Wolfpack 104,442963319,90,1,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Szorlyss,796128411,66,15,51,57759,Shaak Ti G9 Fives G11 Rex G11 Echo (501st) G8 ARC Trooper G0 0*
Resmi Hardin,439633673,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
JediMasterKenobi,151953838,0,0,0,151815,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bruh Man,533515962,89,43,46,68568,Shaak Ti G8 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Demise,365855891,66,24,42,58744,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Ven Zallow,641662776,39,13,26,97371,Shaak Ti G0 0* Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
The GOAT,764977718,45,8,37,77977,Shaak Ti G8 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G11 6*
Alphred Zoey,764557859,82,35,47,69375,Shaak Ti G8 Fives G9 Rex G10 Echo (501st) G8 ARC Trooper G8
Blackmare,857925182,90,17,73,22955,Shaak Ti G0 0* Fives G8 6* Rex G7 6* Echo (501st) G2 ARC Trooper G0 0*
Luc Ascan,869726639,66,32,34,72499,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8
darage,228322754,59,36,23,89040,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G11
Crqzy,361942997,66,0,66,32005,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Toro Mimi,412631524,66,50,16,99854,Shaak Ti R3 Fives R3 Rex R2 Echo (501st) R2 ARC Trooper G12
Orik,644392786,66,24,42,58744,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Vicas,892311394,74,32,42,57483,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 5* ARC Trooper G0 0*
HanV,248326813,47,29,18,104784,Shaak Ti G12 Fives Rex R3 Echo (501st) R1 ARC Trooper G12
Silver Might,562912771,61,38,23,101948,Shaak Ti G9 Fives R3 Rex R1 Echo (501st) R1 ARC Trooper R1
BigTuna,177487963,8,6,2,134129,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
ShortyMac221,319841744,85,29,56,45355,Shaak Ti R3 Fives R3 Rex G1 6* Echo (501st) G1 5* ARC Trooper G0 0*
Pàul Blárt,925396233,65,25,40,61804,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G8 5* ARC Trooper G0 0*
Andwhat15,447153136,89,34,55,49864,Shaak Ti R3 Fives R3 Rex G1 Echo (501st) G1 6* ARC Trooper G1 5*
Sykona,437446588,66,1,65,25009,Shaak Ti G1 2* Fives G8 Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
Boss Alien,317612657,66,24,42,58553,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 6* ARC Trooper G0 0*
jobobhi,977182498,45,19,26,92221,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G11 ARC Trooper G9 5*
DarthHellenikon,377964874,66,24,42,54087,Shaak Ti R3 Fives R3 Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
Haftus,588231183,59,0,59,36778,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G7 5*
Faroer Laike,764821762,49,7,42,72596,Shaak Ti G12 Fives G12 Rex G8 Echo (501st) G8 ARC Trooper G8
RHawtin,847129528,84,2,82,4631,Shaak Ti G1 2* Fives G6 3* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
raychiu3141,124761573,86,5,81,17737,Shaak Ti G6 4* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Toph MMXVIII,844446412,80,6,74,18117,Shaak Ti G1 2* Fives G6 Rex G6 Echo (501st) G3 6* ARC Trooper G0 0*
