Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Aaron,329331261,23,23,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Aaron,329331261,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Aaron,329331261,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Aaron,329331261,15,10,5,Grievous Omicron: GG G11 6* B2 B1 MagnaGuard Droideka
Aaron,329331261,48,10,38,Troopers: Veers G12 Piett G10 4* Starck Dark Trooper G3 4* Range Trooper G1 2*
Aaron,329331261,30,3,27,CLS: CLS Han G12 Chewbacca G12 Chewpio G1 2* R2-D2 G12
RHawtin,847129528,1,0,1,Malevolence: Malevolence 5* Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
RHawtin,847129528,23,3,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
RHawtin,847129528,22,22,0,CLS: CLS Han Chewbacca Chewpio C-3PO
RHawtin,847129528,42,11,31,Grievous Omicron: GG G12 B2 G12 B1 G7 MagnaGuard G10 Droideka G8
RHawtin,847129528,33,18,15,Troopers: Veers G12 Piett Gideon G9 Dark Trooper Range Trooper G12
Hugelucas2002,764977718,31,15,16,padme: Padme G12 GK G12 JKA G12 Ahsoka Tano (Snips) G12 C-3PO
Hugelucas2002,764977718,25,5,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Hugelucas2002,764977718,34,28,6,CLS: CLS Han Chewbacca Chewpio R1 R2-D2 G12
Hugelucas2002,764977718,47,7,40,Phasma: Phasma G9 FOTP G7 FOSFTP G7 FOST G7 4* Kylo G10
Hugelucas2002,764977718,44,9,35,Grievous Omicron: GG G11 B2 G9 B1 G9 MagnaGuard G7 Droideka G9
Hugelucas2002,764977718,46,0,46,Troopers: Veers G5 6* Piett Gideon G9 6* Dark Trooper G3 5* Range Trooper G1 2*
MJB,737922548,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
MJB,737922548,45,1,44,Phasma: Phasma G11 FOTP G4 2* FOSFTP G1 2* FOST G8 5* Kylo G12
MJB,737922548,9,1,8,Grievous Omicron: GG G8 B2 B1 MagnaGuard Droideka
MJB,737922548,25,8,17,padme: Padme G8 GK JKA Ahsoka Tano (Snips) C-3PO G7
DarthHellenikon,377964874,46,30,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
DarthHellenikon,377964874,43,26,17,Troopers: Veers G12 Piett Starck G12 Dark Trooper G11 Range Trooper G12
DarthHellenikon,377964874,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
DarthHellenikon,377964874,5,0,5,Grievous Omicron: GG G11 6* B2 B1 MagnaGuard Droideka
DarthHellenikon,377964874,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid Sun Fac SF 6* Soldier SF Spy SF
DarthHellenikon,377964874,39,31,8,CLS: CLS Han Chewbacca Chewpio G12 C-3PO G12
Scheggiafulminata,363592775,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Scheggiafulminata,363592775,4,0,4,CLS: CLS Han Chewbacca Chewpio G12 C-3PO
Scheggiafulminata,363592775,27,0,27,Grievous Omicron: GG G12 B2 G12 B1 G11 6* MagnaGuard G9 Droideka G9
Scheggiafulminata,363592775,1,0,1,Malevolence: Malevolence 6* Hyena Bomber 6* Vulture Droid 6* Sun Fac SF Soldier SF Spy SF
jobobhi,977182498,2,2,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
jobobhi,977182498,24,16,8,padme: Padme G12 GK JKA Ahsoka Tano (Snips) C-3PO G12
jobobhi,977182498,28,8,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
jobobhi,977182498,32,20,12,CLS: CLS Han G12 Chewbacca Chewpio R1 R2-D2 G10
jobobhi,977182498,5,3,2,Grievous Omicron: GG R1 B2 B1 MagnaGuard Droideka
jobobhi,977182498,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 4* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
jobobhi,977182498,34,10,24,Troopers: Veers G12 Piett Gideon G9 Dark Trooper G9 Range Trooper G10
jobobhi,977182498,25,6,19,GAS: GAS G11 6* Rex G12 Echo (501st) G11 Fives ARC Trooper G11 6*
JediMasterKenobi,151953838,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
JediMasterKenobi,151953838,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
JediMasterKenobi,151953838,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
JediMasterKenobi,151953838,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
JediMasterKenobi,151953838,16,16,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
JediMasterKenobi,151953838,8,5,3,Troopers: Veers Piett Starck Dark Trooper Range Trooper G13
JediMasterKenobi,151953838,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JediMasterKenobi,151953838,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
JediMasterKenobi,151953838,8,7,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Toro Mimi,412631524,49,49,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Toro Mimi,412631524,34,34,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Toro Mimi,412631524,47,47,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Toro Mimi,412631524,35,32,3,GAS: GAS Rex Echo (501st) R2 Fives ARC Trooper R1
Toro Mimi,412631524,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Toro Mimi,412631524,15,0,15,Grievous Omicron: GG G1 4* B2 B1 MagnaGuard Droideka
Toro Mimi,412631524,1,0,1,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 6* LVunit.level Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Toro Mimi,412631524,26,8,18,Troopers: Veers G12 Piett Gideon G12 Dark Trooper Range Trooper G6 4*
kowalski,937127285,30,22,8,padme: Padme G12 GK JKA Ahsoka Tano (Snips) C-3PO G12
kowalski,937127285,1,0,1,Malevolence: Malevolence 5* Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
kowalski,937127285,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
kowalski,937127285,35,18,17,Troopers: Veers G12 Piett Starck G12 Dark Trooper G11 Range Trooper G12
kowalski,937127285,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
kowalski,937127285,40,0,40,Grievous Omicron: GG G12 B2 G10 B1 G2 3* MagnaGuard G8 Droideka G8
kowalski,937127285,36,24,12,CLS: CLS Han Chewbacca Chewpio G12 R2-D2 G8
Kdog,549249986,32,12,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Kdog,549249986,8,0,8,Phasma: Phasma FOTP FOO G8 KRU Kylo
Kdog,549249986,5,0,5,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO G11 6*
Kdog,549249986,9,8,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Kdog,549249986,1,0,1,Negotiator: Negotiator BTL-B Y-wing 6* Anakin's Eta-2 Rex's ARC-170 6* LVunit.level Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Kdog,549249986,50,15,35,Troopers: Veers G9 Piett Starck G7 Dark Trooper G7 6* Range Trooper G6 6*
Kdog,549249986,35,28,7,CLS: CLS Han Chewbacca Chewpio R2-D2 G9
Boss Alien,317612657,42,38,4,padme: Padme G12 GK JKA Ahsoka Tano (Snips) C-3PO
Boss Alien,317612657,41,41,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Boss Alien,317612657,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Boss Alien,317612657,4,0,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Boss Alien,317612657,49,0,49,Troopers: Veers G8 Piett Gideon G4 Dark Trooper G2 Range Trooper G1
Boss Alien,317612657,49,35,14,CLS: CLS Han G12 Chewbacca Chewpio G10 R2-D2 G12
Boss Alien,317612657,33,9,24,GAS: GAS G7 5* Rex G12 Echo (501st) G11 Fives ARC Trooper G10
Berosin,281831893,1,1,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Berosin,281831893,27,27,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Berosin,281831893,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Berosin,281831893,25,25,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Berosin,281831893,26,19,7,CLS: CLS Han R2 Chewbacca Chewpio R1 R2-D2 G12
Berosin,281831893,23,23,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Berosin,281831893,30,25,5,Grievous Omicron: GG R1 B2 R2 B1 R1 MagnaGuard Droideka
Berosin,281831893,50,1,49,Troopers: Veers G1 6* Piett G9 5* Starck G12 Dark Trooper G4 5* Range Trooper G5 2*
LeoFB04,943294487,16,4,12,padme: Padme G12 GK G12 JKA Ahsoka Tano (Snips) G12 C-3PO
LeoFB04,943294487,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
