Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"MINI SgtGingerbeard",211844511,12,8766645,4883442,3883203,125,-13,315,497,2643779,2235007,143,30,694,5,279,101,136,161,174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,20,7,9
"Kate",483591584,1,4706470,2749633,1956837,140,-186,140,351,1371520,1377437,66,6,178,1,218,22,42,88,104,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,14,9,7
"EisOfSpades",736978576,-5,7054216,3925194,3129022,125,73,183,519,2211387,1713131,112,12,566,2,231,87,119,134,147,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,19,10,8
"PJMaster",377989166,-8,5683507,3299979,2383528,138,151,163,483,1922884,1376419,111,11,343,0,222,37,87,119,128,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,19,10,8
"Mitsuki",844775351,-5,7775005,4582007,3192998,143,138,107,549,2653896,1925461,127,17,690,3,249,105,140,149,155,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,17,9,6
"MrTomChase24",674818227,-2,7245549,4065505,3180044,127,-161,163,459,2038313,1998826,113,13,450,1,278,56,106,137,143,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,19,9,8
"Shayna Vetacious",391637392,2,7983055,4582998,3400057,134,92,191,460,2603078,1978896,121,27,507,2,279,94,100,166,167,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,24,8,12
"Peu Trid",631967535,2,5454827,3084366,2370461,130,244,156,367,1868229,1215461,96,11,261,0,205,35,56,92,108,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,9,7
"theLeskiss",626646537,6,6365303,3674281,2691022,136,137,169,445,2127935,1545670,91,10,359,1,246,51,78,134,147,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,17,8,10
"Szerahk",958343253,-10,5218232,3017804,2200428,137,130,166,561,1742663,1275141,91,4,399,1,194,55,100,113,117,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,13,10,6
"Blackwing",654686582,3,5952935,3443617,2509318,137,-157,93,431,1742548,1701069,82,13,269,1,217,37,67,136,149,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,15,8,8
"Bills Mafia",441664365,-5,5796359,3448978,2347381,146,11,57,404,1889992,1558310,71,2,342,1,236,57,68,98,125,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,12,10,6
"Forsaken",757795424,-4,5660255,3420780,2239475,152,147,70,272,1974979,1418048,73,6,137,1,205,18,29,98,132,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,16,8,8
"mar5hmn9",294825966,1,5049501,2993657,2055844,145,-70,158,445,1580042,1413615,81,8,336,1,205,60,64,94,103,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,13,9,5
"MINI Leskiss",112892133,6,4987378,2912266,2075112,140,123,111,494,1676551,1235039,57,6,352,0,216,55,74,102,110,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12,7,6
"OnyXavier",637663384,-5,7448488,4069395,3379093,120,-81,374,479,2135862,1932857,112,21,526,1,247,71,114,138,150,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,18,9,7
"Zephyr",297528578,12,6019252,3631847,2387405,152,30,110,430,2007739,1624108,112,17,342,1,244,36,82,109,124,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,15,6,5
"Coop",972228286,-5,6789190,3959935,2829255,139,55,111,403,2213326,1745933,99,16,341,3,257,40,89,117,135,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,17,7,7
"Barraza",479721254,-2,7025679,4067377,2958302,137,42,110,434,2260043,1806658,105,15,407,3,258,51,90,134,147,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,20,10,9
"GeneralSkywalker",628775779,-4,6690563,3610953,3079610,117,105,197,436,2062927,1547350,87,9,394,2,257,54,91,122,135,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,15,9,6
"Hoshiyomi Gaming",729762928,-3,4589582,2658173,1931409,137,51,342,359,1479707,1172004,71,10,244,1,195,36,43,73,92,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,14,7,6
"Jotar0Kujoh",973886778,-3,5762372,3079450,2682922,114,-514,415,384,1286109,1792890,99,11,308,2,193,40,61,99,114,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,14,9,7
"Obi Shinobi",399864143,10,6284152,3682355,2601797,141,-37,215,468,1973023,1709332,73,11,456,3,238,70,89,114,123,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,18,7,5
"etanium",677884492,5,7071024,4252743,2818281,150,-82,158,473,2230073,2020020,141,11,543,4,221,76,104,122,137,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,19,9,10
"Chantelle Vetacious",842688545,-2,10440325,6302215,4138110,152,-11,307,553,3402680,2871013,264,26,885,6,308,137,163,238,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,31,9,12
"Jenks",784242554,4,5307106,3173882,2133224,148,161,36,491,1850976,1311092,61,10,370,2,202,49,85,102,118,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,10,6,5
"LittleVoidBlue",989819754,-4,6712098,4133538,2578560,160,238,99,578,2497731,1635807,96,11,578,1,239,87,126,147,167,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,19,11,10
"Shelly Kuhn",818148669,8,4026252,2431967,1594285,152,-451,132,448,1042156,1368907,83,10,247,2,141,36,50,81,93,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,9,6,4
"DarthMittens",269983914,-7,7138497,4146447,2992050,138,81,136,530,2344297,1802150,99,8,582,2,239,83,126,136,153,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,16,11,9
"Edryynn",853139141,-8,6230844,3484349,2746495,126,173,129,519,2049651,1434698,61,6,449,2,236,60,104,130,134,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,11,8,5
"TChewy",572868341,-2,5242710,3081076,2161634,142,74,55,596,1736612,1344464,39,7,469,2,202,67,103,116,121,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,9,6,6
"MINI Snowball",415187936,-6,4486609,2652146,1834463,144,-30,318,438,1425196,1226274,73,5,298,1,175,46,61,76,99,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,12,6,6
"alewis12",769587511,-9,6083751,3617228,2466523,146,143,125,254,2098780,1514937,109,4,184,0,216,26,38,80,114,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,18,13,9
"Slambert",194359156,1,4168829,2398464,1770365,135,-163,181,585,1210238,1188226,30,5,345,1,133,41,83,92,96,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,6,4,3
"Johnyboy71SWGOH",454715297,7,6213179,3755083,2458096,152,-10,70,546,2037616,1717467,64,10,498,2,220,67,110,130,155,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,12,6,7
"Fosse",634473751,3,7199147,4240888,2958259,143,133,119,592,2452804,1788084,98,19,661,3,233,100,136,158,165,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,16,9,4
"JadenRaven",329564557,2,6266870,3781899,2484971,152,106,103,423,2161540,1620359,125,12,302,1,238,43,66,139,150,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,22,10,13
"JhoMega",576999486,2,3329254,1814754,1514500,119,-301,54,388,853498,961256,31,3,146,0,124,13,38,62,77,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,6,3
"Mao",635674426,2,4417052,2328080,2088972,111,-203,256,440,1151860,1176220,50,8,268,1,145,35,58,83,89,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,8,5,3
"Jacktil",164734883,3,4750016,2768043,1981973,139,149,162,302,1611579,1155788,80,12,193,1,169,27,40,65,91,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,15,8,5
