Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthMittens,269983914,15,15,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthMittens,269983914,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthMittens,269983914,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthMittens,269983914,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Kate,483591584,17,15,2,GAS Special: GAS Ahsoka Tano (Snips) R1
Kate,483591584,20,16,4,CLS: CLS Han Chewbacca Chewpio R1 C-3PO R1
Kate,483591584,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
MINI SgtGingerbeard,211844511,13,13,0,GAS Special: GAS Ahsoka Tano (Snips)
MINI SgtGingerbeard,211844511,19,19,0,JKL: JKL HYoda GMY JKR GK
MINI SgtGingerbeard,211844511,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MINI SgtGingerbeard,211844511,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
MINI SgtGingerbeard,211844511,20,12,8,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
MrTomChase24,674818227,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
MrTomChase24,674818227,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MrTomChase24,674818227,17,10,7,Shaak Ti: Shaak Ti G9 Rex Echo (501st) ARC Trooper Fives
Chantelle Vetacious,842688545,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Chantelle Vetacious,842688545,0,0,0,JKL: JKL HYoda GMY Jolee GK
Chantelle Vetacious,842688545,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Chantelle Vetacious,842688545,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Chantelle Vetacious,842688545,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Chantelle Vetacious,842688545,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Thedentist,234525417,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Thedentist,234525417,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Thedentist,234525417,15,6,9,GAS Special: GAS G7 5* Ahsoka Tano (Snips)
Thedentist,234525417,13,0,13,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G11 4* Fives
PJMaster,377989166,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
PJMaster,377989166,7,7,0,JKL: JKL HYoda GMY Jolee GK
PJMaster,377989166,9,9,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PJMaster,377989166,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
PJMaster,377989166,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Edryynn,853139141,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Edryynn,853139141,4,0,4,GAS Special: GAS G12 Ahsoka Tano (Snips)
Edryynn,853139141,20,4,16,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO
Edryynn,853139141,15,0,15,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G9 ARC Trooper G12 Fives
Slambert,194359156,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Bondforged Galeforce,284743495,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Bondforged Galeforce,284743495,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Bondforged Galeforce,284743495,8,0,8,Finn: Finn G8 6* RT RH Finn RH Poe Holdo
Bondforged Galeforce,284743495,20,0,20,CLS: CLS R1 Han G12 Chewbacca G12 Chewpio G10 5* C-3PO G12
Szerahk,958343253,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Szerahk,958343253,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Szerahk,958343253,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Chewbacca
Szerahk,958343253,20,19,1,JKL: JKL HYoda GMY R2 Jolee GK
Szerahk,958343253,20,9,11,Shaak Ti: Shaak Ti G13 Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
Hoshiyomi Gaming,729762928,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Jenks,784242554,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Smashburger,776444483,12,12,0,GAS Special: GAS Ahsoka Tano (Snips)
Smashburger,776444483,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Smashburger,776444483,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Smashburger,776444483,16,8,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
Smashburger,776444483,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Coop,972228286,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Coop,972228286,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Coop,972228286,8,8,0,JKL: JKL HYoda GMY JKR GK
Coop,972228286,16,8,8,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
EisOfSpades,736978576,8,8,0,JKL: JKL HYoda GMY Jolee GK
EisOfSpades,736978576,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
EisOfSpades,736978576,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
EisOfSpades,736978576,17,8,9,ROLO: ROLO Cpt Solo Leia Baze G7 6* Lando
OnyXavier,637663384,12,12,0,GAS Special: GAS Ahsoka Tano (Snips)
OnyXavier,637663384,4,4,0,JKL: JKL HYoda GMY Jolee GK
OnyXavier,637663384,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
OnyXavier,637663384,20,12,8,Finn: Finn RT G8 5* RH Finn RH Poe Poe
OnyXavier,637663384,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
OnyXavier,637663384,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Peu Trid,631967535,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Peu Trid,631967535,10,10,0,JKL: JKL HYoda GMY Jolee GK
Mushkela,381453371,4,2,2,GAS Special: GAS Ahsoka Tano (Snips) R1
Mushkela,381453371,10,5,5,ROLO: ROLO G11 6* Cpt Solo Han CLS Lando
Mushkela,381453371,19,2,17,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G10 Fives R1
JadenRaven,329564557,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
