Player,Offense,Defense,GP,Name,Squad,Viable
"QuilaCaz2",0,1,118039,DRMalak,"zzzDR HK-47 BSF zzMalak Sith Empire Trooper",1
"QuilaCaz2",0,1,110270,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"QuilaCaz2",1,1,113405,Revan,"zzzJKR BS GMY zJolee GK",1
"QuilaCaz2",1,1,93050,Carth,"Carth Onasi, Mission Zaalbar zJuhani Canderous",1
"QuilaCaz2",0,1,119230,BH,"zBossk Cad The Mandalorian, Boba Greef",1
"QuilaCaz2",1,1,116811,zEP,"zEP zzzVader Tarkin G8, Sith Trooper, zzTraya",1
"QuilaCaz2",0,1,99158,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"QuilaCaz2",,,111717,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"QuilaCaz2",,,90012,Grievous Omicron,"GG 5* B2 B1 MagnaGuard Droideka",0
"QuilaCaz2",1,0,86490,Troopers,"zVeers zzPiett Gideon G9, Dark Trooper G9, Range Trooper",0
"QuilaCaz2",,,76367,Iden Troopers,"zIden Versio, Stormtrooper Snowtrooper Magma DT 4* G8",0
"BenStaWa",1,1,144230,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G9",1
"BenStaWa",0,1,113217,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper G8",1
"BenStaWa",0,1,128401,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"BenStaWa",,,445928,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"BenStaWa",0,1,127704,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"BenStaWa",1,0,104780,Traya,"zzTraya DN Sion Dooku zzEP",1
"BenStaWa",1,1,127384,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"BenStaWa",1,1,115373,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda G9",1
"BenStaWa",1,1,92918,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"BenStaWa",1,1,87131,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, zCanderous",1
"BenStaWa",0,1,109227,BH,"zBossk Cad zThe Mandalorian, zJango Boba",1
"BenStaWa",0,1,74878,Phoenix,"Hera G9, Ezra G8, Kanan G8, zZeb G8, Chopper",1
"BenStaWa",1,1,49388,Rogue1,"Jyn G8, Chirrut G8, Baze G8, Cassian G8, K-2SO G8",1
"BenStaWa",1,0,13582,NestSolo (Counter),"Nest G8",1
"BenStaWa",,,110699,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"BenStaWa",1,0,61902,CLS,"CLS G8, Han G7, Chewbacca G7, R2-D2 G8, Chewpio G7",0
"BenStaWa",,,229180,Malevolence,"Malevolence Hyena Bomber, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"BenStaWa",0,1,66121,Geonosians Omicron,"GBA G9, Sun Fac G7, Geo Soldier G8, Geo Spy G7, Poggle G8",0
"BenStaWa",,,242130,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing 6*, Wedge X-wing",0
"BenStaWa",1,1,62219,NS,"MT G8, AV Daka G8, Zombie Spirit G8",0
"BenStaWa",1,0,67928,Troopers,"Veers G9, zPiett G8, Gideon G7, Dark Trooper G7, Range Trooper G7",0
"Bird and Bull",1,1,141816,SL Kylo,"zzzzzSL Kylo, Sith Trooper, zHux zzKRU Thrawn",1
"Bird and Bull",0,1,108138,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Bird and Bull",1,1,103610,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Bird and Bull",0,1,123184,BH,"zBossk Cad Dengar Boba Greef",1
"Bird and Bull",0,1,102003,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Bird and Bull",1,0,87612,Wiggs,"Wedge Biggs CLS Chewbacca G9, Leia",1
"Bird and Bull",,,120226,Phasma,"Phasma zFOTP FOSFTP FOST zKylo",0
"Bird and Bull",1,1,105575,NS,"zMT AV Daka Zombie Spirit",0
"Bird and Bull",,,402119,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter 1*, Plo's SF",0
"Bird and Bull",,,494135,Raddus,"Raddus 4* Sun Fac SF 6*, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"Bird and Bull",1,0,76232,ShaakClones,"Shaak Ti, Rex 6* G8, Echo (501st) 5* G8, Fives Clone Sergeant",0
"Bird and Bull",1,1,120218,zEP,"zEP zzVader Tarkin TFP Mara Jade, The Emperor's Hand",0
"Bird and Bull",1,0,88343,Troopers,"Veers Starck Stormtrooper Piett Iden Versio",0
"Bird and Bull",1,1,48121,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G9, K-2SO 5* G9",0
"Bird and Bull",0,1,91476,BS,"BS 5* G9, GMY JKA GK Ahsoka",0
"Mol Eliza",1,1,144689,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Mol Eliza",1,0,115799,CLS,"zzCLS zHan zChewbacca Leia C-3PO",1
"Mol Eliza",0,1,125116,BH,"zBossk Cad The Mandalorian, Boba zGreef",1
"Mol Eliza",0,1,101090,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Mol Eliza",1,0,86308,IG88,"IG-88 GG BB-8 G9, T3-M4 L3-37",1
"Mol Eliza",,,124348,Phasma,"Phasma zFOTP FOSFTP zFOST zKylo",0
"Mol Eliza",0,1,88181,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Mol Eliza",1,1,98716,NS,"MT AV Daka Zombie Spirit",0
"Mol Eliza",,,472664,Raddus,"Raddus 4* Sun Fac SF 5*, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"Mol Eliza",1,1,86866,Revan,"JKR BS zGMY Jolee GK",0
"Mol Eliza",1,1,100339,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
"Mol Eliza",1,1,92888,zEP,"zEP zzVader Tarkin TFP 6* Mara Jade, The Emperor's Hand 4* G9",0
"SnakeEyes",,,167120,JMK,"zzzzzzJMK zAhsoka zzzCAT zJKA zGK",1
"SnakeEyes",,,123211,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"SnakeEyes",1,1,164130,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"SnakeEyes",,,169195,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"SnakeEyes",,,560335,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"SnakeEyes",,,177278,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"SnakeEyes",1,0,146692,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"SnakeEyes",,,132660,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"SnakeEyes",,,495314,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"SnakeEyes",0,1,93278,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SnakeEyes",,,413722,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"SnakeEyes",1,1,119297,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"SnakeEyes",1,0,118392,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"SnakeEyes",,,121134,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"SnakeEyes",1,1,80819,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"SnakeEyes",1,0,135035,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"SnakeEyes",0,1,138735,BH,"zzBossk Cad Dengar zBoba zIG-88",1
"SnakeEyes",0,1,76973,Phoenix,"Hera G8, zEzra Kanan Zeb G8, Chopper G9",1
"SnakeEyes",0,1,129846,BS,"zBS zGMY zJolee zzOld Ben, zHYoda",1
"SnakeEyes",1,0,128345,EP (Counter, Rebel),"zzEP Krennic zzWampa zNest zStarck",1
"SnakeEyes",1,0,17163,SionSolo (Counter),"zSion G8",1
"SnakeEyes",1,1,95814,NS,"zzMT zzAV zDaka G9, Zombie Spirit",0
"SnakeEyes",,,287147,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"SnakeEyes",,,119729,Mon Mothma,"zzMon Mothma, Biggs zKyle Katarn, Wedge Lando",0
"SnakeEyes",,,70162,Iden Troopers,"Iden Versio, Shoretrooper G7, Snowtrooper Magma G4, zDT G7",0
"SnakeEyes",1,1,69843,Rogue1,"Jyn G7, Chirrut G8, Baze G7, Cassian G9, zK-2SO G9",0
"SnakeEyes",1,0,116842,zMaul,"Darth Maul, zSidious zSavage Sith Empire Trooper, Sith Marauder",0
"SnakeEyes",,,98331,Bad Batch,"zHunter zEcho zzOmega G9, zTech zWrecker",0
"SnakeEyes",1,0,68248,Jawas,"Nebit G9, Jawa Engineer G8, Jawa Scavenger G9, Jawa G7, Dathcha G8",0
"QuilaCaz",,,548583,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"QuilaCaz",0,1,124379,padme,"zzPadme zGK JKA zAhsoka C-3PO",1
"QuilaCaz",1,0,92827,CLS,"zzCLS zHan zChewbacca R2-D2 G8, Chewpio",1
"QuilaCaz",1,0,99448,Traya,"zzTraya DN Sion Sith Empire Trooper, Thrawn",1
"QuilaCaz",1,1,97756,Revan Offense,"zzzJKR GMY HYoda zJolee Ezra",1
"QuilaCaz",1,1,104394,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"QuilaCaz",0,1,134363,BH,"zzBossk Jango Dengar Boba Greef",1
"QuilaCaz",1,1,136705,zEP,"zzEP zzzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"QuilaCaz",1,0,128883,Troopers,"zVeers zStarck zzPiett Dark Trooper, zIden Versio",1
"QuilaCaz",1,0,109084,Wampa (Counter),"Rex zzWampa DT Krennic FOO",1
