Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Nico 1313",653651175,-4,4475863,2691663,1784200,150,4,38,230,1469969,1221243,59,1,101,0,167,14,24,59,83,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,11,7,7
"MINI kccoyote",475531731,-6,5718588,3264799,2453789,133,-8,118,499,1773181,1491618,110,19,442,4,180,61,90,107,114,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,12,7,6
"Tassk",556241794,-5,6297144,3905358,2391786,163,93,117,264,2212526,1680411,133,9,158,0,261,12,58,77,103,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,18,9,10
"schumi",584865814,-4,8220380,4887325,3333055,146,-174,197,440,2448060,2429934,215,26,549,3,276,74,116,136,156,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,23,8,11
"Dani Vao",435684793,2,7619628,4572513,3047115,150,198,79,419,2715140,1852665,193,16,453,3,239,58,92,137,155,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,22,7,10
"Thraken The First",391943521,-6,8941142,5395439,3545703,152,138,203,486,3126157,2267005,172,28,694,6,267,102,126,170,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,22,8,11
"sergio",836754695,1,6863885,4027931,2835954,142,89,16,399,2278403,1737174,114,14,337,0,254,44,80,127,143,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,19,12,10
"IceRoad Combine",873156869,-4,6372123,4020075,2352048,170,-290,324,537,1901651,2117973,120,9,496,3,226,61,109,134,145,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,19,8,10
"Renegade",325719955,2,8930263,5381803,3548460,151,102,86,419,3063281,2303536,203,26,458,2,310,49,98,185,213,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,26,11,11
"Bellanoche",597539666,-7,7186684,4485234,2701450,166,250,103,390,2719369,1757132,162,15,413,4,249,55,89,109,127,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,18,11,10
