Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
SeriousB,287952553,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
SeriousB,287952553,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Dooku
SeriousB,287952553,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
SeriousB,287952553,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
SeriousB,287952553,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
SeriousB,287952553,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SeriousB,287952553,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
TheFoilGuy,386266546,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
schumi,584865814,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
schumi,584865814,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
schumi,584865814,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Maloney,949176852,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Maloney,949176852,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Maloney,949176852,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Kushbender,427761749,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Kushbender,427761749,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kushbender,427761749,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Dooku
Kushbender,427761749,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Kushbender,427761749,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Kushbender,427761749,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Kushbender,427761749,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kushbender,427761749,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Virus,759495319,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader DR
ID2618,755372417,0,0,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
ID2618,755372417,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
ID2618,755372417,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thraken The First,391943521,7,7,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Thraken The First,391943521,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
Thraken The First,391943521,1,1,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Thraken The First,391943521,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
The original Gary,749455422,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Texas chef,555996344,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Allsomea0,834995483,0,0,0,JKL + JML (6%): JKL JMLS JKA JKR Old Ben
Allsomea0,834995483,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MINI kccoyote,475531731,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Cukorborsó,885258888,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder EP
Cukorborsó,885258888,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Cukorborsó,885258888,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Cukorborsó,885258888,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Cukorborsó,885258888,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Mol Chod,748559391,3,3,0,Padme 3%: Padme JKA GK Ahsoka CAT
Mol Chod,748559391,0,0,0,Rey+Jawa (8%): Rey Dathcha Nebit Jawa Engineer Jawa Scavenger
Mol Chod,748559391,0,0,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
Mol Chod,748559391,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SnakeEyes,732469127,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
SnakeEyes,732469127,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
SnakeEyes,732469127,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
SnakeEyes,732469127,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Zack g,133311619,0,0,0,Seps (1%): Dooku Jango B1 GG MagnaGuard
Zack g,133311619,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Zack g,133311619,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Zack g,133311619,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Zack g,133311619,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sidious DR
Zack g,133311619,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Zack g,133311619,0,0,0,JKL + JML (6%): JKL JMLS JKA Shaak Ti Old Ben
Dani Vao,435684793,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe JKL
Dani Vao,435684793,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Renegade,325719955,5,5,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Ethan Geilvta,966726395,1,1,0,Padme 3%: Padme JKA GK Ahsoka GMY
Ethan Geilvta,966726395,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
IceRoad Combine,873156869,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
Deathdealer,849284272,4,4,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Matt,566569129,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Matt,566569129,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Phee 11,442687747,2,2,0,Padme 3%: Padme JKA GK Ahsoka GMY
Phee 11,442687747,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder DR
Phee 11,442687747,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Phee 11,442687747,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Grandola Paca,715376443,36,12,24,p4: Rebels (2%): CLS R4 Chewbacca R3 Han G12 Chewpio G5 3* C-3PO R3
Nico 1313,653651175,27,4,23,p1: Padme 3%: Padme R2 JKA G12 GK R3 Ahsoka G12 GMY G12
Texas chef,555996344,5,0,5,p4: GG (2%): GG B1 R4 Droideka R3 B2 MagnaGuard R3
Texas chef,555996344,8,0,8,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Texas chef,555996344,1,0,1,p1: SEE P1 5%: SEE Malak R4 Sith Marauder Vader EP
Ethan Geilvta,966726395,17,8,9,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G9
Axvendal,285938811,39,2,37,p4: Rebels (2%): CLS G11 Chewbacca G9 5* Han G11 Chewpio G10 5* R2-D2 G12
The original Gary,749455422,21,0,21,p2: Imperial Troopers 5%: Veers G12 Piett Starck R3 Range Trooper G12 Dark Trooper G11
Maloney,949176852,6,0,6,p2: Shaak 6%: Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
schumi,584865814,8,0,8,p4: GG (2%): GG B1 R2 Droideka R2 B2 R3 HK-47
IceRoad Combine,873156869,15,0,15,p4: Rebels (2%): CLS R3 Chewbacca R3 Han R1 Chewpio G13 C-3PO R3
IceRoad Combine,873156869,14,1,13,p3: Imperial Troopers 5%: Veers R3 Piett Gideon G11 Starck R3 Dark Trooper R3
Bellanoche,597539666,6,0,6,p4: Rebels (2%): CLS Chewbacca Han R4 Chewpio G13 C-3PO
Bellanoche,597539666,13,3,10,p1: Vader P1 10%: Vader KRU G8 Wat Tambor C-3PO Shaak Ti
Renegade,325719955,14,11,3,p4: Rebels (2%): CLS Chewbacca Han R4 Chewpio R3 C-3PO
noobhemingway,374693456,8,1,7,p1: Padme 3%: Padme R4 JKA R3 GK R4 Ahsoka R4 C-3PO R3
Dani Vao,435684793,8,0,8,p1: Padme 3%: Padme JKA G12 GK R4 Ahsoka R4 R2-D2
Thraken The First,391943521,3,1,2,p2: Shaak 6%: Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
M1sterSlim,242155985,39,4,35,p3: BH 2%: Aurra G10 Greef G10 Bossk G12 Jango G11 The Mandalorian G12
Leon Ren,985954318,12,6,6,p4: Seps (1%): Dooku Jango G12 Sun Fac GBA Poggle
Leon Ren,985954318,12,0,12,p1: Padme 3%: Padme G12 JKA GK Ahsoka G12 GMY
Leon Ren,985954318,15,4,11,p3: Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 6* Starck R3
Charybdis,472347133,2,0,2,p4: JKR + Rey (7%): JKR Rey RH Finn RH Poe BS R3
Mol Chod,748559391,34,0,34,p3: Imperial Troopers 5%: Veers G11 Piett Starck G9 Range Trooper G9 Dark Trooper G9
SnakeEyes,732469127,5,0,5,p2: Shaak 6%: Shaak Ti R3 Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Zack g,133311619,21,0,21,p2: Shaak 6%: Shaak Ti Fives G12 Rex R4 Echo (501st) G12 ARC Trooper G10
Veran,635732927,9,7,2,p1: Padme 3%: Padme JKA GK R4 Ahsoka R4 GMY
Xebe,497955797,23,7,16,p3: Imperial Troopers 5%: Veers R3 Piett R1 Gideon R2 Starck R1 Dark Trooper R2
Thraken Vih'Torr,445438934,23,0,23,p1: Padme 3%: Padme G8 6* JKA G12 GK Ahsoka G11 GMY
Rune,354943256,7,0,7,p1: Vader P1 10%: Vader KRU G11 Wat Tambor C-3PO Shaak Ti
Vilu Dascar,882697885,15,3,12,p1: Padme 3%: Padme R3 JKA G12 GK R3 Ahsoka R3 C-3PO
Vilu Dascar,882697885,8,2,6,p4: JKR + Rey (7%): JKR G12 Rey RH Finn RH Poe JKL
Lightning12368,735129825,39,0,39,p4: Seps (1%): Dooku G11 6* Jango G12 AV G11 6* Nute G9 6* GG G8 5*
Virus,759495319,9,0,9,p4: GG (2%): GG R4 B1 R4 Droideka B2 R4 HK-47 G12
Virus,759495319,10,1,9,p3: Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 6* Malak
Matt,566569129,9,0,9,p1: Padme 3%: Padme R4 JKA G12 GK Ahsoka R3 C-3PO
Phee 11,442687747,5,0,5,p2: Shaak 6%: Shaak Ti R4 Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
Jangboba,947252962,27,1,26,p4: Seps (1%): Dooku R1 Jango R2 B2 G12 GBA G11 Nute G12
Deathdealer,849284272,18,10,8,p4: GG (2%): GG B1 R4 Droideka G12 B2 R4 MagnaGuard
Deathdealer,849284272,10,1,9,p1: Padme 3%: Padme R3 JKA G12 GK Ahsoka R4 GMY
DarklordHaddock,818845414,9,1,8,p1: Padme 3%: Padme R4 JKA GK R2 Ahsoka R2 GMY R4
DarklordHaddock,818845414,7,0,7,p3: Imperial Troopers 5%: Veers R3 Piett Gideon R3 Starck R3 Dark Trooper R4
Tassk,556241794,6,0,6,p1: Padme 3%: Padme R3 JKA GK Ahsoka R3 C-3PO R3
