Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Antisniper v2,572226363,54,1,53,Vader+Nute 12%: Vader G9 Nute G9 Thrawn G3 Wat Tambor G11 6* Traya G5
Nico 1313,653651175,48,1,47,Vader+Nute 12%: Vader G12 Nute G9 Thrawn G8 Wat Tambor G7 5* Traya G7 5*
Mol Chod,748559391,23,4,19,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor R3 Traya G7
Wonkee,541196571,32,3,29,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G10 Traya G12
Texas chef,555996344,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor R3 Traya G8
Renegade,325719955,22,2,20,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya R3
noobhemingway,374693456,35,7,28,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor G11 6* Traya G12
Dani Vao,435684793,27,5,22,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G9 Traya R4
The original Gary,749455422,29,0,29,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 4* Traya G8
schumi,584865814,15,3,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Virus,759495319,33,1,32,Vader+Nute 12%: Vader Nute G1 Thrawn Wat Tambor G9 6* Traya G12
Ethan Geilvta,966726395,24,2,22,Vader+Nute 12%: Vader Nute G12 Thrawn G9 Wat Tambor G11 Traya
Thraken The First,391943521,23,0,23,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G11 Traya G11
Allsomea0,834995483,30,0,30,Vader+Nute 12%: Vader Nute G11 Thrawn G10 Wat Tambor G9 6* Traya G12
Enderz,884897336,33,2,31,Vader+Nute 12%: Vader R4 Nute Thrawn R1 Wat Tambor G9 5* Traya G1
Veran,635732927,35,2,33,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G7 5* Traya G9
Zack g,133311619,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DarklordHaddock,818845414,18,3,15,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya
Vilu Dascar,882697885,31,1,30,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 6* Traya G9
Deathdealer,849284272,34,4,30,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G10 Wat Tambor G11 4* Traya G11
Rune,354943256,32,11,21,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G10
Maloney,949176852,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
IceRoad Combine,873156869,29,9,20,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 Traya R4
Grandola Paca,715376443,48,0,48,Vader+Nute 12%: Vader R3 Nute G4 Thrawn G8 Wat Tambor G6 Traya G8
BenStaWa,262667721,42,13,29,Vader+Nute 12%: Vader G12 Nute G10 Thrawn G9 Wat Tambor Traya G12
Bellanoche,597539666,44,13,31,Vader+Nute 12%: Vader Nute G7 Thrawn G9 Wat Tambor Traya G7
SeriousB,287952553,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Cukorborsó,885258888,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Tassk,556241794,28,3,25,Vader+Nute 12%: Vader Nute R2 Thrawn G5 6* Wat Tambor G12 Traya R2
Leon Ren,985954318,25,2,23,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 6* Traya G12
Phee 11,442687747,8,0,8,Vader+Nute 12%: Vader Nute R4 Thrawn Wat Tambor G12 Traya R4
Charybdis,472347133,32,0,32,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G7 4* Traya G11
TheFoilGuy,386266546,27,6,21,Vader+Nute 12%: Vader R3 Nute Thrawn G12 Wat Tambor G11 Traya G12
O k a y,717868682,29,1,28,Vader+Nute 12%: Vader R2 Nute G11 Thrawn G8 6* Wat Tambor Traya G10
Xebe,497955797,55,3,52,Vader+Nute 12%: Vader G12 Nute G5 Thrawn G9 Wat Tambor G10 6* Traya G2
sergio,836754695,48,6,42,Vader+Nute 12%: Vader R3 Nute G6 Thrawn G8 Wat Tambor G10 Traya G8
Matt,566569129,41,5,36,Vader+Nute 12%: Vader Nute G8 Thrawn G10 Wat Tambor G9 5* Traya G9
ID2618,755372417,26,2,24,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor R1 Traya G11
MINI kccoyote,475531731,10,1,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 Piett
SnakeEyes,732469127,35,10,25,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G9 Traya G8
Kushbender,427761749,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
