Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Atheryan,368882688,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Atheryan,368882688,5,4,1,Grievous: GG G11 B2 B1 Nute MagnaGuard
Atheryan,368882688,4,4,0,Dooku+Asajj: Dooku AV
Zack g,133311619,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Zack g,133311619,0,0,0,Dooku+Asajj: Dooku AV
Zack g,133311619,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zack g,133311619,7,0,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G8
schumi,584865814,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
schumi,584865814,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
schumi,584865814,0,0,0,Dooku+Asajj: Dooku AV
schumi,584865814,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bellanoche,597539666,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bellanoche,597539666,1,1,0,Dooku+Asajj: Dooku AV
Bellanoche,597539666,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bellanoche,597539666,20,1,19,Troopers: Veers G8 Piett G8 6* Gideon G11 Dark Trooper G8 6* Range Trooper G6 6*
Emperor63,113299429,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Emperor63,113299429,0,0,0,Dooku+Asajj: Dooku AV
Emperor63,113299429,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Emperor63,113299429,8,1,7,Troopers: Veers Piett Gideon Dark Trooper G9 6* Range Trooper G8 6*
Grandola Paca,715376443,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Grandola Paca,715376443,12,0,12,Dooku+Asajj: Dooku G5 6* AV G7
DarthSinister,787198725,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
