Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lil Gap,721276151,0,0,0,JKL: JKL HYoda JMLS JKR Jolee
Lil Gap,721276151,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Lil Gap,721276151,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Lil Gap,721276151,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 6* Lando
Nico 1313,653651175,19,1,18,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G10 Fives G12
Enderz,884897336,0,0,0,GAS Special: GAS Ahsoka
Enderz,884897336,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Enderz,884897336,0,0,0,JKL: JKL HYoda GMY JKR GK
Enderz,884897336,5,1,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives G12
BenStaWa,262667721,0,0,0,GAS Special: GAS Ahsoka
BenStaWa,262667721,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Thraken The First,391943521,0,0,0,GAS Special: GAS Ahsoka
Thraken The First,391943521,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Thraken The First,391943521,0,0,0,JKL: JKL HYoda GMY JKR GK
Thraken The First,391943521,1,1,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Thraken The First,391943521,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Mol Eliza,325466518,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Han
gandihip,772797987,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
gandihip,772797987,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
gandihip,772797987,10,0,10,JKL: JKL HYoda GMY Jolee G11 GK G11
QuilaCaz2,377283622,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
Leon Ren,985954318,16,2,14,ROLO: ROLO G12 Chirrut G6 Leia CLS R2-D2
Renegade,325719955,8,8,0,GAS Special: GAS Ahsoka
Renegade,325719955,0,0,0,JKL: JKL HYoda GMY JKR GK
Renegade,325719955,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Renegade,325719955,20,0,20,Finn: Finn G12 RT G11 RH Finn G11 RH Poe G10 R2-D2
Renegade,325719955,8,4,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Renegade,325719955,17,4,13,Shaak Ti: Shaak Ti Rex R2 Echo (501st) G12 ARC Trooper G12 Fives G12
TheFoilGuy,386266546,0,0,0,GAS Special: GAS Ahsoka
TheFoilGuy,386266546,0,0,0,JKL: JKL HYoda GMY JKR GK
TheFoilGuy,386266546,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
TheFoilGuy,386266546,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Bellanoche,597539666,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Bellanoche,597539666,8,8,0,JKL: JKL HYoda GMY Jolee GK
Bellanoche,597539666,19,18,1,Finn: Finn RT RH Finn RH Poe JTR
Bellanoche,597539666,8,4,4,GAS Special: GAS G12 Ahsoka
Kushbender,427761749,0,0,0,GAS Special: GAS Ahsoka
Kushbender,427761749,0,0,0,JKL: JKL HYoda GMY JKR GK
Kushbender,427761749,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Kushbender,427761749,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Kushbender,427761749,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Dam daniel,385729614,0,0,0,ROLO: ROLO Cpt Solo Leia CLS Lando
Dam daniel,385729614,0,0,0,JKL: JKL HYoda GMY JKR GK
Dam daniel,385729614,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Dam daniel,385729614,7,0,7,GAS Special: GAS G9 Ahsoka
Dam daniel,385729614,18,0,18,Shaak Ti: Shaak Ti Rex G10 Echo (501st) G11 ARC Trooper G9 Fives
Cap Falcon,492438982,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Cap Falcon,492438982,9,5,4,GAS Special: GAS G12 Ahsoka
Cap Falcon,492438982,15,7,8,JKL: JKL G12 HYoda GMY G12 Jolee GK
Ethan Geilvta,966726395,1,1,0,GAS Special: GAS Ahsoka
Ethan Geilvta,966726395,9,9,0,JKL: JKL HYoda GMY Jolee GK
Ethan Geilvta,966726395,4,3,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Ethan Geilvta,966726395,14,5,9,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G11 6* Fives
Zack g,133311619,0,0,0,GAS Special: GAS Ahsoka
Zack g,133311619,0,0,0,JKL: JKL HYoda GMY JKR GK
Zack g,133311619,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zack g,133311619,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Zack g,133311619,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Zack g,133311619,14,2,12,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives G12
Rune,354943256,10,5,5,GAS Special: GAS G11 6* Ahsoka
Rune,354943256,7,3,4,ROLO: ROLO Cpt Solo Leia G12 CLS Lando
Rune,354943256,9,8,1,JKL: JKL R2 HYoda GMY Jolee GK
Rune,354943256,20,1,19,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G12 Fives G10
Texas chef,555996344,0,0,0,GAS Special: GAS Ahsoka
Texas chef,555996344,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Texas chef,555996344,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Texas chef,555996344,4,3,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Texas chef,555996344,10,0,10,JKL: JKL HYoda GMY G12 JKR R1 Jolee G12
DarthSinister,787198725,0,0,0,GAS Special: GAS Ahsoka
DarthSinister,787198725,0,0,0,JKL: JKL HYoda GMY JKR GK
DarthSinister,787198725,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthSinister,787198725,7,0,7,ROLO: ROLO Cpt Solo Leia Baze G9 Lando
DarthSinister,787198725,4,0,4,Shaak Ti: Shaak Ti Rex R2 Echo (501st) R2 ARC Trooper R2 Fives R2
FunkE,717868682,0,0,0,GAS Special: GAS Ahsoka
FunkE,717868682,10,10,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Deathdealer,849284272,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Deathdealer,849284272,8,8,0,GAS Special: GAS Ahsoka
Deathdealer,849284272,7,7,0,JKL: JKL HYoda GMY Jolee GK
Deathdealer,849284272,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Deathdealer,849284272,1,0,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
schumi,584865814,0,0,0,GAS Special: GAS Ahsoka
schumi,584865814,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
schumi,584865814,11,11,0,JKL: JKL HYoda GMY Jolee GK
schumi,584865814,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Cukorborsó,885258888,9,9,0,GAS Special: GAS Ahsoka
Cukorborsó,885258888,0,0,0,JKL: JKL HYoda GMY JKR GK
Cukorborsó,885258888,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Cukorborsó,885258888,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Cukorborsó,885258888,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Cukorborsó,885258888,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Charybdis,472347133,1,1,0,Finn: Finn RT RH Finn RH Poe Rey
Charybdis,472347133,5,4,1,ROLO: ROLO Cpt Solo Han CLS Lando
SnakeEyes,732469127,0,0,0,GAS Special: GAS Ahsoka
SnakeEyes,732469127,0,0,0,JKL: JKL HYoda GMY JKR GK
SnakeEyes,732469127,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SnakeEyes,732469127,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
SnakeEyes,732469127,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 Lando
Dani Vao,435684793,1,1,0,Finn: Finn RT RH Finn RH Poe Rey
Dani Vao,435684793,7,7,0,GAS Special: GAS Ahsoka
Dani Vao,435684793,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Dani Vao,435684793,9,9,0,JKL: JKL HYoda GMY Jolee GK
Mol Chod,748559391,0,0,0,GAS Special: GAS Ahsoka
Mol Chod,748559391,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Mol Chod,748559391,0,0,0,JKL: JKL HYoda JMLS JKR GK
Mol Chod,748559391,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mol Chod,748559391,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
