Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
QuilaCaz2,377283622,17,0,17,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G1 Malak
QuilaCaz2,377283622,42,7,35,Troopers: Veers G12 Piett G10 Dark Trooper G12 Range Trooper G12 Gideon G9
BabuFrik,177985861,43,43,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BabuFrik,177985861,25,7,18,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 RG G8
BabuFrik,177985861,34,28,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Starck R3
Bellanoche,597539666,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Bellanoche,597539666,16,16,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bellanoche,597539666,35,8,27,EP: EP Mara Jade, The Emperor's Hand G10 Vader Thrawn G9 Malak G8
Bellanoche,597539666,42,1,41,Padme/BB: Padme R2 Hunter G9 Echo G9 5* Tech G8 6* Wrecker G8 5*
Bellanoche,597539666,50,1,49,Troopers: Veers G8 Piett G8 6* Dark Trooper G8 6* Range Trooper G6 6* Gideon G11
IceRoad Combine,873156869,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
IceRoad Combine,873156869,36,36,0,Padme/BB: Padme Hunter Echo Tech Wrecker
IceRoad Combine,873156869,15,9,6,CLS: CLS R3 C-3PO Han Chewbacca R3 Chewpio R3
IceRoad Combine,873156869,13,1,12,Troopers: Veers R3 Piett Dark Trooper Range Trooper G13 Gideon G13
Bird and Bull,331866775,17,0,17,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 Shoretrooper G9 5*
IAmUrFather,488865193,8,6,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
IAmUrFather,488865193,28,0,28,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G12 Gideon G9
Atheryan,368882688,24,3,21,EP: EP R1 Mara Jade, The Emperor's Hand Vader Thrawn G12 RG G7
Atheryan,368882688,46,0,46,CLS: CLS G13 C-3PO G7 Han G8 Chewbacca G9 Chewpio G7 2*
KennysGhost,992962268,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
KennysGhost,992962268,22,0,22,EP: EP R4 Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 RG G12
KennysGhost,992962268,35,0,35,Padme/BB: Padme R4 Hunter G11 Echo G9 Tech G10 Wrecker G8
KennysGhost,992962268,43,0,43,Troopers: Veers G10 Piett G10 Dark Trooper G9 Range Trooper G6 6* Gideon G12
Wonkee,541196571,26,0,26,EP: EP R1 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak G8
Wonkee,541196571,30,6,24,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca G12 Chewpio G10
Wonkee,541196571,42,5,37,Padme/BB: Padme R4 Hunter G9 Echo G9 Tech G9 Wrecker G9
Wonkee,541196571,47,2,45,Troopers: Veers G9 Piett G8 4* Dark Trooper G7 6* Range Trooper G9 5* Gideon G12
Asha,276858749,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Asha,276858749,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Asha,276858749,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Asha,276858749,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Asha,276858749,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Asha,276858749,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
0duin,968657684,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
0duin,968657684,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
0duin,968657684,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
0duin,968657684,9,0,9,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper R1 Starck R3
0duin,968657684,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
ARCNiNjai,682233137,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
ARCNiNjai,682233137,20,18,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
ARCNiNjai,682233137,30,18,12,CLS: CLS C-3PO Han G12 Chewbacca Chewpio G12
ARCNiNjai,682233137,46,28,18,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Gideon G12
schumi,584865814,17,17,0,JMLS: JMLS JKL JKR GMY HYoda
schumi,584865814,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
schumi,584865814,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
schumi,584865814,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
schumi,584865814,36,36,0,CLS: CLS C-3PO Han Chewbacca Chewpio
sergio,836754695,31,16,15,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak R3
sergio,836754695,27,2,25,CLS: CLS C-3PO R3 Han G12 Chewbacca G12 Chewpio G7 6*
sergio,836754695,44,4,40,Padme/BB: Padme R3 Hunter G9 5* Echo G8 5* Tech G9 5* Wrecker G8 5*
sergio,836754695,50,1,49,Troopers: Veers G12 Piett G7 5* Dark Trooper G7 Range Trooper G8 Starck G7
MINI NateTheGnat,572834477,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
MINI NateTheGnat,572834477,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
MINI NateTheGnat,572834477,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MINI NateTheGnat,572834477,15,0,15,Troopers: Veers R3 Piett Dark Trooper G13 Range Trooper G12 Starck R3
Cukorborsó,885258888,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Cukorborsó,885258888,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Cukorborsó,885258888,12,12,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Cukorborsó,885258888,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
Cukorborsó,885258888,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Cukorborsó,885258888,11,2,9,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper R1 Starck R3
Cukorborsó,885258888,37,1,36,Padme/BB: Padme R4 Hunter G9 Echo G10 Tech G9 Wrecker G9
Thraken The First,391943521,15,15,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Thraken The First,391943521,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Thraken The First,391943521,11,11,0,JMLS: JMLS JKL JKR GMY HYoda
Thraken The First,391943521,10,10,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Thraken The First,391943521,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Thraken The First,391943521,44,21,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 6* Starck R3
Thraken The First,391943521,45,0,45,Padme/BB: Padme Hunter G7 Echo G6 Tech G7 Wrecker G7
FunkE,717868682,39,39,0,Padme/BB: Padme Hunter Echo Tech Wrecker
FunkE,717868682,11,7,4,JMK: JMK CAT R3 GK GAS Ahsoka Tano (Snips) R3
FunkE,717868682,41,14,27,EP: EP G11 Mara Jade, The Emperor's Hand G8 4* Vader R3 Thrawn G12 RG R3
FunkE,717868682,46,12,34,Troopers: Veers G10 Piett G12 Dark Trooper G11 6* Range Trooper G8 5* Gideon R2
FunkE,717868682,36,3,33,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G9 5*
Zack g,133311619,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Zack g,133311619,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Zack g,133311619,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zack g,133311619,3,3,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Zack g,133311619,39,23,16,Padme/BB: Padme Hunter R3 Echo G13 Tech G13 Wrecker R1
Zack g,133311619,23,0,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 Starck R3
beatis,245435316,2,2,0,Padme/BB: Padme Hunter Echo Tech Wrecker
beatis,245435316,3,0,3,CLS: CLS R3 C-3PO Han Chewbacca R4 Chewpio
beatis,245435316,32,0,32,Troopers: Veers R3 Piett Dark Trooper G1 Range Trooper G5 6* Starck
Giran Kenorftp,676797621,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Giran Kenorftp,676797621,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Giran Kenorftp,676797621,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Giran Kenorftp,676797621,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Giran Kenorftp,676797621,38,0,38,Padme/BB: Padme Hunter G11 6* Echo G8 5* Tech G8 6* Wrecker G7 6*
Emperor63,113299429,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Emperor63,113299429,16,0,16,EP: EP Mara Jade, The Emperor's Hand G4 4* Vader Thrawn RG R3
Emperor63,113299429,24,3,21,Troopers: Veers R4 Piett Dark Trooper G9 6* Range Trooper G8 6* Gideon R4
Emperor63,113299429,25,9,16,CLS: CLS C-3PO R3 Han R2 Chewbacca R3 Chewpio G9 5*
Tassk,556241794,4,1,3,CLS: CLS C-3PO R3 Han Chewbacca Chewpio R4
Tassk,556241794,43,2,41,EP: EP G10 Mara Jade, The Emperor's Hand G7 Vader Thrawn G5 6* Shoretrooper G9
Deathdealer,849284272,6,6,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Deathdealer,849284272,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Deathdealer,849284272,43,43,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Deathdealer,849284272,16,10,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
QuilaCaz,453185837,10,8,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
QuilaCaz,453185837,13,2,11,Troopers: Veers Piett Dark Trooper Range Trooper G9 4* Starck R3
QuilaCaz,453185837,39,9,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
DarthSinister,787198725,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthSinister,787198725,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
DarthSinister,787198725,8,5,3,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R2
DarthSinister,787198725,9,2,7,JMK: JMK R4 CAT R1 GK GAS R4 Ahsoka Tano (Snips) R4
DarthSinister,787198725,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
DarthSinister,787198725,35,0,35,Padme/BB: Padme R4 Hunter G12 Echo G9 Tech G9 Wrecker G8
Dark Helmet,693159347,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Dark Helmet,693159347,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dark Helmet,693159347,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Dark Helmet,693159347,1,0,1,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R4
Dark Helmet,693159347,4,0,4,EP: EP Mara Jade, The Emperor's Hand R1 Vader Thrawn Malak
Dark Helmet,693159347,22,4,18,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper R3 Gideon G13
Dani Vao,435684793,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Dani Vao,435684793,15,15,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dani Vao,435684793,50,6,44,Troopers: Veers R3 Piett G12 Dark Trooper G4 Range Trooper G2 6* Starck G12
Alderan Duran,732523122,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Alderan Duran,732523122,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Alderan Duran,732523122,15,0,15,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 Malak
Alderan Duran,732523122,33,0,33,Padme/BB: Padme Hunter G11 Echo G10 Tech G10 Wrecker G8
Alderan Duran,732523122,37,0,37,Troopers: Veers G12 Piett G10 Dark Trooper G12 Range Trooper G8 Gideon G11
BenStaWa,262667721,6,0,6,JMK: JMK CAT R3 GK GAS R3 Ahsoka Tano (Snips) R3
BenStaWa,262667721,33,7,26,EP: EP Mara Jade, The Emperor's Hand G7 Vader G12 Thrawn G9 Malak
BenStaWa,262667721,45,0,45,CLS: CLS G8 C-3PO R3 Han G7 Chewbacca G7 Chewpio G7
Mol Chod,748559391,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Mol Chod,748559391,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Mol Chod,748559391,11,1,10,JMLS: JMLS JKL JKR R3 GMY G10 HYoda
Mol Chod,748559391,23,13,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R1
Mol Chod,748559391,34,0,34,Troopers: Veers G11 Piett Dark Trooper G9 Range Trooper G9 Starck G9
TheFoilGuy,386266546,6,6,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
TheFoilGuy,386266546,34,34,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TheFoilGuy,386266546,6,4,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 RG
TheFoilGuy,386266546,23,9,14,CLS: CLS C-3PO R3 Han G12 Chewbacca Chewpio G12
TheFoilGuy,386266546,36,11,25,Troopers: Veers G12 Piett Dark Trooper G11 6* Range Trooper G12 Starck G12
Appo,299558514,23,0,23,EP: EP Mara Jade, The Emperor's Hand G9 6* Vader R3 Thrawn G8 Malak R3
